Web Search interest: googl
Worldwide 2004 - present

Interest over time
Week,googl
2005-02-27 - 2005-03-05,8
2005-03-06 - 2005-03-12,11
2005-03-13 - 2005-03-19,10
2005-03-20 - 2005-03-26,11
2005-03-27 - 2005-04-02,9
2005-04-03 - 2005-04-09,10
2005-04-10 - 2005-04-16,10
2005-04-17 - 2005-04-23,11
2005-04-24 - 2005-04-30,11
2005-05-01 - 2005-05-07,11
2005-05-08 - 2005-05-14,10
2005-05-15 - 2005-05-21,11
2005-05-22 - 2005-05-28,11
2005-05-29 - 2005-06-04,11
2005-06-05 - 2005-06-11,10
2005-06-12 - 2005-06-18,10
2005-06-19 - 2005-06-25,10
2005-06-26 - 2005-07-02,11
2005-07-03 - 2005-07-09,12
2005-07-10 - 2005-07-16,13
2005-07-17 - 2005-07-23,15
2005-07-24 - 2005-07-30,16
2005-07-31 - 2005-08-06,14
2005-08-07 - 2005-08-13,16
2005-08-14 - 2005-08-20,16
2005-08-21 - 2005-08-27,16
2005-08-28 - 2005-09-03,17
2005-09-04 - 2005-09-10,17
2005-09-11 - 2005-09-17,18
2005-09-18 - 2005-09-24,18
2005-09-25 - 2005-10-01,19
2005-10-02 - 2005-10-08,16
2005-10-09 - 2005-10-15,18
2005-10-16 - 2005-10-22,20
2005-10-23 - 2005-10-29,17
2005-10-30 - 2005-11-05,18
2005-11-06 - 2005-11-12,19
2005-11-13 - 2005-11-19,18
2005-11-20 - 2005-11-26,18
2005-11-27 - 2005-12-03,17
2005-12-04 - 2005-12-10,19
2005-12-11 - 2005-12-17,20
2005-12-18 - 2005-12-24,20
2005-12-25 - 2005-12-31,21
2006-01-01 - 2006-01-07,19
2006-01-08 - 2006-01-14,20
2006-01-15 - 2006-01-21,20
2006-01-22 - 2006-01-28,18
2006-01-29 - 2006-02-04,22
2006-02-05 - 2006-02-11,20
2006-02-12 - 2006-02-18,21
2006-02-19 - 2006-02-25,23
2006-02-26 - 2006-03-04,22
2006-03-05 - 2006-03-11,21
2006-03-12 - 2006-03-18,22
2006-03-19 - 2006-03-25,20
2006-03-26 - 2006-04-01,20
2006-04-02 - 2006-04-08,22
2006-04-09 - 2006-04-15,21
2006-04-16 - 2006-04-22,21
2006-04-23 - 2006-04-29,20
2006-04-30 - 2006-05-06,22
2006-05-07 - 2006-05-13,21
2006-05-14 - 2006-05-20,21
2006-05-21 - 2006-05-27,21
2006-05-28 - 2006-06-03,20
2006-06-04 - 2006-06-10,23
2006-06-11 - 2006-06-17,23
2006-06-18 - 2006-06-24,22
2006-06-25 - 2006-07-01,24
2006-07-02 - 2006-07-08,23
2006-07-09 - 2006-07-15,24
2006-07-16 - 2006-07-22,24
2006-07-23 - 2006-07-29,24
2006-07-30 - 2006-08-05,25
2006-08-06 - 2006-08-12,24
2006-08-13 - 2006-08-19,24
2006-08-20 - 2006-08-26,26
2006-08-27 - 2006-09-02,23
2006-09-03 - 2006-09-09,25
2006-09-10 - 2006-09-16,26
2006-09-17 - 2006-09-23,26
2006-09-24 - 2006-09-30,27
2006-10-01 - 2006-10-07,29
2006-10-08 - 2006-10-14,27
2006-10-15 - 2006-10-21,28
2006-10-22 - 2006-10-28,28
2006-10-29 - 2006-11-04,31
2006-11-05 - 2006-11-11,30
2006-11-12 - 2006-11-18,29
2006-11-19 - 2006-11-25,30
2006-11-26 - 2006-12-02,29
2006-12-03 - 2006-12-09,31
2006-12-10 - 2006-12-16,30
2006-12-17 - 2006-12-23,31
2006-12-24 - 2006-12-30,33
2006-12-31 - 2007-01-06,32
2007-01-07 - 2007-01-13,31
2007-01-14 - 2007-01-20,32
2007-01-21 - 2007-01-27,31
2007-01-28 - 2007-02-03,31
2007-02-04 - 2007-02-10,32
2007-02-11 - 2007-02-17,34
2007-02-18 - 2007-02-24,33
2007-02-25 - 2007-03-03,33
2007-03-04 - 2007-03-10,33
2007-03-11 - 2007-03-17,31
2007-03-18 - 2007-03-24,32
2007-03-25 - 2007-03-31,33
2007-04-01 - 2007-04-07,33
2007-04-08 - 2007-04-14,32
2007-04-15 - 2007-04-21,32
2007-04-22 - 2007-04-28,32
2007-04-29 - 2007-05-05,34
2007-05-06 - 2007-05-12,33
2007-05-13 - 2007-05-19,34
2007-05-20 - 2007-05-26,34
2007-05-27 - 2007-06-02,33
2007-06-03 - 2007-06-09,32
2007-06-10 - 2007-06-16,33
2007-06-17 - 2007-06-23,34
2007-06-24 - 2007-06-30,33
2007-07-01 - 2007-07-07,33
2007-07-08 - 2007-07-14,33
2007-07-15 - 2007-07-21,32
2007-07-22 - 2007-07-28,32
2007-07-29 - 2007-08-04,32
2007-08-05 - 2007-08-11,32
2007-08-12 - 2007-08-18,33
2007-08-19 - 2007-08-25,33
2007-08-26 - 2007-09-01,32
2007-09-02 - 2007-09-08,33
2007-09-09 - 2007-09-15,34
2007-09-16 - 2007-09-22,32
2007-09-23 - 2007-09-29,34
2007-09-30 - 2007-10-06,33
2007-10-07 - 2007-10-13,35
2007-10-14 - 2007-10-20,34
2007-10-21 - 2007-10-27,34
2007-10-28 - 2007-11-03,35
2007-11-04 - 2007-11-10,34
2007-11-11 - 2007-11-17,34
2007-11-18 - 2007-11-24,38
2007-11-25 - 2007-12-01,38
2007-12-02 - 2007-12-08,38
2007-12-09 - 2007-12-15,35
2007-12-16 - 2007-12-22,35
2007-12-23 - 2007-12-29,35
2007-12-30 - 2008-01-05,33
2008-01-06 - 2008-01-12,32
2008-01-13 - 2008-01-19,32
2008-01-20 - 2008-01-26,32
2008-01-27 - 2008-02-02,32
2008-02-03 - 2008-02-09,32
2008-02-10 - 2008-02-16,30
2008-02-17 - 2008-02-23,31
2008-02-24 - 2008-03-01,31
2008-03-02 - 2008-03-08,32
2008-03-09 - 2008-03-15,30
2008-03-16 - 2008-03-22,31
2008-03-23 - 2008-03-29,30
2008-03-30 - 2008-04-05,30
2008-04-06 - 2008-04-12,30
2008-04-13 - 2008-04-19,31
2008-04-20 - 2008-04-26,31
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,30
2008-05-11 - 2008-05-17,31
2008-05-18 - 2008-05-24,32
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,31
2008-06-08 - 2008-06-14,30
2008-06-15 - 2008-06-21,31
2008-06-22 - 2008-06-28,30
2008-06-29 - 2008-07-05,30
2008-07-06 - 2008-07-12,30
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,30
2008-07-27 - 2008-08-02,30
2008-08-03 - 2008-08-09,32
2008-08-10 - 2008-08-16,32
2008-08-17 - 2008-08-23,33
2008-08-24 - 2008-08-30,32
2008-08-31 - 2008-09-06,35
2008-09-07 - 2008-09-13,34
2008-09-14 - 2008-09-20,33
2008-09-21 - 2008-09-27,35
2008-09-28 - 2008-10-04,35
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,34
2008-10-19 - 2008-10-25,34
2008-10-26 - 2008-11-01,34
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,35
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,35
2008-11-30 - 2008-12-06,35
2008-12-07 - 2008-12-13,35
2008-12-14 - 2008-12-20,35
2008-12-21 - 2008-12-27,35
2008-12-28 - 2009-01-03,35
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,34
2009-01-18 - 2009-01-24,37
2009-01-25 - 2009-01-31,40
2009-02-01 - 2009-02-07,44
2009-02-08 - 2009-02-14,42
2009-02-15 - 2009-02-21,42
2009-02-22 - 2009-02-28,42
2009-03-01 - 2009-03-07,38
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,39
2009-03-22 - 2009-03-28,42
2009-03-29 - 2009-04-04,40
2009-04-05 - 2009-04-11,41
2009-04-12 - 2009-04-18,35
2009-04-19 - 2009-04-25,38
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,37
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,39
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,37
2009-06-14 - 2009-06-20,37
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,36
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,37
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,36
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,38
2009-09-13 - 2009-09-19,39
2009-09-20 - 2009-09-26,40
2009-09-27 - 2009-10-03,40
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,41
2009-10-18 - 2009-10-24,40
2009-10-25 - 2009-10-31,40
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,44
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,45
2009-12-20 - 2009-12-26,48
2009-12-27 - 2010-01-02,48
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,47
2010-01-17 - 2010-01-23,47
2010-01-24 - 2010-01-30,48
2010-01-31 - 2010-02-06,48
2010-02-07 - 2010-02-13,49
2010-02-14 - 2010-02-20,48
2010-02-21 - 2010-02-27,50
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,50
2010-03-14 - 2010-03-20,49
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,49
2010-04-11 - 2010-04-17,50
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,51
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,50
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,50
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,55
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,57
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,62
2010-09-26 - 2010-10-02,63
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,64
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,68
2010-11-14 - 2010-11-20,68
2010-11-21 - 2010-11-27,70
2010-11-28 - 2010-12-04,70
2010-12-05 - 2010-12-11,70
2010-12-12 - 2010-12-18,72
2010-12-19 - 2010-12-25,74
2010-12-26 - 2011-01-01,76
2011-01-02 - 2011-01-08,73
2011-01-09 - 2011-01-15,74
2011-01-16 - 2011-01-22,73
2011-01-23 - 2011-01-29,76
2011-01-30 - 2011-02-05,85
2011-02-06 - 2011-02-12,81
2011-02-13 - 2011-02-19,78
2011-02-20 - 2011-02-26,76
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,71
2011-03-27 - 2011-04-02,74
2011-04-03 - 2011-04-09,75
2011-04-10 - 2011-04-16,76
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,76
2011-05-01 - 2011-05-07,77
2011-05-08 - 2011-05-14,78
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,77
2011-06-05 - 2011-06-11,83
2011-06-12 - 2011-06-18,79
2011-06-19 - 2011-06-25,79
2011-06-26 - 2011-07-02,79
2011-07-03 - 2011-07-09,81
2011-07-10 - 2011-07-16,81
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,77
2011-07-31 - 2011-08-06,78
2011-08-07 - 2011-08-13,80
2011-08-14 - 2011-08-20,79
2011-08-21 - 2011-08-27,78
2011-08-28 - 2011-09-03,79
2011-09-04 - 2011-09-10,80
2011-09-11 - 2011-09-17,83
2011-09-18 - 2011-09-24,85
2011-09-25 - 2011-10-01,85
2011-10-02 - 2011-10-08,85
2011-10-09 - 2011-10-15,85
2011-10-16 - 2011-10-22,82
2011-10-23 - 2011-10-29,84
2011-10-30 - 2011-11-05,87
2011-11-06 - 2011-11-12,87
2011-11-13 - 2011-11-19,87
2011-11-20 - 2011-11-26,88
2011-11-27 - 2011-12-03,87
2011-12-04 - 2011-12-10,86
2011-12-11 - 2011-12-17,86
2011-12-18 - 2011-12-24,87
2011-12-25 - 2011-12-31,90
2012-01-01 - 2012-01-07,85
2012-01-08 - 2012-01-14,84
2012-01-15 - 2012-01-21,85
2012-01-22 - 2012-01-28,86
2012-01-29 - 2012-02-04,83
2012-02-05 - 2012-02-11,86
2012-02-12 - 2012-02-18,87
2012-02-19 - 2012-02-25,86
2012-02-26 - 2012-03-03,87
2012-03-04 - 2012-03-10,87
2012-03-11 - 2012-03-17,87
2012-03-18 - 2012-03-24,87
2012-03-25 - 2012-03-31,88
2012-04-01 - 2012-04-07,89
2012-04-08 - 2012-04-14,86
2012-04-15 - 2012-04-21,87
2012-04-22 - 2012-04-28,90
2012-04-29 - 2012-05-05,88
2012-05-06 - 2012-05-12,88
2012-05-13 - 2012-05-19,91
2012-05-20 - 2012-05-26,96
2012-05-27 - 2012-06-02,91
2012-06-03 - 2012-06-09,91
2012-06-10 - 2012-06-16,89
2012-06-17 - 2012-06-23,88
2012-06-24 - 2012-06-30,89
2012-07-01 - 2012-07-07,84
2012-07-08 - 2012-07-14,84
2012-07-15 - 2012-07-21,82
2012-07-22 - 2012-07-28,82
2012-07-29 - 2012-08-04,84
2012-08-05 - 2012-08-11,86
2012-08-12 - 2012-08-18,81
2012-08-19 - 2012-08-25,83
2012-08-26 - 2012-09-01,82
2012-09-02 - 2012-09-08,83
2012-09-09 - 2012-09-15,84
2012-09-16 - 2012-09-22,86
2012-09-23 - 2012-09-29,89
2012-09-30 - 2012-10-06,86
2012-10-07 - 2012-10-13,83
2012-10-14 - 2012-10-20,81
2012-10-21 - 2012-10-27,82
2012-10-28 - 2012-11-03,85
2012-11-04 - 2012-11-10,83
2012-11-11 - 2012-11-17,82
2012-11-18 - 2012-11-24,83
2012-11-25 - 2012-12-01,86
2012-12-02 - 2012-12-08,88
2012-12-09 - 2012-12-15,89
2012-12-16 - 2012-12-22,89
2012-12-23 - 2012-12-29,94
2012-12-30 - 2013-01-05,88
2013-01-06 - 2013-01-12,86
2013-01-13 - 2013-01-19,89
2013-01-20 - 2013-01-26,86
2013-01-27 - 2013-02-02,87
2013-02-03 - 2013-02-09,89
2013-02-10 - 2013-02-16,90
2013-02-17 - 2013-02-23,89
2013-02-24 - 2013-03-02,87
2013-03-03 - 2013-03-09,87
2013-03-10 - 2013-03-16,86
2013-03-17 - 2013-03-23,87
2013-03-24 - 2013-03-30,85
2013-03-31 - 2013-04-06,86
2013-04-07 - 2013-04-13,84
2013-04-14 - 2013-04-20,86
2013-04-21 - 2013-04-27,86
2013-04-28 - 2013-05-04,86
2013-05-05 - 2013-05-11,84
2013-05-12 - 2013-05-18,85
2013-05-19 - 2013-05-25,85
2013-05-26 - 2013-06-01,85
2013-06-02 - 2013-06-08,85
2013-06-09 - 2013-06-15,85
2013-06-16 - 2013-06-22,84
2013-06-23 - 2013-06-29,85
2013-06-30 - 2013-07-06,84
2013-07-07 - 2013-07-13,84
2013-07-14 - 2013-07-20,82
2013-07-21 - 2013-07-27,80
2013-07-28 - 2013-08-03,79
2013-08-04 - 2013-08-10,81
2013-08-11 - 2013-08-17,85
2013-08-18 - 2013-08-24,84
2013-08-25 - 2013-08-31,82
2013-09-01 - 2013-09-07,83
2013-09-08 - 2013-09-14,84
2013-09-15 - 2013-09-21,87
2013-09-22 - 2013-09-28,93
2013-09-29 - 2013-10-05,98
2013-10-06 - 2013-10-12,96
2013-10-13 - 2013-10-19,97
2013-10-20 - 2013-10-26,97
2013-10-27 - 2013-11-02,95
2013-11-03 - 2013-11-09,96
2013-11-10 - 2013-11-16,96
2013-11-17 - 2013-11-23,97
2013-11-24 - 2013-11-30,96
2013-12-01 - 2013-12-07,95
2013-12-08 - 2013-12-14,95
2013-12-15 - 2013-12-21,93
2013-12-22 - 2013-12-28,94
2013-12-29 - 2014-01-04,92
2014-01-05 - 2014-01-11,93
2014-01-12 - 2014-01-18,95
2014-01-19 - 2014-01-25,94
2014-01-26 - 2014-02-01,95
2014-02-02 - 2014-02-08,95
2014-02-09 - 2014-02-15,96
2014-02-16 - 2014-02-22,94
2014-02-23 - 2014-03-01,95
2014-03-02 - 2014-03-08,95
2014-03-09 - 2014-03-15,95
2014-03-16 - 2014-03-22,95
2014-03-23 - 2014-03-29,94
2014-03-30 - 2014-04-05,97
2014-04-06 - 2014-04-12,97
2014-04-13 - 2014-04-19,96
2014-04-20 - 2014-04-26,95
2014-04-27 - 2014-05-03,97
2014-05-04 - 2014-05-10,97
2014-05-11 - 2014-05-17,96
2014-05-18 - 2014-05-24,100
2014-05-25 - 2014-05-31,98
2014-06-01 - 2014-06-07,98
2014-06-08 - 2014-06-14,95
2014-06-15 - 2014-06-21,95
2014-06-22 - 2014-06-28,92
2014-06-29 - 2014-07-05,88
2014-07-06 - 2014-07-12,89
2014-07-13 - 2014-07-19,90
2014-07-20 - 2014-07-26,89
2014-07-27 - 2014-08-02,91
2014-08-03 - 2014-08-09,92
2014-08-10 - 2014-08-16,90
2014-08-17 - 2014-08-23,87
2014-08-24 - 2014-08-30,86
2014-08-31 - 2014-09-06,86
2014-09-07 - 2014-09-13,86
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,86
2014-09-28 - 2014-10-04,85
2014-10-05 - 2014-10-11,87
2014-10-12 - 2014-10-18,86
2014-10-19 - 2014-10-25,84
2014-10-26 - 2014-11-01,84
2014-11-02 - 2014-11-08,84
2014-11-09 - 2014-11-15,84
2014-11-16 - 2014-11-22,84
2014-11-23 - 2014-11-29,83
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,85
2014-12-14 - 2014-12-20,83
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,80
2015-01-04 - 2015-01-10,79
2015-01-11 - 2015-01-17,82
2015-01-18 - 2015-01-24,81
2015-01-25 - 2015-01-31,83
2015-02-01 - 2015-02-07,81
2015-02-08 - 2015-02-14,80
2015-02-15 - 2015-02-21,81
2015-02-22 - 2015-02-28,80
2015-03-01 - 2015-03-07,81
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,80
2015-03-22 - 2015-03-28,81
2015-03-29 - 2015-04-04,79
2015-04-05 - 2015-04-11,77
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,78
2015-04-26 - 2015-05-02,77
2015-05-03 - 2015-05-09,76
2015-05-10 - 2015-05-16,76
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,72
2015-05-31 - 2015-06-06,73
2015-06-07 - 2015-06-13,70
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,68
2015-06-28 - 2015-07-04,67
2015-07-05 - 2015-07-11,67
2015-07-12 - 2015-07-18,71
2015-07-19 - 2015-07-25,71
2015-07-26 - 2015-08-01,69
2015-08-02 - 2015-08-08,69
2015-08-09 - 2015-08-15,72
2015-08-16 - 2015-08-22,69
2015-08-23 - 2015-08-29,71
2015-08-30 - 2015-09-05,73
2015-09-06 - 2015-09-12,73
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,72
2015-09-27 - 2015-10-03,74
2015-10-04 - 2015-10-10,74
2015-10-11 - 2015-10-17,72
2015-10-18 - 2015-10-24,73
2015-10-25 - 2015-10-31,74
2015-11-01 - 2015-11-07,74
2015-11-08 - 2015-11-14,73
2015-11-15 - 2015-11-21,72
2015-11-22 - 2015-11-28,70
2015-11-29 - 2015-12-05,72
2015-12-06 - 2015-12-12,72
2015-12-13 - 2015-12-19,71
2015-12-20 - 2015-12-26,67
2015-12-27 - 2016-01-02,65
2016-01-03 - 2016-01-09,68
2016-01-10 - 2016-01-16,67
2016-01-17 - 2016-01-23,68
2016-01-24 - 2016-01-30,70
2016-01-31 - 2016-02-06,72
2016-02-07 - 2016-02-13,70
2016-02-14 - 2016-02-20,69
2016-02-21 - 2016-02-27,68
2016-02-28 - 2016-03-05,69
2016-03-06 - 2016-03-12,70
2016-03-13 - 2016-03-19,68
2016-03-20 - 2016-03-26,66
2016-03-27 - 2016-04-02,66
2016-04-03 - 2016-04-09,67
2016-04-10 - 2016-04-16,67
2016-04-17 - 2016-04-23,69
2016-04-24 - 2016-04-30,75


Top regions for googl
Region,googl
Algeria,100
Morocco,90
Yemen,60
Tunisia,44
Armenia,43
Syria,41
Pakistan,38
Jordan,34
Egypt,31
Iraq,31
Philippines,25
Lebanon,23
Oman,21
Georgia,21
Bosnia & Herzegovina,21
Ireland,20
Iran,18
India,18
Sri Lanka,17
Azerbaijan,16
United Arab Emirates,16
Qatar,16
Serbia,16
Saudi Arabia,15
Kuwait,15
Austria,14
Uruguay,13
Ecuador,12
France,12
Croatia,12
Bangladesh,11
Dominican Republic,11
Slovenia,11
Belgium,11
Norway,11
United Kingdom,11
Czech Republic,11
Colombia,10
Malaysia,10
Netherlands,10
Hungary,10
Switzerland,10
Israel,10
South Africa,10
Ukraine,10
Turkey,10
Mexico,9
United States,9
New Zealand,9
Venezuela,9
Nigeria,9
Greece,9
Germany,9
Indonesia,9
Chile,9
Slovakia,9
Canada,9
Italy,9
Australia,8
Denmark,8
Kazakhstan,8
Argentina,8
Peru,8
Poland,8
Bolivia,8
Portugal,8
Singapore,8
Brazil,8
Lithuania,8
Romania,7
Belarus,7
Spain,7
Finland,7
Sweden,6
Russia,6
Vietnam,6
Bulgaria,6
Hong Kong,5
Thailand,4
Taiwan,4
Japan,2
China,2


Top cities for googl
City,googl
Leesburg (United States),100
Casablanca (Morocco),86
Rabat (Morocco),52
Tunis (Tunisia),41
Lahore (Pakistan),36
Cairo (Egypt),29
Dublin (Ireland),22
Pune (India),19
Tehrān (Iran),17
Mumbai (India),17
Bangalore (India),16
Chennai (India),15
New Delhi (India),15
Riyadh (Saudi Arabia),14
Jeddah (Saudi Arabia),14



Top searches for googl
maps googl,100
translate googl,45
googl map,45
traduction googl,45
googl e,40
googl earth,35
googl video,35
googl play,25
googl chrome,25
googl traductor,25
googl com,20
googl mail,20
googl drive,15
www googl,15
googl images,15
googl news,15
googl docs,10
googl image,10
googl tradutor,10
googl search,10
googl übersetzer,10
googl uk,10
googl plus,10
googl stock,10
googl .com,5
traductor de googl,5



Rising searches for googl
googl play,Breakout
maps googl,+1,950%
translate googl,+1,850%
traduction googl,+1,150%
googl earth,+950%
googl map,+350%
googl video,+200%
googl e,+80%



