Web Search interest: xel
Worldwide 2004 - present

Interest over time
Week,xel
2012-04-01 - 2012-04-07,69
2012-04-08 - 2012-04-14,73
2012-04-15 - 2012-04-21,66
2012-04-22 - 2012-04-28,65
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,63
2012-05-20 - 2012-05-26,67
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,65
2012-06-24 - 2012-06-30,74
2012-07-01 - 2012-07-07,70
2012-07-08 - 2012-07-14,81
2012-07-15 - 2012-07-21,83
2012-07-22 - 2012-07-28,79
2012-07-29 - 2012-08-04,79
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,76
2012-08-19 - 2012-08-25,85
2012-08-26 - 2012-09-01,88
2012-09-02 - 2012-09-08,79
2012-09-09 - 2012-09-15,64
2012-09-16 - 2012-09-22,72
2012-09-23 - 2012-09-29,69
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,59
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,60
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,59
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,68
2012-12-30 - 2013-01-05,73
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,68
2013-01-20 - 2013-01-26,66
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,60
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,80
2013-03-17 - 2013-03-23,79
2013-03-24 - 2013-03-30,76
2013-03-31 - 2013-04-06,68
2013-04-07 - 2013-04-13,72
2013-04-14 - 2013-04-20,60
2013-04-21 - 2013-04-27,62
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,65
2013-05-26 - 2013-06-01,57
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,62
2013-06-16 - 2013-06-22,62
2013-06-23 - 2013-06-29,66
2013-06-30 - 2013-07-06,65
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,66
2013-07-28 - 2013-08-03,66
2013-08-04 - 2013-08-10,64
2013-08-11 - 2013-08-17,57
2013-08-18 - 2013-08-24,58
2013-08-25 - 2013-08-31,60
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,53
2013-10-20 - 2013-10-26,51
2013-10-27 - 2013-11-02,49
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,55
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,52
2013-12-29 - 2014-01-04,61
2014-01-05 - 2014-01-11,62
2014-01-12 - 2014-01-18,55
2014-01-19 - 2014-01-25,57
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,54
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,60
2014-03-23 - 2014-03-29,64
2014-03-30 - 2014-04-05,62
2014-04-06 - 2014-04-12,64
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,62
2014-04-27 - 2014-05-03,58
2014-05-04 - 2014-05-10,69
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,59
2014-06-29 - 2014-07-05,63
2014-07-06 - 2014-07-12,61
2014-07-13 - 2014-07-19,62
2014-07-20 - 2014-07-26,69
2014-07-27 - 2014-08-02,71
2014-08-03 - 2014-08-09,67
2014-08-10 - 2014-08-16,62
2014-08-17 - 2014-08-23,58
2014-08-24 - 2014-08-30,50
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,48
2014-09-14 - 2014-09-20,52
2014-09-21 - 2014-09-27,52
2014-09-28 - 2014-10-04,47
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,51
2014-10-26 - 2014-11-01,50
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,59
2014-11-16 - 2014-11-22,57
2014-11-23 - 2014-11-29,48
2014-11-30 - 2014-12-06,47
2014-12-07 - 2014-12-13,54
2014-12-14 - 2014-12-20,52
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,59
2015-01-04 - 2015-01-10,58
2015-01-11 - 2015-01-17,61
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,55
2015-02-08 - 2015-02-14,56
2015-02-15 - 2015-02-21,58
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,60
2015-03-15 - 2015-03-21,61
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,63
2015-04-05 - 2015-04-11,64
2015-04-12 - 2015-04-18,60
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,62
2015-05-03 - 2015-05-09,62
2015-05-10 - 2015-05-16,61
2015-05-17 - 2015-05-23,65
2015-05-24 - 2015-05-30,60
2015-05-31 - 2015-06-06,61
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,60
2015-06-21 - 2015-06-27,63
2015-06-28 - 2015-07-04,67
2015-07-05 - 2015-07-11,69
2015-07-12 - 2015-07-18,70
2015-07-19 - 2015-07-25,78
2015-07-26 - 2015-08-01,74
2015-08-02 - 2015-08-08,72
2015-08-09 - 2015-08-15,71
2015-08-16 - 2015-08-22,65
2015-08-23 - 2015-08-29,63
2015-08-30 - 2015-09-05,56
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,54
2015-09-27 - 2015-10-03,52
2015-10-04 - 2015-10-10,52
2015-10-11 - 2015-10-17,52
2015-10-18 - 2015-10-24,52
2015-10-25 - 2015-10-31,50
2015-11-01 - 2015-11-07,52
2015-11-08 - 2015-11-14,70
2015-11-15 - 2015-11-21,65
2015-11-22 - 2015-11-28,58
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,53
2015-12-13 - 2015-12-19,53
2015-12-20 - 2015-12-26,60
2015-12-27 - 2016-01-02,64
2016-01-03 - 2016-01-09,71
2016-01-10 - 2016-01-16,68
2016-01-17 - 2016-01-23,67
2016-01-24 - 2016-01-30,59
2016-01-31 - 2016-02-06,57
2016-02-07 - 2016-02-13,56
2016-02-14 - 2016-02-20,59
2016-02-21 - 2016-02-27,61
2016-02-28 - 2016-03-05,62
2016-03-06 - 2016-03-12,64
2016-03-13 - 2016-03-19,68
2016-03-20 - 2016-03-26,68
2016-03-27 - 2016-04-02,68
2016-04-03 - 2016-04-09,59
2016-04-10 - 2016-04-16,60
2016-04-17 - 2016-04-23,61
2016-04-24 - 2016-04-30,68


Top regions for xel
Region,xel
Mexico,100
United Kingdom,21
Argentina,18
Canada,18
France,16
Peru,14
Spain,13
Chile,11
Colombia,10
Vietnam,10
Belgium,9
United States,9
Netherlands,9
Italy,7
Germany,5
Brazil,4
Poland,3
Australia,3
Japan,2
India,2


Top cities for xel
City,xel
Playa del Carmen (Mexico),100
Cancún (Mexico),34
Merida (Mexico),8
Mexico City (Mexico),2
Guadalajara (Mexico),2
Monterrey (Mexico),1
Calgary (Canada),1
Buenos Aires (Argentina),0
Birmingham (United Kingdom),0
London (United Kingdom),0
Manchester (United Kingdom),0
Barcelona (Spain),0
Hanoi (Vietnam),0
Madrid (Spain),0
Toronto (Canada),0



Top searches for xel
xel ha,100
xcaret,20
xel ha xcaret,20
cancun xel ha,20
xel ha mexico,10
tulum xel ha,10
xel share,5
xel iii,5
xel share price,5
xcaret cancun,5
dofus xel,5
xplor,5
xel ha park,5
xel air,5
xcaret mexico,5
xelha,5
ian xel lungold,5
xel-ha,0
xel eau,0
xel feu,0
xel 1,0
xel ha precios,0
xel lse,0
parque xel ha,0
xel terre,0
xel sagesse,0
can xel,0
xel ha map,0
xplor cancun,0
xel ha reviews,0
xel ha precio,0
triatlon xel ha,0
xcaret park,0
xel seriate,0
xel stock,0



Rising searches for xel
xel iii,Breakout
xel share,Breakout
xel share price,Breakout
xcaret cancun,+160%
cancun xel ha,+130%
xel ha xcaret,+120%
xcaret,+100%
xel ha mexico,+90%
xel ha,+80%



