Web Search interest: fox
Worldwide 2004 - present

Interest over time
Week,fox
2005-03-27 - 2005-04-02,51
2005-04-03 - 2005-04-09,46
2005-04-10 - 2005-04-16,45
2005-04-17 - 2005-04-23,46
2005-04-24 - 2005-04-30,49
2005-05-01 - 2005-05-07,51
2005-05-08 - 2005-05-14,49
2005-05-15 - 2005-05-21,50
2005-05-22 - 2005-05-28,52
2005-05-29 - 2005-06-04,44
2005-06-05 - 2005-06-11,46
2005-06-12 - 2005-06-18,48
2005-06-19 - 2005-06-25,44
2005-06-26 - 2005-07-02,45
2005-07-03 - 2005-07-09,47
2005-07-10 - 2005-07-16,45
2005-07-17 - 2005-07-23,45
2005-07-24 - 2005-07-30,45
2005-07-31 - 2005-08-06,45
2005-08-07 - 2005-08-13,46
2005-08-14 - 2005-08-20,47
2005-08-21 - 2005-08-27,46
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,58
2005-09-11 - 2005-09-17,56
2005-09-18 - 2005-09-24,57
2005-09-25 - 2005-10-01,49
2005-10-02 - 2005-10-08,49
2005-10-09 - 2005-10-15,47
2005-10-16 - 2005-10-22,46
2005-10-23 - 2005-10-29,45
2005-10-30 - 2005-11-05,45
2005-11-06 - 2005-11-12,47
2005-11-13 - 2005-11-19,45
2005-11-20 - 2005-11-26,42
2005-11-27 - 2005-12-03,45
2005-12-04 - 2005-12-10,48
2005-12-11 - 2005-12-17,46
2005-12-18 - 2005-12-24,44
2005-12-25 - 2005-12-31,42
2006-01-01 - 2006-01-07,49
2006-01-08 - 2006-01-14,48
2006-01-15 - 2006-01-21,50
2006-01-22 - 2006-01-28,49
2006-01-29 - 2006-02-04,48
2006-02-05 - 2006-02-11,46
2006-02-12 - 2006-02-18,45
2006-02-19 - 2006-02-25,45
2006-02-26 - 2006-03-04,45
2006-03-05 - 2006-03-11,47
2006-03-12 - 2006-03-18,48
2006-03-19 - 2006-03-25,46
2006-03-26 - 2006-04-01,45
2006-04-02 - 2006-04-08,46
2006-04-09 - 2006-04-15,45
2006-04-16 - 2006-04-22,46
2006-04-23 - 2006-04-29,46
2006-04-30 - 2006-05-06,51
2006-05-07 - 2006-05-13,47
2006-05-14 - 2006-05-20,49
2006-05-21 - 2006-05-27,49
2006-05-28 - 2006-06-03,41
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,43
2006-06-18 - 2006-06-24,41
2006-06-25 - 2006-07-01,41
2006-07-02 - 2006-07-08,39
2006-07-09 - 2006-07-15,43
2006-07-16 - 2006-07-22,45
2006-07-23 - 2006-07-29,44
2006-07-30 - 2006-08-05,45
2006-08-06 - 2006-08-12,48
2006-08-13 - 2006-08-19,49
2006-08-20 - 2006-08-26,47
2006-08-27 - 2006-09-02,49
2006-09-03 - 2006-09-09,51
2006-09-10 - 2006-09-16,51
2006-09-17 - 2006-09-23,49
2006-09-24 - 2006-09-30,55
2006-10-01 - 2006-10-07,52
2006-10-08 - 2006-10-14,52
2006-10-15 - 2006-10-21,48
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,51
2006-11-05 - 2006-11-11,60
2006-11-12 - 2006-11-18,49
2006-11-19 - 2006-11-25,45
2006-11-26 - 2006-12-02,50
2006-12-03 - 2006-12-09,48
2006-12-10 - 2006-12-16,46
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,46
2006-12-31 - 2007-01-06,53
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,55
2007-01-21 - 2007-01-27,51
2007-01-28 - 2007-02-03,50
2007-02-04 - 2007-02-10,53
2007-02-11 - 2007-02-17,56
2007-02-18 - 2007-02-24,54
2007-02-25 - 2007-03-03,54
2007-03-04 - 2007-03-10,49
2007-03-11 - 2007-03-17,51
2007-03-18 - 2007-03-24,50
2007-03-25 - 2007-03-31,48
2007-04-01 - 2007-04-07,51
2007-04-08 - 2007-04-14,49
2007-04-15 - 2007-04-21,59
2007-04-22 - 2007-04-28,48
2007-04-29 - 2007-05-05,50
2007-05-06 - 2007-05-12,47
2007-05-13 - 2007-05-19,51
2007-05-20 - 2007-05-26,50
2007-05-27 - 2007-06-02,45
2007-06-03 - 2007-06-09,50
2007-06-10 - 2007-06-16,46
2007-06-17 - 2007-06-23,45
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,61
2007-07-08 - 2007-07-14,62
2007-07-15 - 2007-07-21,57
2007-07-22 - 2007-07-28,55
2007-07-29 - 2007-08-04,56
2007-08-05 - 2007-08-11,53
2007-08-12 - 2007-08-18,53
2007-08-19 - 2007-08-25,52
2007-08-26 - 2007-09-01,51
2007-09-02 - 2007-09-08,50
2007-09-09 - 2007-09-15,54
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,58
2007-09-30 - 2007-10-06,53
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,59
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,56
2007-11-04 - 2007-11-10,53
2007-11-11 - 2007-11-17,51
2007-11-18 - 2007-11-24,54
2007-11-25 - 2007-12-01,56
2007-12-02 - 2007-12-08,57
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,51
2007-12-23 - 2007-12-29,51
2007-12-30 - 2008-01-05,61
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,57
2008-01-20 - 2008-01-26,57
2008-01-27 - 2008-02-02,59
2008-02-03 - 2008-02-09,68
2008-02-10 - 2008-02-16,60
2008-02-17 - 2008-02-23,59
2008-02-24 - 2008-03-01,56
2008-03-02 - 2008-03-08,57
2008-03-09 - 2008-03-15,54
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,52
2008-04-06 - 2008-04-12,52
2008-04-13 - 2008-04-19,51
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,64
2008-05-04 - 2008-05-10,57
2008-05-11 - 2008-05-17,64
2008-05-18 - 2008-05-24,58
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,60
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,53
2008-06-22 - 2008-06-28,50
2008-06-29 - 2008-07-05,51
2008-07-06 - 2008-07-12,53
2008-07-13 - 2008-07-19,57
2008-07-20 - 2008-07-26,54
2008-07-27 - 2008-08-02,54
2008-08-03 - 2008-08-09,55
2008-08-10 - 2008-08-16,58
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,64
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,71
2008-09-14 - 2008-09-20,76
2008-09-21 - 2008-09-27,73
2008-09-28 - 2008-10-04,78
2008-10-05 - 2008-10-11,70
2008-10-12 - 2008-10-18,69
2008-10-19 - 2008-10-25,66
2008-10-26 - 2008-11-01,69
2008-11-02 - 2008-11-08,92
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,55
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,62
2008-12-14 - 2008-12-20,62
2008-12-21 - 2008-12-27,57
2008-12-28 - 2009-01-03,62
2009-01-04 - 2009-01-10,61
2009-01-11 - 2009-01-17,66
2009-01-18 - 2009-01-24,69
2009-01-25 - 2009-01-31,67
2009-02-01 - 2009-02-07,60
2009-02-08 - 2009-02-14,60
2009-02-15 - 2009-02-21,61
2009-02-22 - 2009-02-28,65
2009-03-01 - 2009-03-07,67
2009-03-08 - 2009-03-14,60
2009-03-15 - 2009-03-21,61
2009-03-22 - 2009-03-28,62
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,68
2009-04-12 - 2009-04-18,65
2009-04-19 - 2009-04-25,63
2009-04-26 - 2009-05-02,66
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,65
2009-05-17 - 2009-05-23,63
2009-05-24 - 2009-05-30,59
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,73
2009-06-21 - 2009-06-27,100
2009-06-28 - 2009-07-04,99
2009-07-05 - 2009-07-11,87
2009-07-12 - 2009-07-18,75
2009-07-19 - 2009-07-25,72
2009-07-26 - 2009-08-01,71
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,69
2009-08-16 - 2009-08-22,65
2009-08-23 - 2009-08-29,67
2009-08-30 - 2009-09-05,67
2009-09-06 - 2009-09-12,76
2009-09-13 - 2009-09-19,81
2009-09-20 - 2009-09-26,77
2009-09-27 - 2009-10-03,74
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,70
2009-10-18 - 2009-10-24,69
2009-10-25 - 2009-10-31,68
2009-11-01 - 2009-11-07,73
2009-11-08 - 2009-11-14,69
2009-11-15 - 2009-11-21,66
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,64
2009-12-06 - 2009-12-12,63
2009-12-13 - 2009-12-19,60
2009-12-20 - 2009-12-26,59
2009-12-27 - 2010-01-02,71
2010-01-03 - 2010-01-09,69
2010-01-10 - 2010-01-16,69
2010-01-17 - 2010-01-23,67
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,70
2010-02-14 - 2010-02-20,61
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,58
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,60
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,57
2010-04-25 - 2010-05-01,58
2010-05-02 - 2010-05-08,58
2010-05-09 - 2010-05-15,58
2010-05-16 - 2010-05-22,67
2010-05-23 - 2010-05-29,61
2010-05-30 - 2010-06-05,59
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,60
2010-06-20 - 2010-06-26,58
2010-06-27 - 2010-07-03,61
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,56
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,58
2010-08-08 - 2010-08-14,62
2010-08-15 - 2010-08-21,59
2010-08-22 - 2010-08-28,59
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,58
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,64
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,59
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,55
2010-11-21 - 2010-11-27,53
2010-11-28 - 2010-12-04,54
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,55
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,64
2011-01-16 - 2011-01-22,58
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,65
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,55
2011-03-06 - 2011-03-12,62
2011-03-13 - 2011-03-19,59
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,56
2011-04-10 - 2011-04-16,55
2011-04-17 - 2011-04-23,55
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,50
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,57
2011-07-03 - 2011-07-09,61
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,54
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,55
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,55
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,54
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,55
2011-11-20 - 2011-11-26,49
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,49
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,58
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,53
2012-02-05 - 2012-02-11,53
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,56
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,54
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,47
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,46
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,50
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,53
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,55
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,54
2012-10-14 - 2012-10-20,61
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,89
2012-11-11 - 2012-11-17,55
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,51
2012-12-09 - 2012-12-15,62
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,54
2012-12-30 - 2013-01-05,61
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,57
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,54
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,54
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,51
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,77
2013-04-21 - 2013-04-27,56
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,54
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,46
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,48
2013-07-07 - 2013-07-13,52
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,53
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,53
2013-08-25 - 2013-08-31,52
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,65
2013-09-22 - 2013-09-28,68
2013-09-29 - 2013-10-05,75
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,72
2013-10-27 - 2013-11-02,73
2013-11-03 - 2013-11-09,71
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,63
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,60
2013-12-08 - 2013-12-14,63
2013-12-15 - 2013-12-21,57
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,62
2014-01-12 - 2014-01-18,57
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,59
2014-02-16 - 2014-02-22,53
2014-02-23 - 2014-03-01,53
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,55
2014-03-23 - 2014-03-29,54
2014-03-30 - 2014-04-05,54
2014-04-06 - 2014-04-12,53
2014-04-13 - 2014-04-19,51
2014-04-20 - 2014-04-26,51
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,51
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,45
2014-06-01 - 2014-06-07,47
2014-06-08 - 2014-06-14,50
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,47
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,51
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,51
2014-08-03 - 2014-08-09,54
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,56
2014-08-24 - 2014-08-30,52
2014-08-31 - 2014-09-06,51
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,56
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,59
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,54
2014-11-02 - 2014-11-08,59
2014-11-09 - 2014-11-15,51
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,56
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,50
2014-12-14 - 2014-12-20,52
2014-12-21 - 2014-12-27,54
2014-12-28 - 2015-01-03,55
2015-01-04 - 2015-01-10,60
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,56
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,57
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,50
2015-03-15 - 2015-03-21,51
2015-03-22 - 2015-03-28,50
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,49
2015-04-12 - 2015-04-18,49
2015-04-19 - 2015-04-25,49
2015-04-26 - 2015-05-02,51
2015-05-03 - 2015-05-09,51
2015-05-10 - 2015-05-16,52
2015-05-17 - 2015-05-23,47
2015-05-24 - 2015-05-30,49
2015-05-31 - 2015-06-06,48
2015-06-07 - 2015-06-13,49
2015-06-14 - 2015-06-20,49
2015-06-21 - 2015-06-27,49
2015-06-28 - 2015-07-04,47
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,48
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,49
2015-08-02 - 2015-08-08,63
2015-08-09 - 2015-08-15,52
2015-08-16 - 2015-08-22,53
2015-08-23 - 2015-08-29,52
2015-08-30 - 2015-09-05,52
2015-09-06 - 2015-09-12,49
2015-09-13 - 2015-09-19,51
2015-09-20 - 2015-09-26,55
2015-09-27 - 2015-10-03,53
2015-10-04 - 2015-10-10,51
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,54
2015-11-01 - 2015-11-07,52
2015-11-08 - 2015-11-14,59
2015-11-15 - 2015-11-21,53
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,53
2015-12-06 - 2015-12-12,51
2015-12-13 - 2015-12-19,50
2015-12-20 - 2015-12-26,49
2015-12-27 - 2016-01-02,51
2016-01-03 - 2016-01-09,50
2016-01-10 - 2016-01-16,54
2016-01-17 - 2016-01-23,53
2016-01-24 - 2016-01-30,62
2016-01-31 - 2016-02-06,52
2016-02-07 - 2016-02-13,52
2016-02-14 - 2016-02-20,51
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,58
2016-03-06 - 2016-03-12,52
2016-03-13 - 2016-03-19,51
2016-03-20 - 2016-03-26,51
2016-03-27 - 2016-04-02,48
2016-04-03 - 2016-04-09,51
2016-04-10 - 2016-04-16,55
2016-04-17 - 2016-04-23,50
2016-04-24 - 2016-04-30,53


Top regions for fox
Region,fox
United States,100
Australia,55
Turkey,48
Canada,45
Ecuador,43
Argentina,42
Uruguay,40
Peru,39
Chile,39
Mexico,39
Colombia,36
New Zealand,36
Costa Rica,35
United Kingdom,34
Italy,32
Brazil,29
Serbia,29
Ireland,28
Bolivia,27
Portugal,27
Philippines,25
Netherlands,24
Singapore,22
Venezuela,22
Norway,21
Bulgaria,21
South Africa,19
Germany,18
Austria,18
Sweden,18
Finland,18
Czech Republic,17
Switzerland,17
Spain,17
Israel,17
Croatia,17
United Arab Emirates,16
Malaysia,16
Denmark,16
Indonesia,14
Hungary,14
Belgium,14
Greece,13
Pakistan,13
Poland,13
France,12
Romania,11
Egypt,10
India,9
Taiwan,9
Thailand,8
Vietnam,7
Saudi Arabia,6
Russia,6
Ukraine,5
Japan,4


Top cities for fox
City,fox
St. Louis (United States),100
Atlanta (United States),78
Denver (United States),74
Phoenix (United States),71
Philadelphia (United States),70
Chicago (United States),69
Washington (United States),67
Dallas (United States),66
Houston (United States),61
San Diego (United States),59
Los Angeles (United States),56
Seattle (United States),54
New York (United States),48
San Francisco (United States),48
Sydney (Australia),37



Top searches for fox
fox news,100
news,100
megan fox,35
the fox,30
fox sports,25
fox tv,20
fox sport,10
cnn,5
fire fox,5
fox channel,5
cnn news,5
fox 5,5
fox new,5
fox en vivo,5
paolo fox,5
espn,5
fox 8,5
fox canlı,5
michael j fox,5
oroscopo fox,5
oroscopo,5
red fox,5
paolo fox oroscopo,5
manga fox,5
fox 6,5
abc,5
fox soccer,0
fox theater,0
fox tv canlı,0
fox terrier,0
fox life,0
fox tv izle,0
fox 2 news,0
fox 5 news,0
fox racing,0
fox news channel,0
samantha fox,0
nbc,0
fox movies,0
fox 13,0
fox 4 news,0
drudge,0
fox news live,0
fox play,0
fox canlı izle,0
fox 9,0
fox 11,0
fox and hound,0
fox 8 news,0
fox network,0



Rising searches for fox
fox canlı,Breakout
megan fox,+2,850%
fox en vivo,+1,400%
paolo fox,+200%
michael j fox,+90%
fox 8,+70%
espn,+60%
fox sport,+50%
fox news,+40%
news,+40%



