Web Search interest: col
Worldwide 2004 - present

Interest over time
Week,col
2010-05-16 - 2010-05-22,70
2010-05-23 - 2010-05-29,70
2010-05-30 - 2010-06-05,71
2010-06-06 - 2010-06-12,71
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,70
2010-07-04 - 2010-07-10,71
2010-07-11 - 2010-07-17,84
2010-07-18 - 2010-07-24,87
2010-07-25 - 2010-07-31,71
2010-08-01 - 2010-08-07,72
2010-08-08 - 2010-08-14,70
2010-08-15 - 2010-08-21,69
2010-08-22 - 2010-08-28,70
2010-08-29 - 2010-09-04,69
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,70
2010-09-19 - 2010-09-25,72
2010-09-26 - 2010-10-02,71
2010-10-03 - 2010-10-09,72
2010-10-10 - 2010-10-16,72
2010-10-17 - 2010-10-23,85
2010-10-24 - 2010-10-30,73
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,72
2010-11-14 - 2010-11-20,76
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,77
2010-12-05 - 2010-12-11,74
2010-12-12 - 2010-12-18,73
2010-12-19 - 2010-12-25,72
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,72
2011-01-09 - 2011-01-15,76
2011-01-16 - 2011-01-22,77
2011-01-23 - 2011-01-29,85
2011-01-30 - 2011-02-05,94
2011-02-06 - 2011-02-12,83
2011-02-13 - 2011-02-19,85
2011-02-20 - 2011-02-26,86
2011-02-27 - 2011-03-05,82
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,74
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,74
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,76
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,74
2011-05-22 - 2011-05-28,75
2011-05-29 - 2011-06-04,81
2011-06-05 - 2011-06-11,76
2011-06-12 - 2011-06-18,76
2011-06-19 - 2011-06-25,75
2011-06-26 - 2011-07-02,77
2011-07-03 - 2011-07-09,77
2011-07-10 - 2011-07-16,82
2011-07-17 - 2011-07-23,95
2011-07-24 - 2011-07-30,75
2011-07-31 - 2011-08-06,79
2011-08-07 - 2011-08-13,73
2011-08-14 - 2011-08-20,72
2011-08-21 - 2011-08-27,76
2011-08-28 - 2011-09-03,73
2011-09-04 - 2011-09-10,73
2011-09-11 - 2011-09-17,71
2011-09-18 - 2011-09-24,73
2011-09-25 - 2011-10-01,74
2011-10-02 - 2011-10-08,73
2011-10-09 - 2011-10-15,71
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,75
2011-10-30 - 2011-11-05,73
2011-11-06 - 2011-11-12,73
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,72
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,76
2011-12-11 - 2011-12-17,77
2011-12-18 - 2011-12-24,74
2011-12-25 - 2011-12-31,74
2012-01-01 - 2012-01-07,73
2012-01-08 - 2012-01-14,74
2012-01-15 - 2012-01-21,77
2012-01-22 - 2012-01-28,76
2012-01-29 - 2012-02-04,77
2012-02-05 - 2012-02-11,77
2012-02-12 - 2012-02-18,74
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,78
2012-03-04 - 2012-03-10,72
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,69
2012-03-25 - 2012-03-31,69
2012-04-01 - 2012-04-07,65
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,72
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,69
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,72
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,71
2012-06-03 - 2012-06-09,72
2012-06-10 - 2012-06-16,71
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,71
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,84
2012-07-15 - 2012-07-21,80
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,72
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,72
2012-08-19 - 2012-08-25,72
2012-08-26 - 2012-09-01,73
2012-09-02 - 2012-09-08,75
2012-09-09 - 2012-09-15,74
2012-09-16 - 2012-09-22,73
2012-09-23 - 2012-09-29,75
2012-09-30 - 2012-10-06,71
2012-10-07 - 2012-10-13,71
2012-10-14 - 2012-10-20,71
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,70
2012-11-04 - 2012-11-10,70
2012-11-11 - 2012-11-17,71
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,76
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,70
2012-12-23 - 2012-12-29,67
2012-12-30 - 2013-01-05,68
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,79
2013-01-20 - 2013-01-26,78
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,75
2013-02-10 - 2013-02-16,76
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,72
2013-03-17 - 2013-03-23,71
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,68
2013-04-07 - 2013-04-13,69
2013-04-14 - 2013-04-20,71
2013-04-21 - 2013-04-27,70
2013-04-28 - 2013-05-04,70
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,72
2013-05-19 - 2013-05-25,83
2013-05-26 - 2013-06-01,74
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,74
2013-06-16 - 2013-06-22,76
2013-06-23 - 2013-06-29,75
2013-06-30 - 2013-07-06,79
2013-07-07 - 2013-07-13,79
2013-07-14 - 2013-07-20,88
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,76
2013-08-04 - 2013-08-10,76
2013-08-11 - 2013-08-17,75
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,73
2013-09-08 - 2013-09-14,72
2013-09-15 - 2013-09-21,71
2013-09-22 - 2013-09-28,70
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,71
2013-10-20 - 2013-10-26,71
2013-10-27 - 2013-11-02,70
2013-11-03 - 2013-11-09,74
2013-11-10 - 2013-11-16,75
2013-11-17 - 2013-11-23,79
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,74
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,73
2013-12-22 - 2013-12-28,70
2013-12-29 - 2014-01-04,72
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,81
2014-01-19 - 2014-01-25,81
2014-01-26 - 2014-02-01,81
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,74
2014-03-16 - 2014-03-22,71
2014-03-23 - 2014-03-29,75
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,75
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,76
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,78
2014-06-01 - 2014-06-07,77
2014-06-08 - 2014-06-14,78
2014-06-15 - 2014-06-21,83
2014-06-22 - 2014-06-28,78
2014-06-29 - 2014-07-05,85
2014-07-06 - 2014-07-12,79
2014-07-13 - 2014-07-19,84
2014-07-20 - 2014-07-26,85
2014-07-27 - 2014-08-02,79
2014-08-03 - 2014-08-09,79
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,81
2014-08-24 - 2014-08-30,78
2014-08-31 - 2014-09-06,77
2014-09-07 - 2014-09-13,76
2014-09-14 - 2014-09-20,73
2014-09-21 - 2014-09-27,76
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,75
2014-10-12 - 2014-10-18,76
2014-10-19 - 2014-10-25,78
2014-10-26 - 2014-11-01,76
2014-11-02 - 2014-11-08,79
2014-11-09 - 2014-11-15,81
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,77
2014-11-30 - 2014-12-06,79
2014-12-07 - 2014-12-13,80
2014-12-14 - 2014-12-20,76
2014-12-21 - 2014-12-27,75
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,77
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,85
2015-01-25 - 2015-01-31,92
2015-02-01 - 2015-02-07,88
2015-02-08 - 2015-02-14,81
2015-02-15 - 2015-02-21,85
2015-02-22 - 2015-02-28,82
2015-03-01 - 2015-03-07,81
2015-03-08 - 2015-03-14,78
2015-03-15 - 2015-03-21,76
2015-03-22 - 2015-03-28,80
2015-03-29 - 2015-04-04,73
2015-04-05 - 2015-04-11,75
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,77
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,77
2015-05-10 - 2015-05-16,84
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,82
2015-05-31 - 2015-06-06,80
2015-06-07 - 2015-06-13,81
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,83
2015-06-28 - 2015-07-04,83
2015-07-05 - 2015-07-11,82
2015-07-12 - 2015-07-18,89
2015-07-19 - 2015-07-25,98
2015-07-26 - 2015-08-01,86
2015-08-02 - 2015-08-08,83
2015-08-09 - 2015-08-15,84
2015-08-16 - 2015-08-22,84
2015-08-23 - 2015-08-29,82
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,80
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,80
2015-09-27 - 2015-10-03,79
2015-10-04 - 2015-10-10,80
2015-10-11 - 2015-10-17,82
2015-10-18 - 2015-10-24,81
2015-10-25 - 2015-10-31,80
2015-11-01 - 2015-11-07,82
2015-11-08 - 2015-11-14,82
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,86
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,86
2015-12-13 - 2015-12-19,87
2015-12-20 - 2015-12-26,93
2015-12-27 - 2016-01-02,89
2016-01-03 - 2016-01-09,100
2016-01-10 - 2016-01-16,92
2016-01-17 - 2016-01-23,91
2016-01-24 - 2016-01-30,89
2016-01-31 - 2016-02-06,84
2016-02-07 - 2016-02-13,88
2016-02-14 - 2016-02-20,96
2016-02-21 - 2016-02-27,85
2016-02-28 - 2016-03-05,86
2016-03-06 - 2016-03-12,84
2016-03-13 - 2016-03-19,83
2016-03-20 - 2016-03-26,77
2016-03-27 - 2016-04-02,81
2016-04-03 - 2016-04-09,81
2016-04-10 - 2016-04-16,83
2016-04-17 - 2016-04-23,81
2016-04-24 - 2016-04-30,88


Top regions for col
Region,col
Italy,100
France,54
Mexico,54
Réunion,46
Philippines,30
Switzerland,29
Colombia,25
Romania,23
Slovenia,22
Belgium,20
Hungary,18
Tunisia,16
Spain,15
Algeria,14
Ecuador,13
Morocco,11
Australia,11
Venezuela,10
Singapore,10
Pakistan,9
Canada,9
United States,9
Israel,9
Bolivia,9
United Arab Emirates,8
Peru,8
Netherlands,8
South Africa,8
United Kingdom,7
Chile,7
India,7
New Zealand,6
Argentina,6
Ireland,6
Brazil,5
Austria,4
Germany,4
Denmark,4
Portugal,4
Norway,4
South Korea,3
Sweden,3
Saudi Arabia,3
Malaysia,2
Indonesia,2
Poland,2
Turkey,2
Japan,1
Thailand,1
Vietnam,1
China,1
Russia,1


Top cities for col
City,col
Grenoble (France),100
Catania (Italy),90
Palermo (Italy),73
Naples (Italy),68
Bari (Italy),64
Milan (Italy),64
Turin (Italy),63
Rome (Italy),61
Bologna (Italy),60
Florence (Italy),53
Mexico City (Mexico),53
Lyon (France),47
Monterrey (Mexico),41
Toulouse (France),35
Paris (France),32



Top searches for col
le col,100
google col,50
lt col,50
col financial,35
col 3,35
1 col,30
via col vento,25
d col,20
col uterin,20
col uterus,20
col tv,15
col roulé,15
col math,15
yahoo col,15
col live,15
col vert,15
ensalada de col,15
col blanc,10
col claudine,10
col di lana,10
free col,10
col mao,10
col moschin,10
intervista col vampiro,10
col du galibier,10
col du lautaret,10
col de cygne,10
col du femur,10
cancer du col,10
bootstrap col,10
col bleu,10
col math games,5
coca col,5
html col,5
pappa col pomodoro,5
col sanders,5
natale col boss,5
col rizada,5
col du fémur,5
col du tourmalet,5
le col vert,5
col morada,5
col lombarda,5
noticias col,5
col mou,5
scarpe col tacco,5
cancer col uterus,5
sopa de col,5



Rising searches for col
col financial,+2,350%
google col,+1,300%
col roulé,+200%
1 col,+160%
col tv,+160%
col 3,+110%
le col,+40%



