Web Search interest: foxa
Worldwide 2004 - present

Interest over time
Week,foxa
2008-08-31 - 2008-09-06,58
2008-09-07 - 2008-09-13,46
2008-09-14 - 2008-09-20,52
2008-09-21 - 2008-09-27,61
2008-09-28 - 2008-10-04,74
2008-10-05 - 2008-10-11,50
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,69
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,45
2008-11-09 - 2008-11-15,66
2008-11-16 - 2008-11-22,43
2008-11-23 - 2008-11-29,89
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,47
2008-12-14 - 2008-12-20,52
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,57
2009-02-15 - 2009-02-21,55
2009-02-22 - 2009-02-28,47
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,60
2009-03-15 - 2009-03-21,47
2009-03-22 - 2009-03-28,44
2009-03-29 - 2009-04-04,47
2009-04-05 - 2009-04-11,39
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,36
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,45
2009-05-31 - 2009-06-06,47
2009-06-07 - 2009-06-13,40
2009-06-14 - 2009-06-20,42
2009-06-21 - 2009-06-27,47
2009-06-28 - 2009-07-04,42
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,43
2009-07-26 - 2009-08-01,34
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,34
2009-08-16 - 2009-08-22,33
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,44
2009-09-06 - 2009-09-12,48
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,45
2009-10-04 - 2009-10-10,87
2009-10-11 - 2009-10-17,87
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,60
2009-11-22 - 2009-11-28,50
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,37
2009-12-13 - 2009-12-19,53
2009-12-20 - 2009-12-26,39
2009-12-27 - 2010-01-02,40
2010-01-03 - 2010-01-09,33
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,44
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,45
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,49
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,50
2010-04-25 - 2010-05-01,41
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,42
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,31
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,27
2010-08-01 - 2010-08-07,39
2010-08-08 - 2010-08-14,24
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,41
2010-09-05 - 2010-09-11,35
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,44
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,53
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,50
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,37
2010-12-12 - 2010-12-18,49
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,39
2011-01-16 - 2011-01-22,43
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,50
2011-02-20 - 2011-02-26,43
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,49
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,46
2011-04-03 - 2011-04-09,45
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,44
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,40
2011-06-19 - 2011-06-25,33
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,47
2011-10-30 - 2011-11-05,40
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,38
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,40
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,43
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,45
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,50
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,40
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,36
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,38
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,27
2012-08-19 - 2012-08-25,29
2012-08-26 - 2012-09-01,31
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,37
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,32
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,31
2013-03-17 - 2013-03-23,29
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,37
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,28
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,34
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,24
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,29
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,28
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,24
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,23
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,21
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,17
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,12
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,16
2014-09-14 - 2014-09-20,22
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,19
2014-10-26 - 2014-11-01,23
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,19
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,21
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,22
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,21
2015-06-14 - 2015-06-20,25
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,17
2015-08-02 - 2015-08-08,25
2015-08-09 - 2015-08-15,18
2015-08-16 - 2015-08-22,15
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,19
2015-09-06 - 2015-09-12,24
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,17
2015-09-27 - 2015-10-03,21
2015-10-04 - 2015-10-10,19
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,26
2015-10-25 - 2015-10-31,17
2015-11-01 - 2015-11-07,22
2015-11-08 - 2015-11-14,18
2015-11-15 - 2015-11-21,26
2015-11-22 - 2015-11-28,25
2015-11-29 - 2015-12-05,17
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,14
2015-12-27 - 2016-01-02,15
2016-01-03 - 2016-01-09,17
2016-01-10 - 2016-01-16,18
2016-01-17 - 2016-01-23,20
2016-01-24 - 2016-01-30,18
2016-01-31 - 2016-02-06,23
2016-02-07 - 2016-02-13,25
2016-02-14 - 2016-02-20,18
2016-02-21 - 2016-02-27,18
2016-02-28 - 2016-03-05,20
2016-03-06 - 2016-03-12,18
2016-03-13 - 2016-03-19,15
2016-03-20 - 2016-03-26,13
2016-03-27 - 2016-04-02,18
2016-04-03 - 2016-04-09,20
2016-04-10 - 2016-04-16,19
2016-04-17 - 2016-04-23,18
2016-04-24 - 2016-04-30,23


Top regions for foxa
Region,foxa
Spain,100
Poland,13
United Kingdom,2
United States,1


Top cities for foxa
City,foxa
Valladolid (Spain),100
Alcobendas (Spain),71
Madrid (Spain),34
Bilbao (Spain),15
Barcelona (Spain),9
Málaga (Spain),8
Valencia (Spain),8
Seville (Spain),8
Warsaw (Poland),3
New York (United States),1
London (United Kingdom),0



Top searches for foxa
agustin foxa,100
agustin de foxa,95
foxa valladolid,40
foxa 32,35
hoteles foxa,35
foxa 25,30
foxa tres cantos,25
hotel foxa 32,25
foxa m30,20
hotel foxa 25,20
hotel tres cantos,15
hotel foxa m30,15
hotel chamartin,10
foxa m30 madrid,10
hotel chamartin madrid,5
foxa stock,5
grupo foxa,5
agustín de foxa,5
husa chamartin,5
hoteles tres cantos,5
hotel husa chamartin,5



Rising searches for foxa
foxa stock,Breakout
foxa tres cantos,Breakout
foxa valladolid,Breakout
hotel tres cantos,Breakout
agustin de foxa,+300%
agustin foxa,+300%
hotel foxa m30,+60%



