Web Search interest: kr
Worldwide 2004 - present

Interest over time
Week,kr
2007-06-24 - 2007-06-30,43
2007-07-01 - 2007-07-07,45
2007-07-08 - 2007-07-14,45
2007-07-15 - 2007-07-21,45
2007-07-22 - 2007-07-28,45
2007-07-29 - 2007-08-04,44
2007-08-05 - 2007-08-11,45
2007-08-12 - 2007-08-18,46
2007-08-19 - 2007-08-25,43
2007-08-26 - 2007-09-01,43
2007-09-02 - 2007-09-08,44
2007-09-09 - 2007-09-15,45
2007-09-16 - 2007-09-22,45
2007-09-23 - 2007-09-29,44
2007-09-30 - 2007-10-06,45
2007-10-07 - 2007-10-13,45
2007-10-14 - 2007-10-20,52
2007-10-21 - 2007-10-27,44
2007-10-28 - 2007-11-03,46
2007-11-04 - 2007-11-10,45
2007-11-11 - 2007-11-17,46
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,51
2007-12-02 - 2007-12-08,49
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,49
2007-12-30 - 2008-01-05,47
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,48
2008-01-27 - 2008-02-02,51
2008-02-03 - 2008-02-09,48
2008-02-10 - 2008-02-16,49
2008-02-17 - 2008-02-23,60
2008-02-24 - 2008-03-01,50
2008-03-02 - 2008-03-08,46
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,49
2008-03-23 - 2008-03-29,51
2008-03-30 - 2008-04-05,48
2008-04-06 - 2008-04-12,49
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,49
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,49
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,49
2008-06-08 - 2008-06-14,50
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,51
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,51
2008-07-13 - 2008-07-19,50
2008-07-20 - 2008-07-26,53
2008-07-27 - 2008-08-02,49
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,50
2008-08-17 - 2008-08-23,49
2008-08-24 - 2008-08-30,50
2008-08-31 - 2008-09-06,51
2008-09-07 - 2008-09-13,51
2008-09-14 - 2008-09-20,51
2008-09-21 - 2008-09-27,50
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,48
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,51
2008-10-26 - 2008-11-01,49
2008-11-02 - 2008-11-08,48
2008-11-09 - 2008-11-15,51
2008-11-16 - 2008-11-22,50
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,52
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,54
2008-12-21 - 2008-12-27,54
2008-12-28 - 2009-01-03,58
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,64
2009-01-25 - 2009-01-31,65
2009-02-01 - 2009-02-07,62
2009-02-08 - 2009-02-14,62
2009-02-15 - 2009-02-21,64
2009-02-22 - 2009-02-28,64
2009-03-01 - 2009-03-07,63
2009-03-08 - 2009-03-14,62
2009-03-15 - 2009-03-21,64
2009-03-22 - 2009-03-28,62
2009-03-29 - 2009-04-04,63
2009-04-05 - 2009-04-11,64
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,60
2009-04-26 - 2009-05-02,59
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,60
2009-05-17 - 2009-05-23,60
2009-05-24 - 2009-05-30,59
2009-05-31 - 2009-06-06,57
2009-06-07 - 2009-06-13,57
2009-06-14 - 2009-06-20,57
2009-06-21 - 2009-06-27,57
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,61
2009-07-12 - 2009-07-18,56
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,55
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,55
2009-08-16 - 2009-08-22,54
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,51
2009-10-04 - 2009-10-10,51
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,51
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,52
2009-11-08 - 2009-11-14,52
2009-11-15 - 2009-11-21,51
2009-11-22 - 2009-11-28,53
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,55
2009-12-13 - 2009-12-19,56
2009-12-20 - 2009-12-26,53
2009-12-27 - 2010-01-02,53
2010-01-03 - 2010-01-09,52
2010-01-10 - 2010-01-16,52
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,53
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,53
2010-04-04 - 2010-04-10,54
2010-04-11 - 2010-04-17,54
2010-04-18 - 2010-04-24,53
2010-04-25 - 2010-05-01,54
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,55
2010-05-23 - 2010-05-29,58
2010-05-30 - 2010-06-05,59
2010-06-06 - 2010-06-12,58
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,59
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,55
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,51
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,57
2010-08-22 - 2010-08-28,55
2010-08-29 - 2010-09-04,56
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,54
2010-09-26 - 2010-10-02,56
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,56
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,54
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,55
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,57
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,56
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,57
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,57
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,56
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,57
2011-06-12 - 2011-06-18,59
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,57
2011-07-10 - 2011-07-16,58
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,59
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,57
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,60
2012-01-01 - 2012-01-07,57
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,65
2012-04-29 - 2012-05-05,73
2012-05-06 - 2012-05-12,73
2012-05-13 - 2012-05-19,73
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,66
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,64
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,64
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,63
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,62
2012-09-09 - 2012-09-15,62
2012-09-16 - 2012-09-22,61
2012-09-23 - 2012-09-29,60
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,61
2012-10-21 - 2012-10-27,58
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,57
2012-11-11 - 2012-11-17,58
2012-11-18 - 2012-11-24,59
2012-11-25 - 2012-12-01,59
2012-12-02 - 2012-12-08,59
2012-12-09 - 2012-12-15,60
2012-12-16 - 2012-12-22,61
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,62
2013-01-06 - 2013-01-12,60
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,59
2013-01-27 - 2013-02-02,59
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,59
2013-02-17 - 2013-02-23,63
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,60
2013-03-17 - 2013-03-23,62
2013-03-24 - 2013-03-30,63
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,62
2013-04-21 - 2013-04-27,64
2013-04-28 - 2013-05-04,62
2013-05-05 - 2013-05-11,64
2013-05-12 - 2013-05-18,59
2013-05-19 - 2013-05-25,63
2013-05-26 - 2013-06-01,62
2013-06-02 - 2013-06-08,61
2013-06-09 - 2013-06-15,60
2013-06-16 - 2013-06-22,64
2013-06-23 - 2013-06-29,64
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,61
2013-07-28 - 2013-08-03,64
2013-08-04 - 2013-08-10,62
2013-08-11 - 2013-08-17,64
2013-08-18 - 2013-08-24,62
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,65
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,71
2013-09-29 - 2013-10-05,63
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,63
2013-10-20 - 2013-10-26,62
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,64
2013-11-10 - 2013-11-16,63
2013-11-17 - 2013-11-23,64
2013-11-24 - 2013-11-30,67
2013-12-01 - 2013-12-07,67
2013-12-08 - 2013-12-14,68
2013-12-15 - 2013-12-21,69
2013-12-22 - 2013-12-28,69
2013-12-29 - 2014-01-04,68
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,68
2014-01-19 - 2014-01-25,69
2014-01-26 - 2014-02-01,68
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,69
2014-02-16 - 2014-02-22,69
2014-02-23 - 2014-03-01,71
2014-03-02 - 2014-03-08,71
2014-03-09 - 2014-03-15,71
2014-03-16 - 2014-03-22,68
2014-03-23 - 2014-03-29,69
2014-03-30 - 2014-04-05,70
2014-04-06 - 2014-04-12,70
2014-04-13 - 2014-04-19,70
2014-04-20 - 2014-04-26,68
2014-04-27 - 2014-05-03,68
2014-05-04 - 2014-05-10,69
2014-05-11 - 2014-05-17,70
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,70
2014-06-08 - 2014-06-14,68
2014-06-15 - 2014-06-21,71
2014-06-22 - 2014-06-28,73
2014-06-29 - 2014-07-05,73
2014-07-06 - 2014-07-12,72
2014-07-13 - 2014-07-19,74
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,71
2014-08-03 - 2014-08-09,74
2014-08-10 - 2014-08-16,74
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,72
2014-09-07 - 2014-09-13,72
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,74
2014-10-05 - 2014-10-11,72
2014-10-12 - 2014-10-18,73
2014-10-19 - 2014-10-25,70
2014-10-26 - 2014-11-01,72
2014-11-02 - 2014-11-08,72
2014-11-09 - 2014-11-15,72
2014-11-16 - 2014-11-22,73
2014-11-23 - 2014-11-29,72
2014-11-30 - 2014-12-06,75
2014-12-07 - 2014-12-13,75
2014-12-14 - 2014-12-20,76
2014-12-21 - 2014-12-27,78
2014-12-28 - 2015-01-03,75
2015-01-04 - 2015-01-10,73
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,76
2015-01-25 - 2015-01-31,75
2015-02-01 - 2015-02-07,74
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,75
2015-02-22 - 2015-02-28,76
2015-03-01 - 2015-03-07,77
2015-03-08 - 2015-03-14,77
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,76
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,76
2015-04-19 - 2015-04-25,76
2015-04-26 - 2015-05-02,79
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,79
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,76
2015-06-07 - 2015-06-13,75
2015-06-14 - 2015-06-20,77
2015-06-21 - 2015-06-27,78
2015-06-28 - 2015-07-04,78
2015-07-05 - 2015-07-11,80
2015-07-12 - 2015-07-18,80
2015-07-19 - 2015-07-25,79
2015-07-26 - 2015-08-01,82
2015-08-02 - 2015-08-08,81
2015-08-09 - 2015-08-15,80
2015-08-16 - 2015-08-22,79
2015-08-23 - 2015-08-29,81
2015-08-30 - 2015-09-05,81
2015-09-06 - 2015-09-12,82
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,78
2015-09-27 - 2015-10-03,77
2015-10-04 - 2015-10-10,76
2015-10-11 - 2015-10-17,79
2015-10-18 - 2015-10-24,78
2015-10-25 - 2015-10-31,77
2015-11-01 - 2015-11-07,76
2015-11-08 - 2015-11-14,73
2015-11-15 - 2015-11-21,75
2015-11-22 - 2015-11-28,79
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,79
2015-12-13 - 2015-12-19,81
2015-12-20 - 2015-12-26,85
2015-12-27 - 2016-01-02,78
2016-01-03 - 2016-01-09,80
2016-01-10 - 2016-01-16,79
2016-01-17 - 2016-01-23,77
2016-01-24 - 2016-01-30,81
2016-01-31 - 2016-02-06,78
2016-02-07 - 2016-02-13,79
2016-02-14 - 2016-02-20,80
2016-02-21 - 2016-02-27,87
2016-02-28 - 2016-03-05,87
2016-03-06 - 2016-03-12,86
2016-03-13 - 2016-03-19,85
2016-03-20 - 2016-03-26,86
2016-03-27 - 2016-04-02,87
2016-04-03 - 2016-04-09,84
2016-04-10 - 2016-04-16,84
2016-04-17 - 2016-04-23,85
2016-04-24 - 2016-04-30,96


Top regions for kr
Region,kr
South Korea,100
Iceland,48
Denmark,43
Pakistan,39
Norway,30
Sweden,30
India,15
Slovenia,12
Bolivia,12
Hong Kong,10
Thailand,9
Latvia,8
Singapore,6
Slovakia,6
Indonesia,5
Poland,5
Czech Republic,5
Taiwan,4
Austria,4
Croatia,4
Turkey,4
Lithuania,4
Finland,4
Germany,4
Malaysia,3
Serbia,3
Vietnam,3
Philippines,3
Ireland,3
Hungary,3
United Arab Emirates,3
United Kingdom,3
Bulgaria,2
Peru,2
Colombia,2
Italy,2
Netherlands,2
New Zealand,2
China,2
Japan,2
Australia,2
Belgium,2
Switzerland,2
United States,2
South Africa,2
Brazil,2
Greece,2
Canada,1
France,1
Ukraine,1
Romania,1
Portugal,1
Chile,1
Spain,1
Russia,1
Israel,1
Saudi Arabia,1
Argentina,1
Venezuela,1
Mexico,1


Top cities for kr
City,kr
Seoul (South Korea),100
Daegu (South Korea),97
Hull (United Kingdom),96
Busan (South Korea),81
Lahore (Pakistan),54
Copenhagen (Denmark),42
Islamabad (Pakistan),35
Karachi (Pakistan),33
Bangalore (India),31
Stockholm (Sweden),30
Gothenburg (Sweden),29
Oslo (Norway),28
Chandigarh (India),22
New Delhi (India),21
Sucre (Bolivia),21



Top searches for kr
kr puram,100
euro kr,55
hull kr,55
google kr,50
dollar kr,45
100 kr,40
kr online,35
kr oyun,35
pentax kr,30
kr logo,25
kr 150,20
kr yahoo,20
kr to usd,20
f kr,15
kr to euro,15
kr vijaya,15
kr jogja,15
lol kr,15
elsword kr,10
kr to dollar,10
kr mangalam,10
kr audio,10
kr currency,10
gt 500 kr,10
kr reykjavik,10
rodas kr,10
hull fc,10
coupang.co kr,10
dollar til kr,10
kr center,5
kr media,5
kr system,5
kr stock,5
kr multicase,5
kr drama,5
kr till dollar,5
talesrunner kr,5
kr pass,5
f kr logo,5
m.google.co kr,5
kawasaki kr 150,5



Rising searches for kr
kr oyun,+3,400%
kr puram,+1,100%
pentax kr,+850%
dollar kr,+650%
google kr,+550%
100 kr,+170%
euro kr,+140%
hull kr,+130%
kr online,+80%



