Web Search interest: wat
Worldwide 2004 - present

Interest over time
Week,wat
2008-10-19 - 2008-10-25,73
2008-10-26 - 2008-11-01,80
2008-11-02 - 2008-11-08,76
2008-11-09 - 2008-11-15,80
2008-11-16 - 2008-11-22,78
2008-11-23 - 2008-11-29,79
2008-11-30 - 2008-12-06,78
2008-12-07 - 2008-12-13,77
2008-12-14 - 2008-12-20,75
2008-12-21 - 2008-12-27,69
2008-12-28 - 2009-01-03,73
2009-01-04 - 2009-01-10,83
2009-01-11 - 2009-01-17,84
2009-01-18 - 2009-01-24,84
2009-01-25 - 2009-01-31,82
2009-02-01 - 2009-02-07,83
2009-02-08 - 2009-02-14,82
2009-02-15 - 2009-02-21,80
2009-02-22 - 2009-02-28,79
2009-03-01 - 2009-03-07,86
2009-03-08 - 2009-03-14,88
2009-03-15 - 2009-03-21,85
2009-03-22 - 2009-03-28,91
2009-03-29 - 2009-04-04,85
2009-04-05 - 2009-04-11,84
2009-04-12 - 2009-04-18,90
2009-04-19 - 2009-04-25,83
2009-04-26 - 2009-05-02,77
2009-05-03 - 2009-05-09,83
2009-05-10 - 2009-05-16,87
2009-05-17 - 2009-05-23,86
2009-05-24 - 2009-05-30,86
2009-05-31 - 2009-06-06,86
2009-06-07 - 2009-06-13,89
2009-06-14 - 2009-06-20,91
2009-06-21 - 2009-06-27,88
2009-06-28 - 2009-07-04,84
2009-07-05 - 2009-07-11,83
2009-07-12 - 2009-07-18,82
2009-07-19 - 2009-07-25,81
2009-07-26 - 2009-08-01,78
2009-08-02 - 2009-08-08,80
2009-08-09 - 2009-08-15,85
2009-08-16 - 2009-08-22,84
2009-08-23 - 2009-08-29,88
2009-08-30 - 2009-09-05,95
2009-09-06 - 2009-09-12,94
2009-09-13 - 2009-09-19,96
2009-09-20 - 2009-09-26,97
2009-09-27 - 2009-10-03,90
2009-10-04 - 2009-10-10,93
2009-10-11 - 2009-10-17,94
2009-10-18 - 2009-10-24,89
2009-10-25 - 2009-10-31,94
2009-11-01 - 2009-11-07,96
2009-11-08 - 2009-11-14,93
2009-11-15 - 2009-11-21,93
2009-11-22 - 2009-11-28,96
2009-11-29 - 2009-12-05,89
2009-12-06 - 2009-12-12,87
2009-12-13 - 2009-12-19,83
2009-12-20 - 2009-12-26,81
2009-12-27 - 2010-01-02,88
2010-01-03 - 2010-01-09,92
2010-01-10 - 2010-01-16,91
2010-01-17 - 2010-01-23,91
2010-01-24 - 2010-01-30,92
2010-01-31 - 2010-02-06,91
2010-02-07 - 2010-02-13,93
2010-02-14 - 2010-02-20,93
2010-02-21 - 2010-02-27,93
2010-02-28 - 2010-03-06,100
2010-03-07 - 2010-03-13,95
2010-03-14 - 2010-03-20,97
2010-03-21 - 2010-03-27,92
2010-03-28 - 2010-04-03,93
2010-04-04 - 2010-04-10,88
2010-04-11 - 2010-04-17,86
2010-04-18 - 2010-04-24,85
2010-04-25 - 2010-05-01,81
2010-05-02 - 2010-05-08,82
2010-05-09 - 2010-05-15,85
2010-05-16 - 2010-05-22,87
2010-05-23 - 2010-05-29,87
2010-05-30 - 2010-06-05,88
2010-06-06 - 2010-06-12,91
2010-06-13 - 2010-06-19,84
2010-06-20 - 2010-06-26,80
2010-06-27 - 2010-07-03,77
2010-07-04 - 2010-07-10,76
2010-07-11 - 2010-07-17,76
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,76
2010-08-01 - 2010-08-07,76
2010-08-08 - 2010-08-14,77
2010-08-15 - 2010-08-21,79
2010-08-22 - 2010-08-28,79
2010-08-29 - 2010-09-04,81
2010-09-05 - 2010-09-11,83
2010-09-12 - 2010-09-18,84
2010-09-19 - 2010-09-25,85
2010-09-26 - 2010-10-02,84
2010-10-03 - 2010-10-09,85
2010-10-10 - 2010-10-16,85
2010-10-17 - 2010-10-23,79
2010-10-24 - 2010-10-30,79
2010-10-31 - 2010-11-06,85
2010-11-07 - 2010-11-13,81
2010-11-14 - 2010-11-20,81
2010-11-21 - 2010-11-27,79
2010-11-28 - 2010-12-04,75
2010-12-05 - 2010-12-11,78
2010-12-12 - 2010-12-18,76
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,73
2011-01-02 - 2011-01-08,81
2011-01-09 - 2011-01-15,82
2011-01-16 - 2011-01-22,80
2011-01-23 - 2011-01-29,79
2011-01-30 - 2011-02-05,79
2011-02-06 - 2011-02-12,80
2011-02-13 - 2011-02-19,82
2011-02-20 - 2011-02-26,77
2011-02-27 - 2011-03-05,79
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,75
2011-03-27 - 2011-04-02,74
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,69
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,75
2011-05-29 - 2011-06-04,72
2011-06-05 - 2011-06-11,76
2011-06-12 - 2011-06-18,75
2011-06-19 - 2011-06-25,75
2011-06-26 - 2011-07-02,69
2011-07-03 - 2011-07-09,68
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,64
2011-07-24 - 2011-07-30,64
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,66
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,66
2011-09-04 - 2011-09-10,71
2011-09-11 - 2011-09-17,73
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,69
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,70
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,74
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,73
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,71
2011-12-18 - 2011-12-24,68
2011-12-25 - 2011-12-31,65
2012-01-01 - 2012-01-07,70
2012-01-08 - 2012-01-14,75
2012-01-15 - 2012-01-21,75
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,74
2012-02-12 - 2012-02-18,75
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,72
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,72
2012-03-18 - 2012-03-24,71
2012-03-25 - 2012-03-31,71
2012-04-01 - 2012-04-07,70
2012-04-08 - 2012-04-14,72
2012-04-15 - 2012-04-21,74
2012-04-22 - 2012-04-28,70
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,72
2012-05-13 - 2012-05-19,69
2012-05-20 - 2012-05-26,69
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,71
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,70
2012-06-24 - 2012-06-30,68
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,68
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,60
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,69
2012-08-26 - 2012-09-01,70
2012-09-02 - 2012-09-08,72
2012-09-09 - 2012-09-15,76
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,75
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,72
2012-10-14 - 2012-10-20,69
2012-10-21 - 2012-10-27,71
2012-10-28 - 2012-11-03,76
2012-11-04 - 2012-11-10,74
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,74
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,71
2012-12-09 - 2012-12-15,71
2012-12-16 - 2012-12-22,68
2012-12-23 - 2012-12-29,65
2012-12-30 - 2013-01-05,68
2013-01-06 - 2013-01-12,74
2013-01-13 - 2013-01-19,74
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,74
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,76
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,75
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,73
2013-04-14 - 2013-04-20,72
2013-04-21 - 2013-04-27,69
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,70
2013-05-12 - 2013-05-18,72
2013-05-19 - 2013-05-25,74
2013-05-26 - 2013-06-01,71
2013-06-02 - 2013-06-08,70
2013-06-09 - 2013-06-15,74
2013-06-16 - 2013-06-22,74
2013-06-23 - 2013-06-29,71
2013-06-30 - 2013-07-06,67
2013-07-07 - 2013-07-13,66
2013-07-14 - 2013-07-20,69
2013-07-21 - 2013-07-27,66
2013-07-28 - 2013-08-03,65
2013-08-04 - 2013-08-10,69
2013-08-11 - 2013-08-17,75
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,73
2013-09-01 - 2013-09-07,75
2013-09-08 - 2013-09-14,77
2013-09-15 - 2013-09-21,77
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,77
2013-10-13 - 2013-10-19,79
2013-10-20 - 2013-10-26,75
2013-10-27 - 2013-11-02,79
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,77
2013-11-17 - 2013-11-23,77
2013-11-24 - 2013-11-30,77
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,75
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,71
2013-12-29 - 2014-01-04,75
2014-01-05 - 2014-01-11,83
2014-01-12 - 2014-01-18,84
2014-01-19 - 2014-01-25,83
2014-01-26 - 2014-02-01,83
2014-02-02 - 2014-02-08,84
2014-02-09 - 2014-02-15,79
2014-02-16 - 2014-02-22,79
2014-02-23 - 2014-03-01,80
2014-03-02 - 2014-03-08,77
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,79
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,74
2014-04-06 - 2014-04-12,78
2014-04-13 - 2014-04-19,79
2014-04-20 - 2014-04-26,75
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,80
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,79
2014-05-25 - 2014-05-31,78
2014-06-01 - 2014-06-07,80
2014-06-08 - 2014-06-14,78
2014-06-15 - 2014-06-21,81
2014-06-22 - 2014-06-28,76
2014-06-29 - 2014-07-05,74
2014-07-06 - 2014-07-12,73
2014-07-13 - 2014-07-19,72
2014-07-20 - 2014-07-26,70
2014-07-27 - 2014-08-02,71
2014-08-03 - 2014-08-09,74
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,77
2014-08-24 - 2014-08-30,77
2014-08-31 - 2014-09-06,77
2014-09-07 - 2014-09-13,80
2014-09-14 - 2014-09-20,82
2014-09-21 - 2014-09-27,84
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,82
2014-10-12 - 2014-10-18,81
2014-10-19 - 2014-10-25,79
2014-10-26 - 2014-11-01,83
2014-11-02 - 2014-11-08,83
2014-11-09 - 2014-11-15,82
2014-11-16 - 2014-11-22,82
2014-11-23 - 2014-11-29,83
2014-11-30 - 2014-12-06,79
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,77
2014-12-21 - 2014-12-27,73
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,86
2015-01-11 - 2015-01-17,88
2015-01-18 - 2015-01-24,87
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,83
2015-02-08 - 2015-02-14,82
2015-02-15 - 2015-02-21,82
2015-02-22 - 2015-02-28,79
2015-03-01 - 2015-03-07,85
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,83
2015-03-22 - 2015-03-28,82
2015-03-29 - 2015-04-04,81
2015-04-05 - 2015-04-11,79
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,76
2015-04-26 - 2015-05-02,77
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,77
2015-05-17 - 2015-05-23,84
2015-05-24 - 2015-05-30,81
2015-05-31 - 2015-06-06,79
2015-06-07 - 2015-06-13,77
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,77
2015-06-28 - 2015-07-04,72
2015-07-05 - 2015-07-11,74
2015-07-12 - 2015-07-18,72
2015-07-19 - 2015-07-25,72
2015-07-26 - 2015-08-01,71
2015-08-02 - 2015-08-08,69
2015-08-09 - 2015-08-15,73
2015-08-16 - 2015-08-22,73
2015-08-23 - 2015-08-29,77
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,81
2015-09-13 - 2015-09-19,83
2015-09-20 - 2015-09-26,82
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,82
2015-10-11 - 2015-10-17,83
2015-10-18 - 2015-10-24,77
2015-10-25 - 2015-10-31,80
2015-11-01 - 2015-11-07,82
2015-11-08 - 2015-11-14,82
2015-11-15 - 2015-11-21,84
2015-11-22 - 2015-11-28,82
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,81
2015-12-13 - 2015-12-19,80
2015-12-20 - 2015-12-26,76
2015-12-27 - 2016-01-02,77
2016-01-03 - 2016-01-09,87
2016-01-10 - 2016-01-16,85
2016-01-17 - 2016-01-23,84
2016-01-24 - 2016-01-30,84
2016-01-31 - 2016-02-06,82
2016-02-07 - 2016-02-13,85
2016-02-14 - 2016-02-20,81
2016-02-21 - 2016-02-27,80
2016-02-28 - 2016-03-05,79
2016-03-06 - 2016-03-12,81
2016-03-13 - 2016-03-19,79
2016-03-20 - 2016-03-26,78
2016-03-27 - 2016-04-02,78
2016-04-03 - 2016-04-09,79
2016-04-10 - 2016-04-16,78
2016-04-17 - 2016-04-23,77
2016-04-24 - 2016-04-30,93


Top regions for wat
Region,wat
Suriname,100
Netherlands,74
Belgium,27
Cambodia,15
South Africa,9
Nigeria,7
Kenya,3
Tunisia,3
France,2
Singapore,2
India,1
Poland,1
Malaysia,1
Ireland,1
Australia,1
Morocco,1
Philippines,1
New Zealand,1
Thailand,1
United Kingdom,1
United States,1
United Arab Emirates,1
Pakistan,1
Canada,1
Switzerland,1
Austria,1


Top cities for wat
City,wat
Zwolle (Netherlands),100
Apeldoorn (Netherlands),100
Almere (Netherlands),99
Breda (Netherlands),98
Arnhem (Netherlands),94
Alkmaar (Netherlands),93
Haarlem (Netherlands),91
Tilburg (Netherlands),89
The Hague (Netherlands),88
's Hertogenbosch (Netherlands),87
Groningen (Netherlands),85
Enschede (Netherlands),85
Nijmegen (Netherlands),84
Amersfoort (Netherlands),84
Amstelveen (Netherlands),83



Top searches for wat
wat te doen,100
wat betekent,80
wat als,60
wat tv,60
angkor wat,35
remove wat,20
wat if,15
wat up,10
woordenboek,10
vertalen,5
wat remover,5
wat sap,5
removewat,5
wat app,5
wat meme,5
wat zap,5
ankor wat,5
wat pho,5
wat is love,5
wat arun,0
wat lady,0
van dale,0
wat po,0
descargar remove wat,0
wat tyler,0
wat warszawa,0
wat kyk jy,0
wat phra kaew,0
wie betaalt wat,0



Rising searches for wat
remove wat,+4,650%
wat tv,+800%
vertalen,+250%
wat if,+250%
wat te doen,+150%
wat als,+120%
wat up,+50%



