Web Search interest: oke
Worldwide 2004 - present

Interest over time
Week,oke
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,21
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,67
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,14
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,14
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,19
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,19
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,20
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,28
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,22
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,21
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,21
2014-06-15 - 2014-06-21,45
2014-06-22 - 2014-06-28,61
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,19
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,18
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,19
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,18
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,15
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,16
2015-08-16 - 2015-08-22,17
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,19
2015-09-06 - 2015-09-12,24
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,21
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,21
2015-10-11 - 2015-10-17,21
2015-10-18 - 2015-10-24,21
2015-10-25 - 2015-10-31,21
2015-11-01 - 2015-11-07,21
2015-11-08 - 2015-11-14,21
2015-11-15 - 2015-11-21,22
2015-11-22 - 2015-11-28,24
2015-11-29 - 2015-12-05,23
2015-12-06 - 2015-12-12,24
2015-12-13 - 2015-12-19,23
2015-12-20 - 2015-12-26,23
2015-12-27 - 2016-01-02,23
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,26
2016-01-17 - 2016-01-23,21
2016-01-24 - 2016-01-30,22
2016-01-31 - 2016-02-06,23
2016-02-07 - 2016-02-13,23
2016-02-14 - 2016-02-20,22
2016-02-21 - 2016-02-27,23
2016-02-28 - 2016-03-05,24
2016-03-06 - 2016-03-12,23
2016-03-13 - 2016-03-19,23
2016-03-20 - 2016-03-26,27
2016-03-27 - 2016-04-02,39
2016-04-03 - 2016-04-09,42
2016-04-10 - 2016-04-16,59
2016-04-17 - 2016-04-23,68
2016-04-24 - 2016-04-30,72


Top regions for oke
Region,oke
Poland,100
Indonesia,66
Nigeria,38
Netherlands,9
Vietnam,5
Belgium,3
India,3
Philippines,2
Singapore,2
Brazil,2
South Africa,2
Turkey,2
Malaysia,2
Canada,1
United Kingdom,1
United States,1
Germany,1
Romania,1
Australia,1
Finland,1
Switzerland,1
Argentina,1
Sweden,1


Top cities for oke
City,oke
Olsztyn (Poland),100
Rzeszow (Poland),94
Lublin (Poland),90
Bialystok (Poland),79
Krakow (Poland),69
Katowice (Poland),69
Bydgoszcz (Poland),67
Szczecin (Poland),63
Poznan (Poland),62
Kielce (Poland),61
Torun (Poland),58
Gdansk (Poland),48
Lodz (Poland),48
Surabaya (Indonesia),41
Jakarta (Indonesia),40



Top searches for oke
oke oke,100
cke,5
oke google,5
oke kraków,5
oke zone,5
oke poznań,5
matura,5
oke matura,5
oke shop,5
oke jaworzno,5
oke łomża,0
oke gdańsk,0
janette oke,0
oke wrocław,0
oke krakow,0
oke warszawa,0
oke łódź,0
oke poznan,0
egzamin gimnazjalny,0
wyniki matur,0
oke tv,0
jne oke,0
lagu oke,0
egzamin zawodowy,0
oke okkadu,0
oke logowanie,0
oke lomza,0
oke bola,0
ka ra oke,0
game oke,0
matura 2010,0
oke zone.com,0
aso oke,0
oke vision,0
kara oke,0
oke okkadu songs,0
pc oke,0
bola oke zone,0
global teleshop,0
oke news,0
one oke rock,0
wyniki egzaminu gimnazjalnego,0
oke gdansk,0
buka kamera,0
cke warszawa,0
oke w krakowie,0
oke the game,0
testy gimnazjalne,0
okeshop,0



Rising searches for oke
oke zone,Breakout
oke google,+4,700%
oke shop,+500%
cke,+200%
oke poznań,+170%
oke gdańsk,+150%
oke oke,+70%
oke wrocław,+70%
oke łomża,+70%
oke jaworzno,+50%



