Web Search interest: sig
Worldwide 2004 - present

Interest over time
Week,sig
2005-06-12 - 2005-06-18,61
2005-06-19 - 2005-06-25,63
2005-06-26 - 2005-07-02,61
2005-07-03 - 2005-07-09,60
2005-07-10 - 2005-07-16,62
2005-07-17 - 2005-07-23,62
2005-07-24 - 2005-07-30,57
2005-07-31 - 2005-08-06,59
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,58
2005-08-21 - 2005-08-27,59
2005-08-28 - 2005-09-03,65
2005-09-04 - 2005-09-10,65
2005-09-11 - 2005-09-17,65
2005-09-18 - 2005-09-24,66
2005-09-25 - 2005-10-01,68
2005-10-02 - 2005-10-08,65
2005-10-09 - 2005-10-15,63
2005-10-16 - 2005-10-22,65
2005-10-23 - 2005-10-29,63
2005-10-30 - 2005-11-05,62
2005-11-06 - 2005-11-12,67
2005-11-13 - 2005-11-19,67
2005-11-20 - 2005-11-26,67
2005-11-27 - 2005-12-03,63
2005-12-04 - 2005-12-10,62
2005-12-11 - 2005-12-17,64
2005-12-18 - 2005-12-24,62
2005-12-25 - 2005-12-31,61
2006-01-01 - 2006-01-07,61
2006-01-08 - 2006-01-14,64
2006-01-15 - 2006-01-21,65
2006-01-22 - 2006-01-28,65
2006-01-29 - 2006-02-04,66
2006-02-05 - 2006-02-11,67
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,69
2006-02-26 - 2006-03-04,66
2006-03-05 - 2006-03-11,63
2006-03-12 - 2006-03-18,62
2006-03-19 - 2006-03-25,64
2006-03-26 - 2006-04-01,65
2006-04-02 - 2006-04-08,63
2006-04-09 - 2006-04-15,62
2006-04-16 - 2006-04-22,63
2006-04-23 - 2006-04-29,61
2006-04-30 - 2006-05-06,64
2006-05-07 - 2006-05-13,61
2006-05-14 - 2006-05-20,60
2006-05-21 - 2006-05-27,59
2006-05-28 - 2006-06-03,61
2006-06-04 - 2006-06-10,59
2006-06-11 - 2006-06-17,55
2006-06-18 - 2006-06-24,56
2006-06-25 - 2006-07-01,55
2006-07-02 - 2006-07-08,55
2006-07-09 - 2006-07-15,55
2006-07-16 - 2006-07-22,55
2006-07-23 - 2006-07-29,55
2006-07-30 - 2006-08-05,54
2006-08-06 - 2006-08-12,54
2006-08-13 - 2006-08-19,59
2006-08-20 - 2006-08-26,59
2006-08-27 - 2006-09-02,60
2006-09-03 - 2006-09-09,58
2006-09-10 - 2006-09-16,57
2006-09-17 - 2006-09-23,58
2006-09-24 - 2006-09-30,61
2006-10-01 - 2006-10-07,60
2006-10-08 - 2006-10-14,57
2006-10-15 - 2006-10-21,58
2006-10-22 - 2006-10-28,60
2006-10-29 - 2006-11-04,58
2006-11-05 - 2006-11-11,57
2006-11-12 - 2006-11-18,59
2006-11-19 - 2006-11-25,59
2006-11-26 - 2006-12-02,57
2006-12-03 - 2006-12-09,57
2006-12-10 - 2006-12-16,56
2006-12-17 - 2006-12-23,57
2006-12-24 - 2006-12-30,53
2006-12-31 - 2007-01-06,56
2007-01-07 - 2007-01-13,56
2007-01-14 - 2007-01-20,57
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,59
2007-02-04 - 2007-02-10,59
2007-02-11 - 2007-02-17,60
2007-02-18 - 2007-02-24,63
2007-02-25 - 2007-03-03,57
2007-03-04 - 2007-03-10,56
2007-03-11 - 2007-03-17,58
2007-03-18 - 2007-03-24,55
2007-03-25 - 2007-03-31,56
2007-04-01 - 2007-04-07,55
2007-04-08 - 2007-04-14,57
2007-04-15 - 2007-04-21,60
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,56
2007-05-06 - 2007-05-12,57
2007-05-13 - 2007-05-19,54
2007-05-20 - 2007-05-26,57
2007-05-27 - 2007-06-02,55
2007-06-03 - 2007-06-09,53
2007-06-10 - 2007-06-16,54
2007-06-17 - 2007-06-23,56
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,53
2007-07-08 - 2007-07-14,50
2007-07-15 - 2007-07-21,51
2007-07-22 - 2007-07-28,52
2007-07-29 - 2007-08-04,51
2007-08-05 - 2007-08-11,52
2007-08-12 - 2007-08-18,53
2007-08-19 - 2007-08-25,55
2007-08-26 - 2007-09-01,54
2007-09-02 - 2007-09-08,54
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,54
2007-09-23 - 2007-09-29,54
2007-09-30 - 2007-10-06,54
2007-10-07 - 2007-10-13,54
2007-10-14 - 2007-10-20,56
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,54
2007-11-04 - 2007-11-10,62
2007-11-11 - 2007-11-17,55
2007-11-18 - 2007-11-24,58
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,57
2007-12-16 - 2007-12-22,57
2007-12-23 - 2007-12-29,52
2007-12-30 - 2008-01-05,55
2008-01-06 - 2008-01-12,58
2008-01-13 - 2008-01-19,61
2008-01-20 - 2008-01-26,62
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,62
2008-02-10 - 2008-02-16,63
2008-02-17 - 2008-02-23,63
2008-02-24 - 2008-03-01,60
2008-03-02 - 2008-03-08,59
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,57
2008-03-23 - 2008-03-29,59
2008-03-30 - 2008-04-05,59
2008-04-06 - 2008-04-12,61
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,59
2008-04-27 - 2008-05-03,56
2008-05-04 - 2008-05-10,57
2008-05-11 - 2008-05-17,57
2008-05-18 - 2008-05-24,57
2008-05-25 - 2008-05-31,56
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,51
2008-06-22 - 2008-06-28,54
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,55
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,53
2008-08-03 - 2008-08-09,53
2008-08-10 - 2008-08-16,55
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,57
2008-08-31 - 2008-09-06,59
2008-09-07 - 2008-09-13,58
2008-09-14 - 2008-09-20,60
2008-09-21 - 2008-09-27,60
2008-09-28 - 2008-10-04,61
2008-10-05 - 2008-10-11,59
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,71
2008-11-16 - 2008-11-22,69
2008-11-23 - 2008-11-29,68
2008-11-30 - 2008-12-06,66
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,62
2008-12-21 - 2008-12-27,62
2008-12-28 - 2009-01-03,60
2009-01-04 - 2009-01-10,61
2009-01-11 - 2009-01-17,66
2009-01-18 - 2009-01-24,66
2009-01-25 - 2009-01-31,69
2009-02-01 - 2009-02-07,67
2009-02-08 - 2009-02-14,66
2009-02-15 - 2009-02-21,67
2009-02-22 - 2009-02-28,66
2009-03-01 - 2009-03-07,65
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,69
2009-03-22 - 2009-03-28,71
2009-03-29 - 2009-04-04,72
2009-04-05 - 2009-04-11,67
2009-04-12 - 2009-04-18,70
2009-04-19 - 2009-04-25,68
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,68
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,62
2009-05-24 - 2009-05-30,66
2009-05-31 - 2009-06-06,57
2009-06-07 - 2009-06-13,57
2009-06-14 - 2009-06-20,58
2009-06-21 - 2009-06-27,56
2009-06-28 - 2009-07-04,55
2009-07-05 - 2009-07-11,56
2009-07-12 - 2009-07-18,57
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,55
2009-08-02 - 2009-08-08,57
2009-08-09 - 2009-08-15,58
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,60
2009-08-30 - 2009-09-05,62
2009-09-06 - 2009-09-12,61
2009-09-13 - 2009-09-19,61
2009-09-20 - 2009-09-26,63
2009-09-27 - 2009-10-03,61
2009-10-04 - 2009-10-10,62
2009-10-11 - 2009-10-17,63
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,58
2009-11-15 - 2009-11-21,62
2009-11-22 - 2009-11-28,63
2009-11-29 - 2009-12-05,62
2009-12-06 - 2009-12-12,62
2009-12-13 - 2009-12-19,61
2009-12-20 - 2009-12-26,62
2009-12-27 - 2010-01-02,63
2010-01-03 - 2010-01-09,61
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,67
2010-01-24 - 2010-01-30,65
2010-01-31 - 2010-02-06,64
2010-02-07 - 2010-02-13,68
2010-02-14 - 2010-02-20,65
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,65
2010-03-14 - 2010-03-20,62
2010-03-21 - 2010-03-27,63
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,61
2010-04-11 - 2010-04-17,61
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,61
2010-05-02 - 2010-05-08,62
2010-05-09 - 2010-05-15,62
2010-05-16 - 2010-05-22,63
2010-05-23 - 2010-05-29,63
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,59
2010-06-20 - 2010-06-26,56
2010-06-27 - 2010-07-03,58
2010-07-04 - 2010-07-10,57
2010-07-11 - 2010-07-17,58
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,60
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,59
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,61
2010-08-29 - 2010-09-04,63
2010-09-05 - 2010-09-11,63
2010-09-12 - 2010-09-18,63
2010-09-19 - 2010-09-25,64
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,68
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,63
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,62
2010-11-21 - 2010-11-27,63
2010-11-28 - 2010-12-04,62
2010-12-05 - 2010-12-11,63
2010-12-12 - 2010-12-18,63
2010-12-19 - 2010-12-25,62
2010-12-26 - 2011-01-01,61
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,69
2011-01-16 - 2011-01-22,69
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,67
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,68
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,66
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,61
2011-05-01 - 2011-05-07,64
2011-05-08 - 2011-05-14,62
2011-05-15 - 2011-05-21,65
2011-05-22 - 2011-05-28,64
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,59
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,58
2011-07-10 - 2011-07-16,62
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,59
2011-08-07 - 2011-08-13,61
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,63
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,66
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,68
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,67
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,66
2012-01-01 - 2012-01-07,67
2012-01-08 - 2012-01-14,68
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,73
2012-01-29 - 2012-02-04,69
2012-02-05 - 2012-02-11,70
2012-02-12 - 2012-02-18,71
2012-02-19 - 2012-02-25,69
2012-02-26 - 2012-03-03,69
2012-03-04 - 2012-03-10,71
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,66
2012-04-15 - 2012-04-21,65
2012-04-22 - 2012-04-28,66
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,62
2012-05-13 - 2012-05-19,60
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,60
2012-06-03 - 2012-06-09,61
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,57
2012-07-01 - 2012-07-07,57
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,62
2012-07-29 - 2012-08-04,60
2012-08-05 - 2012-08-11,73
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,65
2012-08-26 - 2012-09-01,66
2012-09-02 - 2012-09-08,69
2012-09-09 - 2012-09-15,68
2012-09-16 - 2012-09-22,68
2012-09-23 - 2012-09-29,68
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,65
2012-10-14 - 2012-10-20,65
2012-10-21 - 2012-10-27,66
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,68
2012-11-18 - 2012-11-24,75
2012-11-25 - 2012-12-01,70
2012-12-02 - 2012-12-08,70
2012-12-09 - 2012-12-15,98
2012-12-16 - 2012-12-22,100
2012-12-23 - 2012-12-29,83
2012-12-30 - 2013-01-05,78
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,90
2013-01-20 - 2013-01-26,86
2013-01-27 - 2013-02-02,82
2013-02-03 - 2013-02-09,78
2013-02-10 - 2013-02-16,77
2013-02-17 - 2013-02-23,77
2013-02-24 - 2013-03-02,74
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,71
2013-03-17 - 2013-03-23,71
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,66
2013-04-07 - 2013-04-13,67
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,66
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,62
2013-05-26 - 2013-06-01,61
2013-06-02 - 2013-06-08,59
2013-06-09 - 2013-06-15,57
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,56
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,56
2013-07-28 - 2013-08-03,57
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,57
2013-08-18 - 2013-08-24,59
2013-08-25 - 2013-08-31,60
2013-09-01 - 2013-09-07,63
2013-09-08 - 2013-09-14,65
2013-09-15 - 2013-09-21,64
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,63
2013-10-06 - 2013-10-12,63
2013-10-13 - 2013-10-19,62
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,62
2013-11-17 - 2013-11-23,63
2013-11-24 - 2013-11-30,65
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,63
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,60
2013-12-29 - 2014-01-04,60
2014-01-05 - 2014-01-11,64
2014-01-12 - 2014-01-18,70
2014-01-19 - 2014-01-25,68
2014-01-26 - 2014-02-01,70
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,65
2014-03-09 - 2014-03-15,64
2014-03-16 - 2014-03-22,64
2014-03-23 - 2014-03-29,65
2014-03-30 - 2014-04-05,64
2014-04-06 - 2014-04-12,64
2014-04-13 - 2014-04-19,61
2014-04-20 - 2014-04-26,62
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,61
2014-06-01 - 2014-06-07,59
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,57
2014-06-29 - 2014-07-05,60
2014-07-06 - 2014-07-12,57
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,56
2014-07-27 - 2014-08-02,57
2014-08-03 - 2014-08-09,58
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,64
2014-08-31 - 2014-09-06,64
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,64
2014-09-21 - 2014-09-27,64
2014-09-28 - 2014-10-04,67
2014-10-05 - 2014-10-11,65
2014-10-12 - 2014-10-18,63
2014-10-19 - 2014-10-25,63
2014-10-26 - 2014-11-01,62
2014-11-02 - 2014-11-08,64
2014-11-09 - 2014-11-15,65
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,68
2014-11-30 - 2014-12-06,66
2014-12-07 - 2014-12-13,65
2014-12-14 - 2014-12-20,64
2014-12-21 - 2014-12-27,60
2014-12-28 - 2015-01-03,60
2015-01-04 - 2015-01-10,64
2015-01-11 - 2015-01-17,68
2015-01-18 - 2015-01-24,70
2015-01-25 - 2015-01-31,70
2015-02-01 - 2015-02-07,67
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,67
2015-02-22 - 2015-02-28,65
2015-03-01 - 2015-03-07,68
2015-03-08 - 2015-03-14,64
2015-03-15 - 2015-03-21,62
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,60
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,63
2015-04-19 - 2015-04-25,60
2015-04-26 - 2015-05-02,60
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,58
2015-05-17 - 2015-05-23,60
2015-05-24 - 2015-05-30,60
2015-05-31 - 2015-06-06,59
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,57
2015-06-21 - 2015-06-27,56
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,54
2015-07-12 - 2015-07-18,54
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,55
2015-08-09 - 2015-08-15,56
2015-08-16 - 2015-08-22,59
2015-08-23 - 2015-08-29,62
2015-08-30 - 2015-09-05,65
2015-09-06 - 2015-09-12,66
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,65
2015-09-27 - 2015-10-03,65
2015-10-04 - 2015-10-10,67
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,66
2015-10-25 - 2015-10-31,63
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,65
2015-11-15 - 2015-11-21,73
2015-11-22 - 2015-11-28,71
2015-11-29 - 2015-12-05,74
2015-12-06 - 2015-12-12,80
2015-12-13 - 2015-12-19,75
2015-12-20 - 2015-12-26,71
2015-12-27 - 2016-01-02,70
2016-01-03 - 2016-01-09,75
2016-01-10 - 2016-01-16,73
2016-01-17 - 2016-01-23,75
2016-01-24 - 2016-01-30,75
2016-01-31 - 2016-02-06,73
2016-02-07 - 2016-02-13,69
2016-02-14 - 2016-02-20,68
2016-02-21 - 2016-02-27,69
2016-02-28 - 2016-03-05,71
2016-03-06 - 2016-03-12,71
2016-03-13 - 2016-03-19,66
2016-03-20 - 2016-03-26,67
2016-03-27 - 2016-04-02,71
2016-04-03 - 2016-04-09,69
2016-04-10 - 2016-04-16,67
2016-04-17 - 2016-04-23,68
2016-04-24 - 2016-04-30,71


Top regions for sig
Region,sig
Sweden,100
Denmark,54
Iceland,37
United States,11
Switzerland,9
Mexico,6
Finland,5
Norway,5
Peru,5
Portugal,5
Colombia,5
Spain,4
France,4
Brazil,4
Indonesia,4
Ecuador,4
Bolivia,4
Algeria,4
Chile,4
Canada,3
Argentina,3
Philippines,3
Belgium,3
Germany,2
Venezuela,2
United Kingdom,2
Italy,2
Austria,2
Czech Republic,2
Morocco,2
Ireland,2
Turkey,2
Thailand,2
Pakistan,2
Netherlands,2
South Africa,2
New Zealand,2
Singapore,2
Australia,2
Hungary,1
Poland,1
Romania,1
Malaysia,1
India,1
Taiwan,1
Japan,1
Russia,1
China,1


Top cities for sig
City,sig
Stockholm (Sweden),100
Gothenburg (Sweden),98
Malmö (Sweden),87
Copenhagen (Denmark),56
Dallas (United States),11
Houston (United States),10
Los Angeles (United States),10
Seattle (United States),10
Atlanta (United States),10
Washington (United States),9
San Francisco (United States),8
Chicago (United States),7
Mexico City (Mexico),6
Bogotá (Colombia),5
Madrid (Spain),5



Top searches for sig
sig sauer,100
sig in,40
sig p226,20
sig sauer p226,10
glock,10
sig 1911,10
sig p229,10
sig p238,5
sig p250,5
sig p220,5
sig 556,5
357 sig,5
sig sauer 1911,5
sig alert,5
sig sauer 9mm,5
sig arms,5
ruger,5
sig figs,5
hotmail sig,5
sig mosquito,5
sig sauer p229,5
sig p938,5
beretta,5
colt,5
sig pistols,5
smith and wesson,5
sig pro,5
sig forum,5
sig fig,5
sig 226,5
sig sauer p250,5
walther,5
sig p320,5
sig sp2022,5
sig sauer p238,5
sig 2022,5
hotmail sig in,5
sig firearms,5
sig saur,5
kimber,5
sig hansen,5
.357 sig,5
sig sauer p220,0
sig p239,0
sig pac,0
sig m400,0
sig sauer mosquito,0
sig sigma,0
sig p228,0
sig 552,0



Rising searches for sig
sig 556,Breakout
sig p238,Breakout
sig p250,+1,500%
sig sauer 1911,+750%
sig in,+450%
sig 1911,+350%
sig sauer 9mm,+300%
sig sauer p226,+150%
sig p226,+110%
sig p229,+90%



