Web Search interest: ctl
Worldwide 2004 - present

Interest over time
Week,ctl
2007-01-07 - 2007-01-13,62
2007-01-14 - 2007-01-20,69
2007-01-21 - 2007-01-27,73
2007-01-28 - 2007-02-03,67
2007-02-04 - 2007-02-10,60
2007-02-11 - 2007-02-17,64
2007-02-18 - 2007-02-24,59
2007-02-25 - 2007-03-03,70
2007-03-04 - 2007-03-10,56
2007-03-11 - 2007-03-17,68
2007-03-18 - 2007-03-24,59
2007-03-25 - 2007-03-31,53
2007-04-01 - 2007-04-07,63
2007-04-08 - 2007-04-14,67
2007-04-15 - 2007-04-21,64
2007-04-22 - 2007-04-28,65
2007-04-29 - 2007-05-05,59
2007-05-06 - 2007-05-12,69
2007-05-13 - 2007-05-19,59
2007-05-20 - 2007-05-26,61
2007-05-27 - 2007-06-02,64
2007-06-03 - 2007-06-09,59
2007-06-10 - 2007-06-16,66
2007-06-17 - 2007-06-23,58
2007-06-24 - 2007-06-30,61
2007-07-01 - 2007-07-07,59
2007-07-08 - 2007-07-14,63
2007-07-15 - 2007-07-21,64
2007-07-22 - 2007-07-28,62
2007-07-29 - 2007-08-04,60
2007-08-05 - 2007-08-11,59
2007-08-12 - 2007-08-18,60
2007-08-19 - 2007-08-25,63
2007-08-26 - 2007-09-01,62
2007-09-02 - 2007-09-08,64
2007-09-09 - 2007-09-15,66
2007-09-16 - 2007-09-22,63
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,63
2007-10-07 - 2007-10-13,65
2007-10-14 - 2007-10-20,62
2007-10-21 - 2007-10-27,64
2007-10-28 - 2007-11-03,57
2007-11-04 - 2007-11-10,63
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,63
2007-11-25 - 2007-12-01,56
2007-12-02 - 2007-12-08,59
2007-12-09 - 2007-12-15,57
2007-12-16 - 2007-12-22,56
2007-12-23 - 2007-12-29,48
2007-12-30 - 2008-01-05,52
2008-01-06 - 2008-01-12,63
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,65
2008-01-27 - 2008-02-02,63
2008-02-03 - 2008-02-09,60
2008-02-10 - 2008-02-16,62
2008-02-17 - 2008-02-23,63
2008-02-24 - 2008-03-01,61
2008-03-02 - 2008-03-08,62
2008-03-09 - 2008-03-15,62
2008-03-16 - 2008-03-22,62
2008-03-23 - 2008-03-29,67
2008-03-30 - 2008-04-05,69
2008-04-06 - 2008-04-12,64
2008-04-13 - 2008-04-19,63
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,67
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,66
2008-05-18 - 2008-05-24,59
2008-05-25 - 2008-05-31,63
2008-06-01 - 2008-06-07,64
2008-06-08 - 2008-06-14,64
2008-06-15 - 2008-06-21,60
2008-06-22 - 2008-06-28,62
2008-06-29 - 2008-07-05,59
2008-07-06 - 2008-07-12,59
2008-07-13 - 2008-07-19,60
2008-07-20 - 2008-07-26,59
2008-07-27 - 2008-08-02,60
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,57
2008-08-17 - 2008-08-23,56
2008-08-24 - 2008-08-30,58
2008-08-31 - 2008-09-06,61
2008-09-07 - 2008-09-13,64
2008-09-14 - 2008-09-20,60
2008-09-21 - 2008-09-27,63
2008-09-28 - 2008-10-04,60
2008-10-05 - 2008-10-11,63
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,63
2008-10-26 - 2008-11-01,62
2008-11-02 - 2008-11-08,66
2008-11-09 - 2008-11-15,66
2008-11-16 - 2008-11-22,63
2008-11-23 - 2008-11-29,58
2008-11-30 - 2008-12-06,60
2008-12-07 - 2008-12-13,63
2008-12-14 - 2008-12-20,57
2008-12-21 - 2008-12-27,45
2008-12-28 - 2009-01-03,42
2009-01-04 - 2009-01-10,60
2009-01-11 - 2009-01-17,63
2009-01-18 - 2009-01-24,67
2009-01-25 - 2009-01-31,63
2009-02-01 - 2009-02-07,66
2009-02-08 - 2009-02-14,63
2009-02-15 - 2009-02-21,62
2009-02-22 - 2009-02-28,60
2009-03-01 - 2009-03-07,67
2009-03-08 - 2009-03-14,62
2009-03-15 - 2009-03-21,63
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,60
2009-04-26 - 2009-05-02,57
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,58
2009-05-17 - 2009-05-23,60
2009-05-24 - 2009-05-30,60
2009-05-31 - 2009-06-06,59
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,58
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,58
2009-07-05 - 2009-07-11,56
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,50
2009-07-26 - 2009-08-01,53
2009-08-02 - 2009-08-08,56
2009-08-09 - 2009-08-15,57
2009-08-16 - 2009-08-22,47
2009-08-23 - 2009-08-29,58
2009-08-30 - 2009-09-05,60
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,56
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,56
2009-11-08 - 2009-11-14,52
2009-11-15 - 2009-11-21,54
2009-11-22 - 2009-11-28,56
2009-11-29 - 2009-12-05,57
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,45
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,56
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,58
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,54
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,52
2010-03-07 - 2010-03-13,52
2010-03-14 - 2010-03-20,49
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,54
2010-04-11 - 2010-04-17,56
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,54
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,55
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,48
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,46
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,52
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,54
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,55
2010-10-10 - 2010-10-16,63
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,57
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,49
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,54
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,44
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,45
2011-01-09 - 2011-01-15,51
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,55
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,55
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,55
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,48
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,48
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,44
2011-07-17 - 2011-07-23,41
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,48
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,50
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,39
2012-01-01 - 2012-01-07,47
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,50
2012-02-05 - 2012-02-11,48
2012-02-12 - 2012-02-18,49
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,43
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,43
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,45
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,41
2012-07-22 - 2012-07-28,43
2012-07-29 - 2012-08-04,41
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,41
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,45
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,46
2012-11-11 - 2012-11-17,44
2012-11-18 - 2012-11-24,43
2012-11-25 - 2012-12-01,46
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,29
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,44
2013-01-13 - 2013-01-19,44
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,42
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,43
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,44
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,42
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,41
2013-06-02 - 2013-06-08,43
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,39
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,41
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,49
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,47
2013-11-24 - 2013-11-30,42
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,47
2013-12-22 - 2013-12-28,37
2013-12-29 - 2014-01-04,38
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,47
2014-01-19 - 2014-01-25,47
2014-01-26 - 2014-02-01,50
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,45
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,47
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,45
2014-03-23 - 2014-03-29,48
2014-03-30 - 2014-04-05,48
2014-04-06 - 2014-04-12,46
2014-04-13 - 2014-04-19,43
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,53
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,48
2014-05-25 - 2014-05-31,44
2014-06-01 - 2014-06-07,48
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,45
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,44
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,42
2014-07-20 - 2014-07-26,41
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,44
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,42
2014-08-24 - 2014-08-30,44
2014-08-31 - 2014-09-06,44
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,54
2014-09-21 - 2014-09-27,56
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,47
2014-10-26 - 2014-11-01,49
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,50
2014-11-16 - 2014-11-22,58
2014-11-23 - 2014-11-29,50
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,45
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,39
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,53
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,50
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,48
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,47
2015-03-01 - 2015-03-07,46
2015-03-08 - 2015-03-14,49
2015-03-15 - 2015-03-21,48
2015-03-22 - 2015-03-28,53
2015-03-29 - 2015-04-04,46
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,48
2015-04-19 - 2015-04-25,51
2015-04-26 - 2015-05-02,46
2015-05-03 - 2015-05-09,47
2015-05-10 - 2015-05-16,45
2015-05-17 - 2015-05-23,46
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,47
2015-06-07 - 2015-06-13,46
2015-06-14 - 2015-06-20,45
2015-06-21 - 2015-06-27,46
2015-06-28 - 2015-07-04,43
2015-07-05 - 2015-07-11,43
2015-07-12 - 2015-07-18,42
2015-07-19 - 2015-07-25,45
2015-07-26 - 2015-08-01,43
2015-08-02 - 2015-08-08,47
2015-08-09 - 2015-08-15,43
2015-08-16 - 2015-08-22,42
2015-08-23 - 2015-08-29,45
2015-08-30 - 2015-09-05,44
2015-09-06 - 2015-09-12,46
2015-09-13 - 2015-09-19,48
2015-09-20 - 2015-09-26,47
2015-09-27 - 2015-10-03,48
2015-10-04 - 2015-10-10,48
2015-10-11 - 2015-10-17,47
2015-10-18 - 2015-10-24,51
2015-10-25 - 2015-10-31,48
2015-11-01 - 2015-11-07,56
2015-11-08 - 2015-11-14,55
2015-11-15 - 2015-11-21,50
2015-11-22 - 2015-11-28,52
2015-11-29 - 2015-12-05,54
2015-12-06 - 2015-12-12,52
2015-12-13 - 2015-12-19,51
2015-12-20 - 2015-12-26,39
2015-12-27 - 2016-01-02,39
2016-01-03 - 2016-01-09,50
2016-01-10 - 2016-01-16,46
2016-01-17 - 2016-01-23,50
2016-01-24 - 2016-01-30,48
2016-01-31 - 2016-02-06,46
2016-02-07 - 2016-02-13,49
2016-02-14 - 2016-02-20,49
2016-02-21 - 2016-02-27,48
2016-02-28 - 2016-03-05,52
2016-03-06 - 2016-03-12,50
2016-03-13 - 2016-03-19,50
2016-03-20 - 2016-03-26,46
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,49
2016-04-10 - 2016-04-16,52
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,51


Top regions for ctl
Region,ctl
Nigeria,100
Indonesia,84
Poland,62
South Korea,59
Hong Kong,57
Singapore,42
Taiwan,40
United States,37
Germany,34
Japan,32
Canada,32
China,30
Czech Republic,29
Belgium,29
France,26
Italy,26
Netherlands,25
India,25
Austria,23
Israel,23
Switzerland,23
United Kingdom,23
Portugal,22
South Africa,22
Brazil,21
Malaysia,19
Australia,19
Spain,18
Romania,18
Sweden,18
Philippines,17
Turkey,17
Thailand,14
Chile,13
Vietnam,12
Argentina,11
Russia,11
Colombia,10
Mexico,10


Top cities for ctl
City,ctl
Portland (United States),100
Wroclaw (Poland),99
Katowice (Poland),91
Surabaya (Indonesia),80
Medan (Indonesia),73
Denver (United States),61
Warsaw (Poland),51
Seoul (South Korea),45
Seattle (United States),43
Jakarta (Indonesia),39
Singapore (Singapore),31
Montreal (Canada),31
Bangalore (India),28
Toronto (Canada),28
Chennai (India),28



Top searches for ctl
ctl file,100
festool ctl,100
ctl alt del,90
pembelajaran ctl,80
ctl 470,60
ctl download,55
ctl 480,55
ctl logistics,55
ctl 11,45
ctl stock,40
ctl 460,40
bamboo ctl 470,40
ctl group,35
ctl management,35
sql loader,35
ctl midi,35
what is ctl,35
ctl launcher,35
metode ctl,30
wacom ctl 470,30
wacom ctl 480,30
model pembelajaran ctl,30
ctl mini,30
ctl tv,30
sqlldr,30
ctl engineering,30
ctl cell,30
festool ctl midi,25
ctl cells,25
pendekatan ctl,25
festool ctl 26,25
ctl 8,25
ctl airport,20
ctl online,20
ctl immunology,20
festool ctl mini,20
ctl transportation,20
ctl thompson,20
metode pembelajaran ctl,20
ctl transport,20
ctl wrocław,20
sqlloader,15
ctl response,15



Rising searches for ctl
ctl 11,Breakout
ctl 460,Breakout
ctl 470,Breakout
ctl 480,Breakout
festool ctl,Breakout
pembelajaran ctl,+1,200%
ctl stock,+1,100%
ctl logistics,+500%
ctl download,+130%



