Web Search interest: nbl
Worldwide 2004 - present

Interest over time
Week,nbl
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,40
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,45
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,42
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,47
2012-02-26 - 2012-03-03,42
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,67
2012-04-08 - 2012-04-14,54
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,31
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,21
2012-07-08 - 2012-07-14,21
2012-07-15 - 2012-07-21,21
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,21
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,58
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,54
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,52
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,48
2013-03-24 - 2013-03-30,59
2013-03-31 - 2013-04-06,60
2013-04-07 - 2013-04-13,61
2013-04-14 - 2013-04-20,34
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,50
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,28
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,26
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,41
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,56
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,57
2013-11-24 - 2013-11-30,51
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,52
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,45
2014-02-09 - 2014-02-15,48
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,42
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,48
2014-03-30 - 2014-04-05,64
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,50
2014-04-27 - 2014-05-03,41
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,54
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,35
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,26
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,24
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,24
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,57
2014-10-12 - 2014-10-18,63
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,57
2014-11-02 - 2014-11-08,43
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,52
2014-12-14 - 2014-12-20,43
2014-12-21 - 2014-12-27,41
2014-12-28 - 2015-01-03,41
2015-01-04 - 2015-01-10,42
2015-01-11 - 2015-01-17,47
2015-01-18 - 2015-01-24,56
2015-01-25 - 2015-01-31,43
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,47
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,64
2015-03-01 - 2015-03-07,58
2015-03-08 - 2015-03-14,59
2015-03-15 - 2015-03-21,42
2015-03-22 - 2015-03-28,43
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,73
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,41
2015-05-03 - 2015-05-09,44
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,33
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,27
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,30
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,25
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,25
2015-08-23 - 2015-08-29,24
2015-08-30 - 2015-09-05,26
2015-09-06 - 2015-09-12,26
2015-09-13 - 2015-09-19,28
2015-09-20 - 2015-09-26,31
2015-09-27 - 2015-10-03,28
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,57
2015-10-25 - 2015-10-31,53
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,42
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,45
2015-12-06 - 2015-12-12,49
2015-12-13 - 2015-12-19,44
2015-12-20 - 2015-12-26,39
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,44
2016-01-10 - 2016-01-16,45
2016-01-17 - 2016-01-23,48
2016-01-24 - 2016-01-30,49
2016-01-31 - 2016-02-06,47
2016-02-07 - 2016-02-13,55
2016-02-14 - 2016-02-20,62
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,72
2016-03-06 - 2016-03-12,60
2016-03-13 - 2016-03-19,43
2016-03-20 - 2016-03-26,40
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,46
2016-04-10 - 2016-04-16,45
2016-04-17 - 2016-04-23,56
2016-04-24 - 2016-04-30,100


Top regions for nbl
Region,nbl
Australia,100
New Zealand,66
Indonesia,39
Bangladesh,35
Puerto Rico,29
Czech Republic,15
Slovakia,14
Dominican Republic,14
Singapore,12
Japan,9
Venezuela,9
Canada,7
Norway,6
United States,4
Turkey,4
Taiwan,4
Malaysia,4
China,3
Philippines,3
Sweden,2
Poland,2
Germany,2
Thailand,2
United Kingdom,2
Mexico,2
Netherlands,2
Spain,2
Italy,1
France,1
India,1
Brazil,1


Top cities for nbl
City,nbl
Perth (Australia),100
Adelaide (Australia),89
Malang (Indonesia),78
Melbourne (Australia),55
Yogyakarta (Indonesia),50
Semarang (Indonesia),45
Auckland (New Zealand),40
Sydney (Australia),38
Brisbane (Australia),36
Surabaya (Indonesia),35
Bandung (Indonesia),32
Dhaka (Bangladesh),22
Jakarta (Indonesia),14
Medan (Indonesia),12
Nagoya (Japan),10



Top searches for nbl
nbl basketball,100
nbl live,85
nbl scores,70
nbl league,60
indonesia nbl,60
australia nbl,45
nbl live scores,40
nbl 2015,35
nbl canada,30
nbl 2014,30
nbl standings,25
nbl ladder,25
nbl 2013,25
nbl tv,25
nbl 2016,20
nbl basket,20
nbl schedule,20
nbl bmx,20
nbl results,20
streaming nbl,20
nbl teams,20
australian nbl,15
nbl nz,15
nbl final,15
nbl games,15
nbl news,15
nbl score,15
nbl 2011,15
nbl season,15
mattoni nbl,15
nbl live streaming,15
nbl finals,15
nbl breakers,15
nbl new zealand,15
nbl バスケ,10
jadwal nbl,10
nbl tickets,10
nbl bank,10
nbl stats,10



Rising searches for nbl
indonesia nbl,Breakout
nbl 2013,Breakout
nbl 2014,Breakout
nbl 2015,Breakout
nbl canada,+600%
nbl ladder,+550%
nbl standings,+550%
nbl scores,+180%
nbl live scores,+150%
nbl live,+130%



