Web Search interest: tdc
Worldwide 2004 - present

Interest over time
Week,tdc
2005-10-02 - 2005-10-08,71
2005-10-09 - 2005-10-15,58
2005-10-16 - 2005-10-22,60
2005-10-23 - 2005-10-29,70
2005-10-30 - 2005-11-05,72
2005-11-06 - 2005-11-12,65
2005-11-13 - 2005-11-19,62
2005-11-20 - 2005-11-26,70
2005-11-27 - 2005-12-03,71
2005-12-04 - 2005-12-10,70
2005-12-11 - 2005-12-17,68
2005-12-18 - 2005-12-24,72
2005-12-25 - 2005-12-31,62
2006-01-01 - 2006-01-07,73
2006-01-08 - 2006-01-14,73
2006-01-15 - 2006-01-21,64
2006-01-22 - 2006-01-28,69
2006-01-29 - 2006-02-04,69
2006-02-05 - 2006-02-11,65
2006-02-12 - 2006-02-18,62
2006-02-19 - 2006-02-25,68
2006-02-26 - 2006-03-04,70
2006-03-05 - 2006-03-11,72
2006-03-12 - 2006-03-18,63
2006-03-19 - 2006-03-25,67
2006-03-26 - 2006-04-01,72
2006-04-02 - 2006-04-08,67
2006-04-09 - 2006-04-15,57
2006-04-16 - 2006-04-22,67
2006-04-23 - 2006-04-29,66
2006-04-30 - 2006-05-06,65
2006-05-07 - 2006-05-13,56
2006-05-14 - 2006-05-20,66
2006-05-21 - 2006-05-27,58
2006-05-28 - 2006-06-03,70
2006-06-04 - 2006-06-10,62
2006-06-11 - 2006-06-17,61
2006-06-18 - 2006-06-24,68
2006-06-25 - 2006-07-01,65
2006-07-02 - 2006-07-08,66
2006-07-09 - 2006-07-15,59
2006-07-16 - 2006-07-22,56
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,69
2006-08-06 - 2006-08-12,76
2006-08-13 - 2006-08-19,77
2006-08-20 - 2006-08-26,75
2006-08-27 - 2006-09-02,78
2006-09-03 - 2006-09-09,73
2006-09-10 - 2006-09-16,71
2006-09-17 - 2006-09-23,75
2006-09-24 - 2006-09-30,77
2006-10-01 - 2006-10-07,81
2006-10-08 - 2006-10-14,79
2006-10-15 - 2006-10-21,69
2006-10-22 - 2006-10-28,76
2006-10-29 - 2006-11-04,79
2006-11-05 - 2006-11-11,79
2006-11-12 - 2006-11-18,78
2006-11-19 - 2006-11-25,78
2006-11-26 - 2006-12-02,82
2006-12-03 - 2006-12-09,86
2006-12-10 - 2006-12-16,84
2006-12-17 - 2006-12-23,83
2006-12-24 - 2006-12-30,73
2006-12-31 - 2007-01-06,85
2007-01-07 - 2007-01-13,78
2007-01-14 - 2007-01-20,80
2007-01-21 - 2007-01-27,76
2007-01-28 - 2007-02-03,84
2007-02-04 - 2007-02-10,78
2007-02-11 - 2007-02-17,80
2007-02-18 - 2007-02-24,86
2007-02-25 - 2007-03-03,78
2007-03-04 - 2007-03-10,74
2007-03-11 - 2007-03-17,76
2007-03-18 - 2007-03-24,79
2007-03-25 - 2007-03-31,73
2007-04-01 - 2007-04-07,72
2007-04-08 - 2007-04-14,76
2007-04-15 - 2007-04-21,77
2007-04-22 - 2007-04-28,72
2007-04-29 - 2007-05-05,74
2007-05-06 - 2007-05-12,78
2007-05-13 - 2007-05-19,72
2007-05-20 - 2007-05-26,74
2007-05-27 - 2007-06-02,74
2007-06-03 - 2007-06-09,72
2007-06-10 - 2007-06-16,77
2007-06-17 - 2007-06-23,78
2007-06-24 - 2007-06-30,81
2007-07-01 - 2007-07-07,78
2007-07-08 - 2007-07-14,69
2007-07-15 - 2007-07-21,62
2007-07-22 - 2007-07-28,64
2007-07-29 - 2007-08-04,70
2007-08-05 - 2007-08-11,71
2007-08-12 - 2007-08-18,75
2007-08-19 - 2007-08-25,75
2007-08-26 - 2007-09-01,76
2007-09-02 - 2007-09-08,71
2007-09-09 - 2007-09-15,72
2007-09-16 - 2007-09-22,71
2007-09-23 - 2007-09-29,74
2007-09-30 - 2007-10-06,76
2007-10-07 - 2007-10-13,72
2007-10-14 - 2007-10-20,67
2007-10-21 - 2007-10-27,74
2007-10-28 - 2007-11-03,87
2007-11-04 - 2007-11-10,68
2007-11-11 - 2007-11-17,68
2007-11-18 - 2007-11-24,76
2007-11-25 - 2007-12-01,75
2007-12-02 - 2007-12-08,78
2007-12-09 - 2007-12-15,77
2007-12-16 - 2007-12-22,78
2007-12-23 - 2007-12-29,74
2007-12-30 - 2008-01-05,78
2008-01-06 - 2008-01-12,75
2008-01-13 - 2008-01-19,77
2008-01-20 - 2008-01-26,72
2008-01-27 - 2008-02-02,75
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,74
2008-02-17 - 2008-02-23,71
2008-02-24 - 2008-03-01,73
2008-03-02 - 2008-03-08,74
2008-03-09 - 2008-03-15,73
2008-03-16 - 2008-03-22,68
2008-03-23 - 2008-03-29,75
2008-03-30 - 2008-04-05,100
2008-04-06 - 2008-04-12,79
2008-04-13 - 2008-04-19,75
2008-04-20 - 2008-04-26,77
2008-04-27 - 2008-05-03,75
2008-05-04 - 2008-05-10,73
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,73
2008-05-25 - 2008-05-31,69
2008-06-01 - 2008-06-07,65
2008-06-08 - 2008-06-14,73
2008-06-15 - 2008-06-21,75
2008-06-22 - 2008-06-28,72
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,65
2008-07-20 - 2008-07-26,59
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,72
2008-08-10 - 2008-08-16,73
2008-08-17 - 2008-08-23,73
2008-08-24 - 2008-08-30,70
2008-08-31 - 2008-09-06,69
2008-09-07 - 2008-09-13,68
2008-09-14 - 2008-09-20,66
2008-09-21 - 2008-09-27,67
2008-09-28 - 2008-10-04,69
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,74
2008-10-26 - 2008-11-01,71
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,69
2008-11-16 - 2008-11-22,69
2008-11-23 - 2008-11-29,69
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,72
2008-12-21 - 2008-12-27,63
2008-12-28 - 2009-01-03,66
2009-01-04 - 2009-01-10,78
2009-01-11 - 2009-01-17,73
2009-01-18 - 2009-01-24,70
2009-01-25 - 2009-01-31,78
2009-02-01 - 2009-02-07,77
2009-02-08 - 2009-02-14,71
2009-02-15 - 2009-02-21,73
2009-02-22 - 2009-02-28,74
2009-03-01 - 2009-03-07,73
2009-03-08 - 2009-03-14,73
2009-03-15 - 2009-03-21,69
2009-03-22 - 2009-03-28,69
2009-03-29 - 2009-04-04,67
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,61
2009-05-03 - 2009-05-09,61
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,62
2009-05-24 - 2009-05-30,63
2009-05-31 - 2009-06-06,59
2009-06-07 - 2009-06-13,69
2009-06-14 - 2009-06-20,67
2009-06-21 - 2009-06-27,61
2009-06-28 - 2009-07-04,64
2009-07-05 - 2009-07-11,67
2009-07-12 - 2009-07-18,60
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,63
2009-08-02 - 2009-08-08,63
2009-08-09 - 2009-08-15,71
2009-08-16 - 2009-08-22,70
2009-08-23 - 2009-08-29,66
2009-08-30 - 2009-09-05,68
2009-09-06 - 2009-09-12,64
2009-09-13 - 2009-09-19,64
2009-09-20 - 2009-09-26,61
2009-09-27 - 2009-10-03,60
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,64
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,66
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,60
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,60
2009-12-06 - 2009-12-12,62
2009-12-13 - 2009-12-19,58
2009-12-20 - 2009-12-26,59
2009-12-27 - 2010-01-02,61
2010-01-03 - 2010-01-09,62
2010-01-10 - 2010-01-16,60
2010-01-17 - 2010-01-23,60
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,59
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,58
2010-03-07 - 2010-03-13,60
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,58
2010-05-09 - 2010-05-15,60
2010-05-16 - 2010-05-22,58
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,59
2010-06-06 - 2010-06-12,66
2010-06-13 - 2010-06-19,60
2010-06-20 - 2010-06-26,58
2010-06-27 - 2010-07-03,55
2010-07-04 - 2010-07-10,54
2010-07-11 - 2010-07-17,51
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,56
2010-08-08 - 2010-08-14,63
2010-08-15 - 2010-08-21,63
2010-08-22 - 2010-08-28,59
2010-08-29 - 2010-09-04,57
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,57
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,56
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,57
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,60
2010-11-21 - 2010-11-27,57
2010-11-28 - 2010-12-04,61
2010-12-05 - 2010-12-11,61
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,55
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,56
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,56
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,45
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,48
2011-05-22 - 2011-05-28,51
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,51
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,53
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,46
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,50
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,53
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,57
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,49
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,49
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,46
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,48
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,53
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,51
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,53
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,44
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,46
2012-12-23 - 2012-12-29,46
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,47
2013-03-17 - 2013-03-23,48
2013-03-24 - 2013-03-30,45
2013-03-31 - 2013-04-06,50
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,47
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,42
2013-05-19 - 2013-05-25,44
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,41
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,41
2013-07-14 - 2013-07-20,39
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,42
2013-08-11 - 2013-08-17,44
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,43
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,43
2013-09-15 - 2013-09-21,43
2013-09-22 - 2013-09-28,42
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,44
2013-10-13 - 2013-10-19,44
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,44
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,45
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,43
2014-02-02 - 2014-02-08,43
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,43
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,44
2014-04-20 - 2014-04-26,39
2014-04-27 - 2014-05-03,40
2014-05-04 - 2014-05-10,44
2014-05-11 - 2014-05-17,41
2014-05-18 - 2014-05-24,43
2014-05-25 - 2014-05-31,40
2014-06-01 - 2014-06-07,41
2014-06-08 - 2014-06-14,39
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,42
2014-06-29 - 2014-07-05,44
2014-07-06 - 2014-07-12,39
2014-07-13 - 2014-07-19,41
2014-07-20 - 2014-07-26,39
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,45
2014-08-10 - 2014-08-16,42
2014-08-17 - 2014-08-23,43
2014-08-24 - 2014-08-30,42
2014-08-31 - 2014-09-06,42
2014-09-07 - 2014-09-13,42
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,45
2014-10-05 - 2014-10-11,42
2014-10-12 - 2014-10-18,42
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,43
2014-11-09 - 2014-11-15,41
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,41
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,43
2014-12-14 - 2014-12-20,42
2014-12-21 - 2014-12-27,36
2014-12-28 - 2015-01-03,38
2015-01-04 - 2015-01-10,44
2015-01-11 - 2015-01-17,42
2015-01-18 - 2015-01-24,42
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,39
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,41
2015-02-22 - 2015-02-28,41
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,37
2015-03-15 - 2015-03-21,37
2015-03-22 - 2015-03-28,42
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,39
2015-04-19 - 2015-04-25,39
2015-04-26 - 2015-05-02,38
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,37
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,36
2015-07-05 - 2015-07-11,36
2015-07-12 - 2015-07-18,36
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,37
2015-08-02 - 2015-08-08,42
2015-08-09 - 2015-08-15,39
2015-08-16 - 2015-08-22,36
2015-08-23 - 2015-08-29,38
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,35
2015-09-13 - 2015-09-19,35
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,36
2015-10-04 - 2015-10-10,35
2015-10-11 - 2015-10-17,36
2015-10-18 - 2015-10-24,36
2015-10-25 - 2015-10-31,37
2015-11-01 - 2015-11-07,38
2015-11-08 - 2015-11-14,35
2015-11-15 - 2015-11-21,35
2015-11-22 - 2015-11-28,35
2015-11-29 - 2015-12-05,36
2015-12-06 - 2015-12-12,36
2015-12-13 - 2015-12-19,35
2015-12-20 - 2015-12-26,30
2015-12-27 - 2016-01-02,33
2016-01-03 - 2016-01-09,37
2016-01-10 - 2016-01-16,34
2016-01-17 - 2016-01-23,34
2016-01-24 - 2016-01-30,37
2016-01-31 - 2016-02-06,37
2016-02-07 - 2016-02-13,36
2016-02-14 - 2016-02-20,35
2016-02-21 - 2016-02-27,35
2016-02-28 - 2016-03-05,37
2016-03-06 - 2016-03-12,35
2016-03-13 - 2016-03-19,33
2016-03-20 - 2016-03-26,30
2016-03-27 - 2016-04-02,34
2016-04-03 - 2016-04-09,34
2016-04-10 - 2016-04-16,34
2016-04-17 - 2016-04-23,34
2016-04-24 - 2016-04-30,44


Top regions for tdc
Region,tdc
Denmark,100
Hong Kong,2
Sweden,1
Venezuela,1
Norway,1
New Zealand,1
Finland,1


Top cities for tdc
City,tdc
Frederikssund (Denmark),100
Thisted (Denmark),94
Holbaek (Denmark),81
Aabenraa (Denmark),77
Nykobing Falster (Denmark),77
Ringsted (Denmark),75
Viborg (Denmark),73
Slagelse Municipality (Denmark),70
Naestved (Denmark),69
Skanderborg (Denmark),69
Svendborg (Denmark),68
Køge (Denmark),68
Helsingor (Denmark),67
Herning (Denmark),66
Holstebro (Denmark),65



Top searches for tdc
tdc mail,100
tdc play,35
hastighedstest tdc,25
hastighedstest,25
tdc mobil,20
tdc tv,15
tdc online,10
mit tdc,10
tdc erhverv,10
tdc musik,10
oplysningen tdc,10
tdc butik,5
tdc bredbånd,5
tdc test,5
tdc internet,5
yousee,5
tdc hastighed,5
tdc kundeservice,5
tdc dk,5
telmore,5
tdc.dk,5
tdc webmail,5
tdc login,5
tdc sensor,5
tdc mail online,5
tdc mms,5
tdc hometrio,5
tdc kabel,5
tdc trio,0
tdc kontakt,0
tdc homebox,0
tdc 118,0
tdc power,0
speedtest tdc,0
fullrate,0
tdc support,0
tdcj,0
sonofon,0
tdc kabel tv,0
tdc denmark,0



Rising searches for tdc
tdc play,Breakout
yousee,Breakout
mit tdc,+1,600%
hastighedstest,+850%
hastighedstest tdc,+800%
tdc mail,+400%
tdc erhverv,+150%
tdc hastighed,+110%
tdc tv,+70%
tdc musik,+50%



