Web Search interest: aep
Worldwide 2004 - present

Interest over time
Week,aep
2005-02-27 - 2005-03-05,17
2005-03-06 - 2005-03-12,18
2005-03-13 - 2005-03-19,19
2005-03-20 - 2005-03-26,19
2005-03-27 - 2005-04-02,17
2005-04-03 - 2005-04-09,20
2005-04-10 - 2005-04-16,19
2005-04-17 - 2005-04-23,18
2005-04-24 - 2005-04-30,19
2005-05-01 - 2005-05-07,19
2005-05-08 - 2005-05-14,21
2005-05-15 - 2005-05-21,18
2005-05-22 - 2005-05-28,17
2005-05-29 - 2005-06-04,20
2005-06-05 - 2005-06-11,15
2005-06-12 - 2005-06-18,20
2005-06-19 - 2005-06-25,19
2005-06-26 - 2005-07-02,18
2005-07-03 - 2005-07-09,17
2005-07-10 - 2005-07-16,22
2005-07-17 - 2005-07-23,20
2005-07-24 - 2005-07-30,21
2005-07-31 - 2005-08-06,20
2005-08-07 - 2005-08-13,18
2005-08-14 - 2005-08-20,21
2005-08-21 - 2005-08-27,20
2005-08-28 - 2005-09-03,24
2005-09-04 - 2005-09-10,17
2005-09-11 - 2005-09-17,19
2005-09-18 - 2005-09-24,19
2005-09-25 - 2005-10-01,20
2005-10-02 - 2005-10-08,19
2005-10-09 - 2005-10-15,20
2005-10-16 - 2005-10-22,20
2005-10-23 - 2005-10-29,18
2005-10-30 - 2005-11-05,20
2005-11-06 - 2005-11-12,19
2005-11-13 - 2005-11-19,18
2005-11-20 - 2005-11-26,15
2005-11-27 - 2005-12-03,20
2005-12-04 - 2005-12-10,17
2005-12-11 - 2005-12-17,18
2005-12-18 - 2005-12-24,16
2005-12-25 - 2005-12-31,13
2006-01-01 - 2006-01-07,18
2006-01-08 - 2006-01-14,19
2006-01-15 - 2006-01-21,20
2006-01-22 - 2006-01-28,17
2006-01-29 - 2006-02-04,20
2006-02-05 - 2006-02-11,21
2006-02-12 - 2006-02-18,19
2006-02-19 - 2006-02-25,21
2006-02-26 - 2006-03-04,20
2006-03-05 - 2006-03-11,20
2006-03-12 - 2006-03-18,18
2006-03-19 - 2006-03-25,17
2006-03-26 - 2006-04-01,19
2006-04-02 - 2006-04-08,21
2006-04-09 - 2006-04-15,18
2006-04-16 - 2006-04-22,17
2006-04-23 - 2006-04-29,18
2006-04-30 - 2006-05-06,19
2006-05-07 - 2006-05-13,19
2006-05-14 - 2006-05-20,19
2006-05-21 - 2006-05-27,19
2006-05-28 - 2006-06-03,18
2006-06-04 - 2006-06-10,23
2006-06-11 - 2006-06-17,21
2006-06-18 - 2006-06-24,22
2006-06-25 - 2006-07-01,22
2006-07-02 - 2006-07-08,19
2006-07-09 - 2006-07-15,22
2006-07-16 - 2006-07-22,20
2006-07-23 - 2006-07-29,19
2006-07-30 - 2006-08-05,22
2006-08-06 - 2006-08-12,21
2006-08-13 - 2006-08-19,20
2006-08-20 - 2006-08-26,21
2006-08-27 - 2006-09-02,20
2006-09-03 - 2006-09-09,20
2006-09-10 - 2006-09-16,19
2006-09-17 - 2006-09-23,20
2006-09-24 - 2006-09-30,21
2006-10-01 - 2006-10-07,21
2006-10-08 - 2006-10-14,19
2006-10-15 - 2006-10-21,20
2006-10-22 - 2006-10-28,19
2006-10-29 - 2006-11-04,20
2006-11-05 - 2006-11-11,21
2006-11-12 - 2006-11-18,22
2006-11-19 - 2006-11-25,17
2006-11-26 - 2006-12-02,21
2006-12-03 - 2006-12-09,19
2006-12-10 - 2006-12-16,20
2006-12-17 - 2006-12-23,19
2006-12-24 - 2006-12-30,15
2006-12-31 - 2007-01-06,19
2007-01-07 - 2007-01-13,22
2007-01-14 - 2007-01-20,23
2007-01-21 - 2007-01-27,20
2007-01-28 - 2007-02-03,24
2007-02-04 - 2007-02-10,20
2007-02-11 - 2007-02-17,24
2007-02-18 - 2007-02-24,21
2007-02-25 - 2007-03-03,22
2007-03-04 - 2007-03-10,21
2007-03-11 - 2007-03-17,21
2007-03-18 - 2007-03-24,21
2007-03-25 - 2007-03-31,22
2007-04-01 - 2007-04-07,21
2007-04-08 - 2007-04-14,20
2007-04-15 - 2007-04-21,22
2007-04-22 - 2007-04-28,20
2007-04-29 - 2007-05-05,20
2007-05-06 - 2007-05-12,21
2007-05-13 - 2007-05-19,23
2007-05-20 - 2007-05-26,20
2007-05-27 - 2007-06-02,21
2007-06-03 - 2007-06-09,22
2007-06-10 - 2007-06-16,23
2007-06-17 - 2007-06-23,21
2007-06-24 - 2007-06-30,21
2007-07-01 - 2007-07-07,19
2007-07-08 - 2007-07-14,21
2007-07-15 - 2007-07-21,22
2007-07-22 - 2007-07-28,21
2007-07-29 - 2007-08-04,22
2007-08-05 - 2007-08-11,21
2007-08-12 - 2007-08-18,21
2007-08-19 - 2007-08-25,22
2007-08-26 - 2007-09-01,21
2007-09-02 - 2007-09-08,20
2007-09-09 - 2007-09-15,20
2007-09-16 - 2007-09-22,22
2007-09-23 - 2007-09-29,20
2007-09-30 - 2007-10-06,21
2007-10-07 - 2007-10-13,24
2007-10-14 - 2007-10-20,22
2007-10-21 - 2007-10-27,22
2007-10-28 - 2007-11-03,21
2007-11-04 - 2007-11-10,20
2007-11-11 - 2007-11-17,20
2007-11-18 - 2007-11-24,17
2007-11-25 - 2007-12-01,21
2007-12-02 - 2007-12-08,21
2007-12-09 - 2007-12-15,26
2007-12-16 - 2007-12-22,21
2007-12-23 - 2007-12-29,17
2007-12-30 - 2008-01-05,20
2008-01-06 - 2008-01-12,21
2008-01-13 - 2008-01-19,21
2008-01-20 - 2008-01-26,21
2008-01-27 - 2008-02-02,22
2008-02-03 - 2008-02-09,21
2008-02-10 - 2008-02-16,24
2008-02-17 - 2008-02-23,21
2008-02-24 - 2008-03-01,20
2008-03-02 - 2008-03-08,22
2008-03-09 - 2008-03-15,21
2008-03-16 - 2008-03-22,21
2008-03-23 - 2008-03-29,20
2008-03-30 - 2008-04-05,22
2008-04-06 - 2008-04-12,22
2008-04-13 - 2008-04-19,22
2008-04-20 - 2008-04-26,21
2008-04-27 - 2008-05-03,20
2008-05-04 - 2008-05-10,19
2008-05-11 - 2008-05-17,21
2008-05-18 - 2008-05-24,21
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,24
2008-06-08 - 2008-06-14,23
2008-06-15 - 2008-06-21,21
2008-06-22 - 2008-06-28,23
2008-06-29 - 2008-07-05,20
2008-07-06 - 2008-07-12,23
2008-07-13 - 2008-07-19,22
2008-07-20 - 2008-07-26,24
2008-07-27 - 2008-08-02,24
2008-08-03 - 2008-08-09,21
2008-08-10 - 2008-08-16,21
2008-08-17 - 2008-08-23,21
2008-08-24 - 2008-08-30,23
2008-08-31 - 2008-09-06,21
2008-09-07 - 2008-09-13,21
2008-09-14 - 2008-09-20,71
2008-09-21 - 2008-09-27,23
2008-09-28 - 2008-10-04,23
2008-10-05 - 2008-10-11,23
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,24
2008-10-26 - 2008-11-01,22
2008-11-02 - 2008-11-08,21
2008-11-09 - 2008-11-15,23
2008-11-16 - 2008-11-22,22
2008-11-23 - 2008-11-29,18
2008-11-30 - 2008-12-06,22
2008-12-07 - 2008-12-13,22
2008-12-14 - 2008-12-20,22
2008-12-21 - 2008-12-27,19
2008-12-28 - 2009-01-03,21
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,24
2009-01-18 - 2009-01-24,20
2009-01-25 - 2009-01-31,30
2009-02-01 - 2009-02-07,24
2009-02-08 - 2009-02-14,28
2009-02-15 - 2009-02-21,22
2009-02-22 - 2009-02-28,22
2009-03-01 - 2009-03-07,22
2009-03-08 - 2009-03-14,22
2009-03-15 - 2009-03-21,20
2009-03-22 - 2009-03-28,21
2009-03-29 - 2009-04-04,22
2009-04-05 - 2009-04-11,20
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,19
2009-04-26 - 2009-05-02,20
2009-05-03 - 2009-05-09,19
2009-05-10 - 2009-05-16,20
2009-05-17 - 2009-05-23,20
2009-05-24 - 2009-05-30,19
2009-05-31 - 2009-06-06,21
2009-06-07 - 2009-06-13,20
2009-06-14 - 2009-06-20,23
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,18
2009-07-05 - 2009-07-11,20
2009-07-12 - 2009-07-18,20
2009-07-19 - 2009-07-25,20
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,22
2009-08-16 - 2009-08-22,19
2009-08-23 - 2009-08-29,20
2009-08-30 - 2009-09-05,19
2009-09-06 - 2009-09-12,19
2009-09-13 - 2009-09-19,20
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,20
2009-10-04 - 2009-10-10,21
2009-10-11 - 2009-10-17,21
2009-10-18 - 2009-10-24,22
2009-10-25 - 2009-10-31,20
2009-11-01 - 2009-11-07,20
2009-11-08 - 2009-11-14,20
2009-11-15 - 2009-11-21,20
2009-11-22 - 2009-11-28,17
2009-11-29 - 2009-12-05,21
2009-12-06 - 2009-12-12,22
2009-12-13 - 2009-12-19,21
2009-12-20 - 2009-12-26,20
2009-12-27 - 2010-01-02,18
2010-01-03 - 2010-01-09,22
2010-01-10 - 2010-01-16,22
2010-01-17 - 2010-01-23,21
2010-01-24 - 2010-01-30,22
2010-01-31 - 2010-02-06,22
2010-02-07 - 2010-02-13,23
2010-02-14 - 2010-02-20,20
2010-02-21 - 2010-02-27,21
2010-02-28 - 2010-03-06,22
2010-03-07 - 2010-03-13,22
2010-03-14 - 2010-03-20,21
2010-03-21 - 2010-03-27,21
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,22
2010-04-11 - 2010-04-17,23
2010-04-18 - 2010-04-24,21
2010-04-25 - 2010-05-01,21
2010-05-02 - 2010-05-08,23
2010-05-09 - 2010-05-15,24
2010-05-16 - 2010-05-22,23
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,24
2010-06-06 - 2010-06-12,23
2010-06-13 - 2010-06-19,23
2010-06-20 - 2010-06-26,23
2010-06-27 - 2010-07-03,22
2010-07-04 - 2010-07-10,20
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,23
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,26
2010-08-08 - 2010-08-14,25
2010-08-15 - 2010-08-21,22
2010-08-22 - 2010-08-28,21
2010-08-29 - 2010-09-04,22
2010-09-05 - 2010-09-11,22
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,24
2010-09-26 - 2010-10-02,23
2010-10-03 - 2010-10-09,23
2010-10-10 - 2010-10-16,20
2010-10-17 - 2010-10-23,22
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,21
2010-11-07 - 2010-11-13,20
2010-11-14 - 2010-11-20,22
2010-11-21 - 2010-11-27,18
2010-11-28 - 2010-12-04,24
2010-12-05 - 2010-12-11,22
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,18
2010-12-26 - 2011-01-01,19
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,22
2011-01-16 - 2011-01-22,22
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,21
2011-02-20 - 2011-02-26,22
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,22
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,21
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,22
2011-04-10 - 2011-04-16,21
2011-04-17 - 2011-04-23,21
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,22
2011-05-15 - 2011-05-21,21
2011-05-22 - 2011-05-28,22
2011-05-29 - 2011-06-04,21
2011-06-05 - 2011-06-11,23
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,22
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,21
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,24
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,20
2011-08-21 - 2011-08-27,21
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,20
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,21
2011-10-09 - 2011-10-15,20
2011-10-16 - 2011-10-22,21
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,20
2011-12-04 - 2011-12-10,19
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,17
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,23
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,18
2012-03-18 - 2012-03-24,19
2012-03-25 - 2012-03-31,20
2012-04-01 - 2012-04-07,18
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,20
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,20
2012-05-06 - 2012-05-12,20
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,21
2012-06-03 - 2012-06-09,19
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,100
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,21
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,21
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,20
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,19
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,19
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,18
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,19
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,20
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,19
2013-04-28 - 2013-05-04,19
2013-05-05 - 2013-05-11,19
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,19
2013-06-02 - 2013-06-08,20
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,23
2013-06-30 - 2013-07-06,19
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,20
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,20
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,20
2014-05-11 - 2014-05-17,22
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,19
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,22
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,21
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,21
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,22
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,24
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,24
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,24
2015-08-16 - 2015-08-22,24
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,26
2015-09-06 - 2015-09-12,23
2015-09-13 - 2015-09-19,23
2015-09-20 - 2015-09-26,22
2015-09-27 - 2015-10-03,25
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,24
2015-10-18 - 2015-10-24,23
2015-10-25 - 2015-10-31,24
2015-11-01 - 2015-11-07,23
2015-11-08 - 2015-11-14,23
2015-11-15 - 2015-11-21,22
2015-11-22 - 2015-11-28,19
2015-11-29 - 2015-12-05,24
2015-12-06 - 2015-12-12,22
2015-12-13 - 2015-12-19,23
2015-12-20 - 2015-12-26,17
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,24
2016-01-10 - 2016-01-16,25
2016-01-17 - 2016-01-23,23
2016-01-24 - 2016-01-30,23
2016-01-31 - 2016-02-06,24
2016-02-07 - 2016-02-13,23
2016-02-14 - 2016-02-20,26
2016-02-21 - 2016-02-27,23
2016-02-28 - 2016-03-05,25
2016-03-06 - 2016-03-12,22
2016-03-13 - 2016-03-19,24
2016-03-20 - 2016-03-26,22
2016-03-27 - 2016-04-02,25
2016-04-03 - 2016-04-09,27
2016-04-10 - 2016-04-16,24
2016-04-17 - 2016-04-23,23
2016-04-24 - 2016-04-30,22


Top regions for aep
Region,aep
Portugal,100
United States,85
Chile,67
Morocco,25
Spain,25
Romania,24
Greece,24
France,23
Algeria,22
Germany,21
Singapore,20
Canada,16
Argentina,15
Austria,14
Philippines,12
Belgium,12
Netherlands,10
Peru,9
Switzerland,9
Indonesia,9
United Kingdom,9
Australia,8
Poland,8
Italy,6
Japan,6
Brazil,6
Taiwan,6
China,6
India,5
Mexico,5
Thailand,5
Sweden,4
Colombia,4
Vietnam,3
Turkey,3
Russia,3


Top cities for aep
City,aep
Newark (United States),100
Huntington (United States),72
Columbus (United States),67
Dublin (United States),58
Charleston (United States),57
Roanoke (United States),53
Fort Wayne (United States),37
Tulsa (United States),34
Shreveport (United States),28
South Bend (United States),27
Westland (United States),15
Detroit (United States),8
Cleveland (United States),8
Pittsburgh (United States),5
Lisbon (Portugal),3



Top searches for aep
aep ohio,100
aep power,25
aep electric,15
aep energy,15
aep number,15
aep bill pay,15
columbia gas,15
aep columbus,10
columbia gas ohio,10
aep phone number,10
aep wv,10
aep columbus ohio,10
aep outage,10
aep texas,10
aep indiana,10
aep login,10
pso aep,5
aep customer,5
aep of ohio,5
aep customer service,5
aep swepco,5
aep power outage,5
aep jobs,5
aep outages,5
aep va,5
aep online,5
airsoft aep,5
aep buenos aires,5
aep oklahoma,5
aep electric ohio,5
aep virginia,5
aep airport,5
aep tulsa,5
aep industries,5
my aep,5
aep careers,5
aep span,5
aep michigan,5
aep power outages,5
american electric power,5
aep stock,5
aep ky,5
aep electric company,0
aep file,0
nipsco,0
aep direct,0
aep 2015,0
aep ohio login,0
aep kentucky,0
aep appalachian power,0



Rising searches for aep
aep number,+1,950%
aep bill pay,+1,400%
aep phone number,+1,250%
aep ohio,+700%
aep indiana,+550%
aep outage,+550%
aep wv,+550%
columbia gas ohio,+550%
columbia gas,+350%
aep columbus ohio,+170%



