Web Search interest: goog
Worldwide 2004 - present

Interest over time
Week,goog
2005-10-09 - 2005-10-15,30
2005-10-16 - 2005-10-22,44
2005-10-23 - 2005-10-29,43
2005-10-30 - 2005-11-05,45
2005-11-06 - 2005-11-12,42
2005-11-13 - 2005-11-19,45
2005-11-20 - 2005-11-26,43
2005-11-27 - 2005-12-03,51
2005-12-04 - 2005-12-10,44
2005-12-11 - 2005-12-17,41
2005-12-18 - 2005-12-24,47
2005-12-25 - 2005-12-31,38
2006-01-01 - 2006-01-07,57
2006-01-08 - 2006-01-14,55
2006-01-15 - 2006-01-21,59
2006-01-22 - 2006-01-28,60
2006-01-29 - 2006-02-04,97
2006-02-05 - 2006-02-11,63
2006-02-12 - 2006-02-18,63
2006-02-19 - 2006-02-25,49
2006-02-26 - 2006-03-04,63
2006-03-05 - 2006-03-11,50
2006-03-12 - 2006-03-18,46
2006-03-19 - 2006-03-25,46
2006-03-26 - 2006-04-01,46
2006-04-02 - 2006-04-08,42
2006-04-09 - 2006-04-15,41
2006-04-16 - 2006-04-22,51
2006-04-23 - 2006-04-29,44
2006-04-30 - 2006-05-06,44
2006-05-07 - 2006-05-13,39
2006-05-14 - 2006-05-20,38
2006-05-21 - 2006-05-27,35
2006-05-28 - 2006-06-03,30
2006-06-04 - 2006-06-10,31
2006-06-11 - 2006-06-17,32
2006-06-18 - 2006-06-24,31
2006-06-25 - 2006-07-01,33
2006-07-02 - 2006-07-08,31
2006-07-09 - 2006-07-15,34
2006-07-16 - 2006-07-22,43
2006-07-23 - 2006-07-29,37
2006-07-30 - 2006-08-05,33
2006-08-06 - 2006-08-12,33
2006-08-13 - 2006-08-19,32
2006-08-20 - 2006-08-26,29
2006-08-27 - 2006-09-02,30
2006-09-03 - 2006-09-09,27
2006-09-10 - 2006-09-16,33
2006-09-17 - 2006-09-23,34
2006-09-24 - 2006-09-30,33
2006-10-01 - 2006-10-07,33
2006-10-08 - 2006-10-14,45
2006-10-15 - 2006-10-21,47
2006-10-22 - 2006-10-28,48
2006-10-29 - 2006-11-04,43
2006-11-05 - 2006-11-11,39
2006-11-12 - 2006-11-18,40
2006-11-19 - 2006-11-25,41
2006-11-26 - 2006-12-02,43
2006-12-03 - 2006-12-09,38
2006-12-10 - 2006-12-16,36
2006-12-17 - 2006-12-23,39
2006-12-24 - 2006-12-30,40
2006-12-31 - 2007-01-06,36
2007-01-07 - 2007-01-13,37
2007-01-14 - 2007-01-20,38
2007-01-21 - 2007-01-27,39
2007-01-28 - 2007-02-03,47
2007-02-04 - 2007-02-10,40
2007-02-11 - 2007-02-17,38
2007-02-18 - 2007-02-24,37
2007-02-25 - 2007-03-03,43
2007-03-04 - 2007-03-10,39
2007-03-11 - 2007-03-17,38
2007-03-18 - 2007-03-24,35
2007-03-25 - 2007-03-31,33
2007-04-01 - 2007-04-07,34
2007-04-08 - 2007-04-14,35
2007-04-15 - 2007-04-21,46
2007-04-22 - 2007-04-28,39
2007-04-29 - 2007-05-05,37
2007-05-06 - 2007-05-12,35
2007-05-13 - 2007-05-19,35
2007-05-20 - 2007-05-26,34
2007-05-27 - 2007-06-02,37
2007-06-03 - 2007-06-09,39
2007-06-10 - 2007-06-16,35
2007-06-17 - 2007-06-23,36
2007-06-24 - 2007-06-30,36
2007-07-01 - 2007-07-07,37
2007-07-08 - 2007-07-14,38
2007-07-15 - 2007-07-21,50
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,36
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,38
2007-08-19 - 2007-08-25,35
2007-08-26 - 2007-09-01,34
2007-09-02 - 2007-09-08,33
2007-09-09 - 2007-09-15,33
2007-09-16 - 2007-09-22,34
2007-09-23 - 2007-09-29,37
2007-09-30 - 2007-10-06,38
2007-10-07 - 2007-10-13,47
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,46
2007-10-28 - 2007-11-03,54
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,48
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,49
2007-12-09 - 2007-12-15,43
2007-12-16 - 2007-12-22,43
2007-12-23 - 2007-12-29,33
2007-12-30 - 2008-01-05,35
2008-01-06 - 2008-01-12,38
2008-01-13 - 2008-01-19,36
2008-01-20 - 2008-01-26,46
2008-01-27 - 2008-02-02,53
2008-02-03 - 2008-02-09,50
2008-02-10 - 2008-02-16,40
2008-02-17 - 2008-02-23,35
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,40
2008-03-09 - 2008-03-15,43
2008-03-16 - 2008-03-22,42
2008-03-23 - 2008-03-29,40
2008-03-30 - 2008-04-05,38
2008-04-06 - 2008-04-12,37
2008-04-13 - 2008-04-19,53
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,41
2008-05-04 - 2008-05-10,41
2008-05-11 - 2008-05-17,38
2008-05-18 - 2008-05-24,37
2008-05-25 - 2008-05-31,33
2008-06-01 - 2008-06-07,34
2008-06-08 - 2008-06-14,35
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,35
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,44
2008-07-20 - 2008-07-26,38
2008-07-27 - 2008-08-02,35
2008-08-03 - 2008-08-09,34
2008-08-10 - 2008-08-16,36
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,33
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,35
2008-09-28 - 2008-10-04,52
2008-10-05 - 2008-10-11,48
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,41
2008-10-26 - 2008-11-01,37
2008-11-02 - 2008-11-08,37
2008-11-09 - 2008-11-15,41
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,34
2008-11-30 - 2008-12-06,33
2008-12-07 - 2008-12-13,33
2008-12-14 - 2008-12-20,34
2008-12-21 - 2008-12-27,32
2008-12-28 - 2009-01-03,28
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,37
2009-01-18 - 2009-01-24,38
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,38
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,36
2009-02-22 - 2009-02-28,37
2009-03-01 - 2009-03-07,33
2009-03-08 - 2009-03-14,36
2009-03-15 - 2009-03-21,38
2009-03-22 - 2009-03-28,38
2009-03-29 - 2009-04-04,39
2009-04-05 - 2009-04-11,39
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,39
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,39
2009-05-10 - 2009-05-16,37
2009-05-17 - 2009-05-23,36
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,37
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,36
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,37
2009-07-12 - 2009-07-18,39
2009-07-19 - 2009-07-25,38
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,36
2009-08-23 - 2009-08-29,35
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,35
2009-09-13 - 2009-09-19,36
2009-09-20 - 2009-09-26,39
2009-09-27 - 2009-10-03,39
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,45
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,41
2009-11-01 - 2009-11-07,41
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,41
2009-11-29 - 2009-12-05,42
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,44
2009-12-20 - 2009-12-26,46
2009-12-27 - 2010-01-02,45
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,47
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,47
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,47
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,48
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,49
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,49
2010-04-25 - 2010-05-01,50
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,50
2010-05-16 - 2010-05-22,51
2010-05-23 - 2010-05-29,51
2010-05-30 - 2010-06-05,48
2010-06-06 - 2010-06-12,49
2010-06-13 - 2010-06-19,48
2010-06-20 - 2010-06-26,49
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,52
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,55
2010-08-22 - 2010-08-28,55
2010-08-29 - 2010-09-04,55
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,60
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,70
2010-10-17 - 2010-10-23,66
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,67
2010-11-14 - 2010-11-20,67
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,67
2010-12-19 - 2010-12-25,71
2010-12-26 - 2011-01-01,72
2011-01-02 - 2011-01-08,72
2011-01-09 - 2011-01-15,70
2011-01-16 - 2011-01-22,73
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,76
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,69
2011-02-27 - 2011-03-05,70
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,70
2011-03-27 - 2011-04-02,70
2011-04-03 - 2011-04-09,70
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,75
2011-04-24 - 2011-04-30,70
2011-05-01 - 2011-05-07,72
2011-05-08 - 2011-05-14,73
2011-05-15 - 2011-05-21,72
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,73
2011-06-05 - 2011-06-11,75
2011-06-12 - 2011-06-18,75
2011-06-19 - 2011-06-25,75
2011-06-26 - 2011-07-02,76
2011-07-03 - 2011-07-09,77
2011-07-10 - 2011-07-16,84
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,77
2011-07-31 - 2011-08-06,81
2011-08-07 - 2011-08-13,83
2011-08-14 - 2011-08-20,85
2011-08-21 - 2011-08-27,80
2011-08-28 - 2011-09-03,79
2011-09-04 - 2011-09-10,78
2011-09-11 - 2011-09-17,81
2011-09-18 - 2011-09-24,83
2011-09-25 - 2011-10-01,82
2011-10-02 - 2011-10-08,83
2011-10-09 - 2011-10-15,86
2011-10-16 - 2011-10-22,82
2011-10-23 - 2011-10-29,84
2011-10-30 - 2011-11-05,87
2011-11-06 - 2011-11-12,86
2011-11-13 - 2011-11-19,86
2011-11-20 - 2011-11-26,86
2011-11-27 - 2011-12-03,88
2011-12-04 - 2011-12-10,88
2011-12-11 - 2011-12-17,88
2011-12-18 - 2011-12-24,88
2011-12-25 - 2011-12-31,92
2012-01-01 - 2012-01-07,88
2012-01-08 - 2012-01-14,87
2012-01-15 - 2012-01-21,91
2012-01-22 - 2012-01-28,89
2012-01-29 - 2012-02-04,85
2012-02-05 - 2012-02-11,88
2012-02-12 - 2012-02-18,89
2012-02-19 - 2012-02-25,90
2012-02-26 - 2012-03-03,91
2012-03-04 - 2012-03-10,88
2012-03-11 - 2012-03-17,88
2012-03-18 - 2012-03-24,90
2012-03-25 - 2012-03-31,89
2012-04-01 - 2012-04-07,89
2012-04-08 - 2012-04-14,90
2012-04-15 - 2012-04-21,90
2012-04-22 - 2012-04-28,90
2012-04-29 - 2012-05-05,90
2012-05-06 - 2012-05-12,90
2012-05-13 - 2012-05-19,94
2012-05-20 - 2012-05-26,98
2012-05-27 - 2012-06-02,90
2012-06-03 - 2012-06-09,91
2012-06-10 - 2012-06-16,89
2012-06-17 - 2012-06-23,89
2012-06-24 - 2012-06-30,89
2012-07-01 - 2012-07-07,83
2012-07-08 - 2012-07-14,82
2012-07-15 - 2012-07-21,83
2012-07-22 - 2012-07-28,82
2012-07-29 - 2012-08-04,83
2012-08-05 - 2012-08-11,82
2012-08-12 - 2012-08-18,81
2012-08-19 - 2012-08-25,80
2012-08-26 - 2012-09-01,82
2012-09-02 - 2012-09-08,81
2012-09-09 - 2012-09-15,86
2012-09-16 - 2012-09-22,86
2012-09-23 - 2012-09-29,89
2012-09-30 - 2012-10-06,86
2012-10-07 - 2012-10-13,81
2012-10-14 - 2012-10-20,90
2012-10-21 - 2012-10-27,84
2012-10-28 - 2012-11-03,85
2012-11-04 - 2012-11-10,82
2012-11-11 - 2012-11-17,79
2012-11-18 - 2012-11-24,79
2012-11-25 - 2012-12-01,84
2012-12-02 - 2012-12-08,85
2012-12-09 - 2012-12-15,85
2012-12-16 - 2012-12-22,85
2012-12-23 - 2012-12-29,85
2012-12-30 - 2013-01-05,84
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,84
2013-01-20 - 2013-01-26,88
2013-01-27 - 2013-02-02,85
2013-02-03 - 2013-02-09,85
2013-02-10 - 2013-02-16,86
2013-02-17 - 2013-02-23,87
2013-02-24 - 2013-03-02,82
2013-03-03 - 2013-03-09,81
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,78
2013-03-24 - 2013-03-30,75
2013-03-31 - 2013-04-06,76
2013-04-07 - 2013-04-13,77
2013-04-14 - 2013-04-20,78
2013-04-21 - 2013-04-27,77
2013-04-28 - 2013-05-04,77
2013-05-05 - 2013-05-11,77
2013-05-12 - 2013-05-18,81
2013-05-19 - 2013-05-25,77
2013-05-26 - 2013-06-01,75
2013-06-02 - 2013-06-08,76
2013-06-09 - 2013-06-15,75
2013-06-16 - 2013-06-22,74
2013-06-23 - 2013-06-29,74
2013-06-30 - 2013-07-06,72
2013-07-07 - 2013-07-13,73
2013-07-14 - 2013-07-20,77
2013-07-21 - 2013-07-27,75
2013-07-28 - 2013-08-03,75
2013-08-04 - 2013-08-10,74
2013-08-11 - 2013-08-17,75
2013-08-18 - 2013-08-24,76
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,72
2013-09-08 - 2013-09-14,75
2013-09-15 - 2013-09-21,77
2013-09-22 - 2013-09-28,86
2013-09-29 - 2013-10-05,92
2013-10-06 - 2013-10-12,90
2013-10-13 - 2013-10-19,100
2013-10-20 - 2013-10-26,96
2013-10-27 - 2013-11-02,92
2013-11-03 - 2013-11-09,90
2013-11-10 - 2013-11-16,89
2013-11-17 - 2013-11-23,91
2013-11-24 - 2013-11-30,87
2013-12-01 - 2013-12-07,91
2013-12-08 - 2013-12-14,90
2013-12-15 - 2013-12-21,87
2013-12-22 - 2013-12-28,87
2013-12-29 - 2014-01-04,84
2014-01-05 - 2014-01-11,88
2014-01-12 - 2014-01-18,91
2014-01-19 - 2014-01-25,87
2014-01-26 - 2014-02-01,96
2014-02-02 - 2014-02-08,92
2014-02-09 - 2014-02-15,90
2014-02-16 - 2014-02-22,91
2014-02-23 - 2014-03-01,92
2014-03-02 - 2014-03-08,92
2014-03-09 - 2014-03-15,91
2014-03-16 - 2014-03-22,90
2014-03-23 - 2014-03-29,91
2014-03-30 - 2014-04-05,95
2014-04-06 - 2014-04-12,94
2014-04-13 - 2014-04-19,94
2014-04-20 - 2014-04-26,91
2014-04-27 - 2014-05-03,92
2014-05-04 - 2014-05-10,92
2014-05-11 - 2014-05-17,91
2014-05-18 - 2014-05-24,94
2014-05-25 - 2014-05-31,90
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,86
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,83
2014-06-29 - 2014-07-05,81
2014-07-06 - 2014-07-12,81
2014-07-13 - 2014-07-19,81
2014-07-20 - 2014-07-26,80
2014-07-27 - 2014-08-02,80
2014-08-03 - 2014-08-09,81
2014-08-10 - 2014-08-16,81
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,71
2014-08-31 - 2014-09-06,69
2014-09-07 - 2014-09-13,71
2014-09-14 - 2014-09-20,70
2014-09-21 - 2014-09-27,70
2014-09-28 - 2014-10-04,69
2014-10-05 - 2014-10-11,68
2014-10-12 - 2014-10-18,70
2014-10-19 - 2014-10-25,67
2014-10-26 - 2014-11-01,67
2014-11-02 - 2014-11-08,67
2014-11-09 - 2014-11-15,67
2014-11-16 - 2014-11-22,69
2014-11-23 - 2014-11-29,66
2014-11-30 - 2014-12-06,68
2014-12-07 - 2014-12-13,68
2014-12-14 - 2014-12-20,68
2014-12-21 - 2014-12-27,65
2014-12-28 - 2015-01-03,63
2015-01-04 - 2015-01-10,65
2015-01-11 - 2015-01-17,68
2015-01-18 - 2015-01-24,66
2015-01-25 - 2015-01-31,68
2015-02-01 - 2015-02-07,65
2015-02-08 - 2015-02-14,64
2015-02-15 - 2015-02-21,65
2015-02-22 - 2015-02-28,65
2015-03-01 - 2015-03-07,66
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,64
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,62
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,62
2015-04-19 - 2015-04-25,64
2015-04-26 - 2015-05-02,63
2015-05-03 - 2015-05-09,62
2015-05-10 - 2015-05-16,62
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,58
2015-05-31 - 2015-06-06,60
2015-06-07 - 2015-06-13,58
2015-06-14 - 2015-06-20,56
2015-06-21 - 2015-06-27,56
2015-06-28 - 2015-07-04,55
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,63
2015-07-19 - 2015-07-25,60
2015-07-26 - 2015-08-01,57
2015-08-02 - 2015-08-08,56
2015-08-09 - 2015-08-15,63
2015-08-16 - 2015-08-22,58
2015-08-23 - 2015-08-29,61
2015-08-30 - 2015-09-05,61
2015-09-06 - 2015-09-12,59
2015-09-13 - 2015-09-19,59
2015-09-20 - 2015-09-26,59
2015-09-27 - 2015-10-03,59
2015-10-04 - 2015-10-10,60
2015-10-11 - 2015-10-17,58
2015-10-18 - 2015-10-24,59
2015-10-25 - 2015-10-31,62
2015-11-01 - 2015-11-07,61
2015-11-08 - 2015-11-14,58
2015-11-15 - 2015-11-21,58
2015-11-22 - 2015-11-28,57
2015-11-29 - 2015-12-05,57
2015-12-06 - 2015-12-12,58
2015-12-13 - 2015-12-19,57
2015-12-20 - 2015-12-26,54
2015-12-27 - 2016-01-02,52
2016-01-03 - 2016-01-09,56
2016-01-10 - 2016-01-16,56
2016-01-17 - 2016-01-23,55
2016-01-24 - 2016-01-30,57
2016-01-31 - 2016-02-06,63
2016-02-07 - 2016-02-13,57
2016-02-14 - 2016-02-20,55
2016-02-21 - 2016-02-27,55
2016-02-28 - 2016-03-05,55
2016-03-06 - 2016-03-12,55
2016-03-13 - 2016-03-19,55
2016-03-20 - 2016-03-26,54
2016-03-27 - 2016-04-02,53
2016-04-03 - 2016-04-09,54
2016-04-10 - 2016-04-16,54
2016-04-17 - 2016-04-23,58
2016-04-24 - 2016-04-30,59


Top regions for goog
Region,goog
Philippines,100
Georgia,63
Azerbaijan,51
Pakistan,51
Lebanon,50
Turkey,46
Norway,45
Morocco,43
Estonia,43
Netherlands,38
Tunisia,37
Jordan,37
Vietnam,37
United Arab Emirates,36
Algeria,34
United States,34
Hungary,33
Denmark,33
India,32
Egypt,31
Singapore,29
Latvia,28
Australia,27
Finland,27
United Kingdom,26
Canada,26
Malaysia,26
Kuwait,25
New Zealand,25
Belgium,25
Lithuania,24
Ireland,23
Sweden,23
Thailand,23
Uruguay,22
South Africa,22
Indonesia,22
Dominican Republic,22
Iraq,22
Iran,22
Israel,21
Bulgaria,21
Czech Republic,20
Switzerland,20
Romania,20
Nigeria,19
Slovakia,19
Saudi Arabia,18
Serbia,17
Hong Kong,17
Austria,16
Poland,16
Ecuador,16
Colombia,15
Mexico,15
Brazil,15
Germany,14
Argentina,14
Portugal,13
Croatia,13
Chile,13
Venezuela,13
Peru,12
Greece,12
France,11
Italy,11
Spain,10
Taiwan,7
Ukraine,7
China,5
Russia,4
Japan,2


Top cities for goog
City,goog
Manila (Philippines),100
Quezon City (Philippines),74
Makati City (Philippines),70
Istanbul (Turkey),40
Ho Chi Minh City (Vietnam),38
San Francisco (United States),36
Izmir (Turkey),33
Bangalore (India),33
Ankara (Turkey),33
New York (United States),32
Sydney (Australia),26
Singapore (Singapore),26
Toronto (Canada),25
Mumbai (India),25
Los Angeles (United States),25



Top searches for goog
goog stock,100
aapl,100
goog maps,95
translate goog,85
goog le,60
goog video,55
goog map,45
el goog,40
goog chrome,35
goog news,35
goog play,30
msft,25
goog earth,25
goog drive,20
goog finance,20
traductor goog,20
goog dich,20
amzn,15
goog morning,15
aapl stock,15
www goog,15
goog quote,15
goog docs,10
goog tradutor,10
goog guys,10



Rising searches for goog
translate goog,+2,650%
goog maps,+1,200%
aapl,+750%
goog le,+120%
goog video,+60%



