Web Search interest: dgx
Worldwide 2004 - present

Interest over time
Week,dgx
2007-04-15 - 2007-04-21,50
2007-04-22 - 2007-04-28,45
2007-04-29 - 2007-05-05,55
2007-05-06 - 2007-05-12,60
2007-05-13 - 2007-05-19,50
2007-05-20 - 2007-05-26,55
2007-05-27 - 2007-06-02,51
2007-06-03 - 2007-06-09,52
2007-06-10 - 2007-06-16,42
2007-06-17 - 2007-06-23,48
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,65
2007-07-08 - 2007-07-14,63
2007-07-15 - 2007-07-21,56
2007-07-22 - 2007-07-28,60
2007-07-29 - 2007-08-04,53
2007-08-05 - 2007-08-11,57
2007-08-12 - 2007-08-18,51
2007-08-19 - 2007-08-25,57
2007-08-26 - 2007-09-01,46
2007-09-02 - 2007-09-08,50
2007-09-09 - 2007-09-15,52
2007-09-16 - 2007-09-22,48
2007-09-23 - 2007-09-29,56
2007-09-30 - 2007-10-06,45
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,55
2007-10-21 - 2007-10-27,44
2007-10-28 - 2007-11-03,51
2007-11-04 - 2007-11-10,68
2007-11-11 - 2007-11-17,57
2007-11-18 - 2007-11-24,52
2007-11-25 - 2007-12-01,64
2007-12-02 - 2007-12-08,60
2007-12-09 - 2007-12-15,75
2007-12-16 - 2007-12-22,77
2007-12-23 - 2007-12-29,76
2007-12-30 - 2008-01-05,63
2008-01-06 - 2008-01-12,60
2008-01-13 - 2008-01-19,53
2008-01-20 - 2008-01-26,46
2008-01-27 - 2008-02-02,50
2008-02-03 - 2008-02-09,48
2008-02-10 - 2008-02-16,57
2008-02-17 - 2008-02-23,59
2008-02-24 - 2008-03-01,54
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,53
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,52
2008-03-30 - 2008-04-05,50
2008-04-06 - 2008-04-12,44
2008-04-13 - 2008-04-19,53
2008-04-20 - 2008-04-26,48
2008-04-27 - 2008-05-03,40
2008-05-04 - 2008-05-10,45
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,49
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,49
2008-06-08 - 2008-06-14,46
2008-06-15 - 2008-06-21,49
2008-06-22 - 2008-06-28,51
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,47
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,48
2008-07-27 - 2008-08-02,45
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,54
2008-08-17 - 2008-08-23,49
2008-08-24 - 2008-08-30,53
2008-08-31 - 2008-09-06,54
2008-09-07 - 2008-09-13,55
2008-09-14 - 2008-09-20,54
2008-09-21 - 2008-09-27,46
2008-09-28 - 2008-10-04,53
2008-10-05 - 2008-10-11,49
2008-10-12 - 2008-10-18,55
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,51
2008-11-02 - 2008-11-08,60
2008-11-09 - 2008-11-15,55
2008-11-16 - 2008-11-22,60
2008-11-23 - 2008-11-29,68
2008-11-30 - 2008-12-06,70
2008-12-07 - 2008-12-13,67
2008-12-14 - 2008-12-20,64
2008-12-21 - 2008-12-27,75
2008-12-28 - 2009-01-03,61
2009-01-04 - 2009-01-10,58
2009-01-11 - 2009-01-17,53
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,63
2009-02-01 - 2009-02-07,55
2009-02-08 - 2009-02-14,47
2009-02-15 - 2009-02-21,56
2009-02-22 - 2009-02-28,51
2009-03-01 - 2009-03-07,50
2009-03-08 - 2009-03-14,43
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,47
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,47
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,42
2009-05-03 - 2009-05-09,41
2009-05-10 - 2009-05-16,51
2009-05-17 - 2009-05-23,44
2009-05-24 - 2009-05-30,47
2009-05-31 - 2009-06-06,45
2009-06-07 - 2009-06-13,42
2009-06-14 - 2009-06-20,41
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,45
2009-07-26 - 2009-08-01,49
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,47
2009-08-16 - 2009-08-22,47
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,53
2009-09-06 - 2009-09-12,50
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,44
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,44
2009-10-18 - 2009-10-24,47
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,61
2009-11-15 - 2009-11-21,54
2009-11-22 - 2009-11-28,58
2009-11-29 - 2009-12-05,62
2009-12-06 - 2009-12-12,59
2009-12-13 - 2009-12-19,63
2009-12-20 - 2009-12-26,61
2009-12-27 - 2010-01-02,53
2010-01-03 - 2010-01-09,48
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,51
2010-01-31 - 2010-02-06,52
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,45
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,46
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,48
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,46
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,47
2010-04-18 - 2010-04-24,46
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,50
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,47
2010-05-23 - 2010-05-29,42
2010-05-30 - 2010-06-05,48
2010-06-06 - 2010-06-12,44
2010-06-13 - 2010-06-19,43
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,43
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,50
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,47
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,50
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,46
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,44
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,48
2011-01-02 - 2011-01-08,54
2011-01-09 - 2011-01-15,47
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,47
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,41
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,46
2011-03-27 - 2011-04-02,42
2011-04-03 - 2011-04-09,41
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,39
2011-05-22 - 2011-05-28,38
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,41
2011-06-12 - 2011-06-18,38
2011-06-19 - 2011-06-25,44
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,43
2011-07-31 - 2011-08-06,41
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,36
2011-08-21 - 2011-08-27,36
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,40
2011-09-11 - 2011-09-17,40
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,35
2011-10-02 - 2011-10-08,38
2011-10-09 - 2011-10-15,37
2011-10-16 - 2011-10-22,36
2011-10-23 - 2011-10-29,40
2011-10-30 - 2011-11-05,38
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,42
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,42
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,41
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,37
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,39
2012-04-15 - 2012-04-21,39
2012-04-22 - 2012-04-28,39
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,44
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,45
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,45
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,46
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,48
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,55
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,58
2012-12-16 - 2012-12-22,69
2012-12-23 - 2012-12-29,72
2012-12-30 - 2013-01-05,66
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,68
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,58
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,50
2013-03-17 - 2013-03-23,46
2013-03-24 - 2013-03-30,53
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,49
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,47
2013-04-28 - 2013-05-04,47
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,42
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,47
2013-09-15 - 2013-09-21,47
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,48
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,52
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,50
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,57
2013-12-15 - 2013-12-21,60
2013-12-22 - 2013-12-28,54
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,50
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,47
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,40
2014-04-27 - 2014-05-03,46
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,43
2014-05-18 - 2014-05-24,40
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,40
2014-06-08 - 2014-06-14,42
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,43
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,43
2014-07-20 - 2014-07-26,42
2014-07-27 - 2014-08-02,43
2014-08-03 - 2014-08-09,46
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,43
2014-08-24 - 2014-08-30,44
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,40
2014-09-14 - 2014-09-20,42
2014-09-21 - 2014-09-27,42
2014-09-28 - 2014-10-04,45
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,48
2014-10-19 - 2014-10-25,43
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,43
2014-11-09 - 2014-11-15,42
2014-11-16 - 2014-11-22,49
2014-11-23 - 2014-11-29,51
2014-11-30 - 2014-12-06,57
2014-12-07 - 2014-12-13,51
2014-12-14 - 2014-12-20,52
2014-12-21 - 2014-12-27,55
2014-12-28 - 2015-01-03,45
2015-01-04 - 2015-01-10,50
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,49
2015-02-01 - 2015-02-07,42
2015-02-08 - 2015-02-14,38
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,40
2015-03-01 - 2015-03-07,42
2015-03-08 - 2015-03-14,41
2015-03-15 - 2015-03-21,38
2015-03-22 - 2015-03-28,39
2015-03-29 - 2015-04-04,40
2015-04-05 - 2015-04-11,42
2015-04-12 - 2015-04-18,38
2015-04-19 - 2015-04-25,36
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,38
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,37
2015-06-14 - 2015-06-20,39
2015-06-21 - 2015-06-27,34
2015-06-28 - 2015-07-04,39
2015-07-05 - 2015-07-11,39
2015-07-12 - 2015-07-18,38
2015-07-19 - 2015-07-25,37
2015-07-26 - 2015-08-01,42
2015-08-02 - 2015-08-08,45
2015-08-09 - 2015-08-15,40
2015-08-16 - 2015-08-22,41
2015-08-23 - 2015-08-29,40
2015-08-30 - 2015-09-05,42
2015-09-06 - 2015-09-12,41
2015-09-13 - 2015-09-19,39
2015-09-20 - 2015-09-26,39
2015-09-27 - 2015-10-03,42
2015-10-04 - 2015-10-10,38
2015-10-11 - 2015-10-17,38
2015-10-18 - 2015-10-24,41
2015-10-25 - 2015-10-31,36
2015-11-01 - 2015-11-07,38
2015-11-08 - 2015-11-14,42
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,48
2015-11-29 - 2015-12-05,44
2015-12-06 - 2015-12-12,47
2015-12-13 - 2015-12-19,48
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,42
2016-01-10 - 2016-01-16,40
2016-01-17 - 2016-01-23,38
2016-01-24 - 2016-01-30,47
2016-01-31 - 2016-02-06,41
2016-02-07 - 2016-02-13,41
2016-02-14 - 2016-02-20,41
2016-02-21 - 2016-02-27,39
2016-02-28 - 2016-03-05,39
2016-03-06 - 2016-03-12,39
2016-03-13 - 2016-03-19,36
2016-03-20 - 2016-03-26,38
2016-03-27 - 2016-04-02,37
2016-04-03 - 2016-04-09,40
2016-04-10 - 2016-04-16,43
2016-04-17 - 2016-04-23,37
2016-04-24 - 2016-04-30,45


Top regions for dgx
Region,dgx
Czech Republic,100
Hungary,90
Thailand,88
Germany,46
Sweden,43
Indonesia,41
Canada,40
Chile,40
Netherlands,39
Italy,38
Poland,38
Brazil,38
United States,37
United Kingdom,37
Ukraine,37
Russia,35
France,34
Australia,34
Argentina,32
Colombia,29
Vietnam,21
Spain,21
Mexico,20
Japan,14
India,13


Top cities for dgx
City,dgx
Prague (Czech Republic),100
Budapest (Hungary),93
Bangkok (Thailand),81
Singapore (Singapore),67
Moscow (Russia),47
São Paulo (Brazil),44
Los Angeles (United States),43
Jakarta (Indonesia),41
Amsterdam (Netherlands),39
Frankfurt (Germany),39
Toronto (Canada),39
Santiago (Chile),38
Berlin (Germany),38
Rome (Italy),38
Buenos Aires (Argentina),33



Top searches for dgx
xonar dgx,100
xonar,100
dgx 640,90
asus dgx,80
dgx 650,80
yamaha 640,70
dgx 640 yamaha,70
asus xonar dgx,70
asus xonar,70
piano yamaha,70
yamaha dgx 650,60
dgx 630,60
yamaha 650,60
dgx 620,60
yamaha keyboard,55
dgx 230,50
kenko,50
yamaha dgx 630,45
yamaha 620,45
dgx 505,40
dgx 220,30
dgx 305,30
dgx 500,30
dgx 530,30
vy9ikc dgx ujpo,30
yamaha dgx 220,25
yamaha dgx 305,25
yamaha dgx 500,25
yamaha portable grand,25
dgx 520,25
yamaha dgx 530,25
yamaha digital piano,20
yamaha dgx 520,20
yamaha dgx 300,20
teclado yamaha,20
yamaha dgx 200,15
yamaha keyboards,15



Rising searches for dgx
asus dgx,Breakout
asus xonar,Breakout
asus xonar dgx,Breakout
dgx 640,Breakout
dgx 640 yamaha,Breakout
dgx 650,Breakout
xonar,Breakout
xonar dgx,Breakout
yamaha 640,Breakout
piano yamaha,+160%



