Web Search interest: navi
Worldwide 2004 - present

Interest over time
Week,navi
2005-11-13 - 2005-11-19,48
2005-11-20 - 2005-11-26,45
2005-11-27 - 2005-12-03,44
2005-12-04 - 2005-12-10,46
2005-12-11 - 2005-12-17,48
2005-12-18 - 2005-12-24,50
2005-12-25 - 2005-12-31,51
2006-01-01 - 2006-01-07,51
2006-01-08 - 2006-01-14,46
2006-01-15 - 2006-01-21,47
2006-01-22 - 2006-01-28,45
2006-01-29 - 2006-02-04,48
2006-02-05 - 2006-02-11,48
2006-02-12 - 2006-02-18,48
2006-02-19 - 2006-02-25,48
2006-02-26 - 2006-03-04,51
2006-03-05 - 2006-03-11,52
2006-03-12 - 2006-03-18,58
2006-03-19 - 2006-03-25,54
2006-03-26 - 2006-04-01,51
2006-04-02 - 2006-04-08,52
2006-04-09 - 2006-04-15,56
2006-04-16 - 2006-04-22,56
2006-04-23 - 2006-04-29,57
2006-04-30 - 2006-05-06,59
2006-05-07 - 2006-05-13,55
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,61
2006-05-28 - 2006-06-03,64
2006-06-04 - 2006-06-10,62
2006-06-11 - 2006-06-17,63
2006-06-18 - 2006-06-24,66
2006-06-25 - 2006-07-01,66
2006-07-02 - 2006-07-08,64
2006-07-09 - 2006-07-15,64
2006-07-16 - 2006-07-22,69
2006-07-23 - 2006-07-29,66
2006-07-30 - 2006-08-05,71
2006-08-06 - 2006-08-12,64
2006-08-13 - 2006-08-19,59
2006-08-20 - 2006-08-26,59
2006-08-27 - 2006-09-02,58
2006-09-03 - 2006-09-09,55
2006-09-10 - 2006-09-16,53
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,49
2006-10-01 - 2006-10-07,49
2006-10-08 - 2006-10-14,47
2006-10-15 - 2006-10-21,50
2006-10-22 - 2006-10-28,55
2006-10-29 - 2006-11-04,56
2006-11-05 - 2006-11-11,50
2006-11-12 - 2006-11-18,51
2006-11-19 - 2006-11-25,55
2006-11-26 - 2006-12-02,55
2006-12-03 - 2006-12-09,55
2006-12-10 - 2006-12-16,56
2006-12-17 - 2006-12-23,57
2006-12-24 - 2006-12-30,62
2006-12-31 - 2007-01-06,53
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,53
2007-01-21 - 2007-01-27,49
2007-01-28 - 2007-02-03,51
2007-02-04 - 2007-02-10,52
2007-02-11 - 2007-02-17,51
2007-02-18 - 2007-02-24,53
2007-02-25 - 2007-03-03,56
2007-03-04 - 2007-03-10,54
2007-03-11 - 2007-03-17,55
2007-03-18 - 2007-03-24,60
2007-03-25 - 2007-03-31,60
2007-04-01 - 2007-04-07,60
2007-04-08 - 2007-04-14,56
2007-04-15 - 2007-04-21,57
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,64
2007-05-06 - 2007-05-12,65
2007-05-13 - 2007-05-19,62
2007-05-20 - 2007-05-26,63
2007-05-27 - 2007-06-02,66
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,69
2007-06-17 - 2007-06-23,74
2007-06-24 - 2007-06-30,76
2007-07-01 - 2007-07-07,82
2007-07-08 - 2007-07-14,75
2007-07-15 - 2007-07-21,71
2007-07-22 - 2007-07-28,77
2007-07-29 - 2007-08-04,76
2007-08-05 - 2007-08-11,73
2007-08-12 - 2007-08-18,67
2007-08-19 - 2007-08-25,63
2007-08-26 - 2007-09-01,64
2007-09-02 - 2007-09-08,65
2007-09-09 - 2007-09-15,62
2007-09-16 - 2007-09-22,60
2007-09-23 - 2007-09-29,59
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,58
2007-10-14 - 2007-10-20,58
2007-10-21 - 2007-10-27,57
2007-10-28 - 2007-11-03,63
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,71
2007-11-25 - 2007-12-01,69
2007-12-02 - 2007-12-08,74
2007-12-09 - 2007-12-15,69
2007-12-16 - 2007-12-22,68
2007-12-23 - 2007-12-29,74
2007-12-30 - 2008-01-05,67
2008-01-06 - 2008-01-12,64
2008-01-13 - 2008-01-19,62
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,65
2008-02-03 - 2008-02-09,67
2008-02-10 - 2008-02-16,65
2008-02-17 - 2008-02-23,64
2008-02-24 - 2008-03-01,66
2008-03-02 - 2008-03-08,69
2008-03-09 - 2008-03-15,71
2008-03-16 - 2008-03-22,75
2008-03-23 - 2008-03-29,70
2008-03-30 - 2008-04-05,69
2008-04-06 - 2008-04-12,72
2008-04-13 - 2008-04-19,68
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,73
2008-05-04 - 2008-05-10,70
2008-05-11 - 2008-05-17,70
2008-05-18 - 2008-05-24,72
2008-05-25 - 2008-05-31,74
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,76
2008-06-15 - 2008-06-21,78
2008-06-22 - 2008-06-28,85
2008-06-29 - 2008-07-05,85
2008-07-06 - 2008-07-12,87
2008-07-13 - 2008-07-19,85
2008-07-20 - 2008-07-26,82
2008-07-27 - 2008-08-02,81
2008-08-03 - 2008-08-09,81
2008-08-10 - 2008-08-16,72
2008-08-17 - 2008-08-23,73
2008-08-24 - 2008-08-30,73
2008-08-31 - 2008-09-06,69
2008-09-07 - 2008-09-13,66
2008-09-14 - 2008-09-20,66
2008-09-21 - 2008-09-27,64
2008-09-28 - 2008-10-04,66
2008-10-05 - 2008-10-11,61
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,64
2008-10-26 - 2008-11-01,64
2008-11-02 - 2008-11-08,66
2008-11-09 - 2008-11-15,64
2008-11-16 - 2008-11-22,66
2008-11-23 - 2008-11-29,68
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,71
2008-12-14 - 2008-12-20,68
2008-12-21 - 2008-12-27,77
2008-12-28 - 2009-01-03,73
2009-01-04 - 2009-01-10,67
2009-01-11 - 2009-01-17,64
2009-01-18 - 2009-01-24,67
2009-01-25 - 2009-01-31,70
2009-02-01 - 2009-02-07,67
2009-02-08 - 2009-02-14,67
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,70
2009-03-01 - 2009-03-07,71
2009-03-08 - 2009-03-14,71
2009-03-15 - 2009-03-21,73
2009-03-22 - 2009-03-28,73
2009-03-29 - 2009-04-04,72
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,74
2009-04-19 - 2009-04-25,75
2009-04-26 - 2009-05-02,74
2009-05-03 - 2009-05-09,77
2009-05-10 - 2009-05-16,76
2009-05-17 - 2009-05-23,80
2009-05-24 - 2009-05-30,80
2009-05-31 - 2009-06-06,83
2009-06-07 - 2009-06-13,86
2009-06-14 - 2009-06-20,85
2009-06-21 - 2009-06-27,88
2009-06-28 - 2009-07-04,87
2009-07-05 - 2009-07-11,93
2009-07-12 - 2009-07-18,90
2009-07-19 - 2009-07-25,87
2009-07-26 - 2009-08-01,90
2009-08-02 - 2009-08-08,90
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,80
2009-08-23 - 2009-08-29,77
2009-08-30 - 2009-09-05,73
2009-09-06 - 2009-09-12,72
2009-09-13 - 2009-09-19,70
2009-09-20 - 2009-09-26,68
2009-09-27 - 2009-10-03,65
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,64
2009-10-25 - 2009-10-31,68
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,65
2009-11-22 - 2009-11-28,68
2009-11-29 - 2009-12-05,67
2009-12-06 - 2009-12-12,68
2009-12-13 - 2009-12-19,69
2009-12-20 - 2009-12-26,83
2009-12-27 - 2010-01-02,83
2010-01-03 - 2010-01-09,79
2010-01-10 - 2010-01-16,75
2010-01-17 - 2010-01-23,78
2010-01-24 - 2010-01-30,77
2010-01-31 - 2010-02-06,77
2010-02-07 - 2010-02-13,75
2010-02-14 - 2010-02-20,77
2010-02-21 - 2010-02-27,75
2010-02-28 - 2010-03-06,79
2010-03-07 - 2010-03-13,80
2010-03-14 - 2010-03-20,73
2010-03-21 - 2010-03-27,72
2010-03-28 - 2010-04-03,72
2010-04-04 - 2010-04-10,73
2010-04-11 - 2010-04-17,74
2010-04-18 - 2010-04-24,75
2010-04-25 - 2010-05-01,79
2010-05-02 - 2010-05-08,79
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,75
2010-05-23 - 2010-05-29,79
2010-05-30 - 2010-06-05,84
2010-06-06 - 2010-06-12,79
2010-06-13 - 2010-06-19,78
2010-06-20 - 2010-06-26,82
2010-06-27 - 2010-07-03,79
2010-07-04 - 2010-07-10,81
2010-07-11 - 2010-07-17,81
2010-07-18 - 2010-07-24,82
2010-07-25 - 2010-07-31,82
2010-08-01 - 2010-08-07,86
2010-08-08 - 2010-08-14,81
2010-08-15 - 2010-08-21,76
2010-08-22 - 2010-08-28,75
2010-08-29 - 2010-09-04,74
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,66
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,68
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,69
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,66
2010-12-19 - 2010-12-25,66
2010-12-26 - 2011-01-01,66
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,67
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,64
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,62
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,64
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,66
2011-05-22 - 2011-05-28,68
2011-05-29 - 2011-06-04,71
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,73
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,66
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,54
2011-11-20 - 2011-11-26,58
2011-11-27 - 2011-12-03,57
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,57
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,77
2012-01-22 - 2012-01-28,63
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,57
2012-03-11 - 2012-03-17,57
2012-03-18 - 2012-03-24,57
2012-03-25 - 2012-03-31,58
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,61
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,62
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,65
2012-07-01 - 2012-07-07,66
2012-07-08 - 2012-07-14,68
2012-07-15 - 2012-07-21,68
2012-07-22 - 2012-07-28,67
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,65
2012-08-12 - 2012-08-18,62
2012-08-19 - 2012-08-25,63
2012-08-26 - 2012-09-01,65
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,59
2012-09-16 - 2012-09-22,56
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,54
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,51
2012-11-18 - 2012-11-24,56
2012-11-25 - 2012-12-01,55
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,58
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,62
2012-12-30 - 2013-01-05,56
2013-01-06 - 2013-01-12,58
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,56
2013-02-17 - 2013-02-23,58
2013-02-24 - 2013-03-02,60
2013-03-03 - 2013-03-09,57
2013-03-10 - 2013-03-16,58
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,60
2013-04-07 - 2013-04-13,57
2013-04-14 - 2013-04-20,56
2013-04-21 - 2013-04-27,60
2013-04-28 - 2013-05-04,59
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,61
2013-05-26 - 2013-06-01,63
2013-06-02 - 2013-06-08,61
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,63
2013-06-23 - 2013-06-29,66
2013-06-30 - 2013-07-06,67
2013-07-07 - 2013-07-13,69
2013-07-14 - 2013-07-20,68
2013-07-21 - 2013-07-27,69
2013-07-28 - 2013-08-03,69
2013-08-04 - 2013-08-10,80
2013-08-11 - 2013-08-17,90
2013-08-18 - 2013-08-24,67
2013-08-25 - 2013-08-31,69
2013-09-01 - 2013-09-07,67
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,56
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,59
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,57
2013-11-17 - 2013-11-23,56
2013-11-24 - 2013-11-30,59
2013-12-01 - 2013-12-07,57
2013-12-08 - 2013-12-14,57
2013-12-15 - 2013-12-21,56
2013-12-22 - 2013-12-28,61
2013-12-29 - 2014-01-04,58
2014-01-05 - 2014-01-11,58
2014-01-12 - 2014-01-18,58
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,55
2014-02-23 - 2014-03-01,57
2014-03-02 - 2014-03-08,58
2014-03-09 - 2014-03-15,59
2014-03-16 - 2014-03-22,59
2014-03-23 - 2014-03-29,63
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,62
2014-04-13 - 2014-04-19,65
2014-04-20 - 2014-04-26,62
2014-04-27 - 2014-05-03,62
2014-05-04 - 2014-05-10,63
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,69
2014-06-08 - 2014-06-14,64
2014-06-15 - 2014-06-21,66
2014-06-22 - 2014-06-28,66
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,74
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,78
2014-07-27 - 2014-08-02,75
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,67
2014-08-17 - 2014-08-23,70
2014-08-24 - 2014-08-30,71
2014-08-31 - 2014-09-06,63
2014-09-07 - 2014-09-13,60
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,59
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,58
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,57
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,57
2014-12-07 - 2014-12-13,59
2014-12-14 - 2014-12-20,57
2014-12-21 - 2014-12-27,62
2014-12-28 - 2015-01-03,60
2015-01-04 - 2015-01-10,56
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,58
2015-01-25 - 2015-01-31,61
2015-02-01 - 2015-02-07,57
2015-02-08 - 2015-02-14,56
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,58
2015-03-01 - 2015-03-07,59
2015-03-08 - 2015-03-14,62
2015-03-15 - 2015-03-21,58
2015-03-22 - 2015-03-28,64
2015-03-29 - 2015-04-04,60
2015-04-05 - 2015-04-11,65
2015-04-12 - 2015-04-18,62
2015-04-19 - 2015-04-25,67
2015-04-26 - 2015-05-02,61
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,61
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,66
2015-05-31 - 2015-06-06,69
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,71
2015-06-21 - 2015-06-27,66
2015-06-28 - 2015-07-04,66
2015-07-05 - 2015-07-11,64
2015-07-12 - 2015-07-18,70
2015-07-19 - 2015-07-25,66
2015-07-26 - 2015-08-01,72
2015-08-02 - 2015-08-08,70
2015-08-09 - 2015-08-15,64
2015-08-16 - 2015-08-22,66
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,59
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,52
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,51
2015-10-04 - 2015-10-10,54
2015-10-11 - 2015-10-17,62
2015-10-18 - 2015-10-24,63
2015-10-25 - 2015-10-31,57
2015-11-01 - 2015-11-07,58
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,52
2015-11-22 - 2015-11-28,55
2015-11-29 - 2015-12-05,59
2015-12-06 - 2015-12-12,56
2015-12-13 - 2015-12-19,56
2015-12-20 - 2015-12-26,58
2015-12-27 - 2016-01-02,59
2016-01-03 - 2016-01-09,56
2016-01-10 - 2016-01-16,58
2016-01-17 - 2016-01-23,57
2016-01-24 - 2016-01-30,58
2016-01-31 - 2016-02-06,100
2016-02-07 - 2016-02-13,70
2016-02-14 - 2016-02-20,59
2016-02-21 - 2016-02-27,58
2016-02-28 - 2016-03-05,58
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,57
2016-03-20 - 2016-03-26,60
2016-03-27 - 2016-04-02,66
2016-04-03 - 2016-04-09,65
2016-04-10 - 2016-04-16,64
2016-04-17 - 2016-04-23,69
2016-04-24 - 2016-04-30,73


Top regions for navi
Region,navi
Germany,100
India,96
Italy,84
Austria,77
Japan,50
Switzerland,37
Estonia,36
Belarus,26
Ukraine,26
Russia,19
Kazakhstan,18
Poland,17
Philippines,17
Hungary,17
Singapore,17
Bolivia,16
Lithuania,14
Finland,14
Hong Kong,13
Czech Republic,13
Bulgaria,12
Slovakia,12
United Arab Emirates,12
Norway,12
Netherlands,10
Denmark,10
Malaysia,10
Romania,10
Croatia,9
Indonesia,9
Greece,9
Morocco,9
Peru,8
Sweden,8
Belgium,8
South Korea,7
Pakistan,7
Thailand,7
Canada,7
Spain,7
United Kingdom,7
Iran,6
Taiwan,6
Vietnam,6
Portugal,5
Ireland,5
Australia,5
Israel,5
United States,5
France,5
Brazil,4
Chile,3
Mexico,3
Turkey,3
Argentina,3
China,3


Top cities for navi
City,navi
Mumbai (India),100
Palermo (Italy),31
Essen (Germany),27
Dortmund (Germany),26
Nuremberg (Germany),24
Dusseldorf (Germany),23
Turin (Italy),23
Stuttgart (Germany),23
Hanover (Germany),23
Cologne (Germany),22
Munich (Germany),22
Hamburg (Germany),21
Pune (India),21
Milan (Italy),20
Berlin (Germany),19



Top searches for navi
navi mumbai,100
navi veloci,25
grandi navi,25
grandi navi veloci,20
e navi,20
navigation,15
test navi,15
navi x,15
楽天 navi,15
tomtom navi,15
tomtom,15
楽天 e navi,10
becker,10
becker navi,10
garmin navi,10
google navi,10
navi dota,10
honda navi,5
medion,5
medion navi,5
navi app,5
vw navi,5
navi dota 2,5
navigon,5
falk,5
navi sardegna,5
falk navi,5
youtube navi,5
navi da crociera,5
tom tom navi,5
navi rawat,5
code navi,5
grimaldi,5
grimaldi navi,5
navi forum,5
avatar navi,5
navi time,5
tirrenia,5
motorrad navi,5
nokia 5230,5
nokia 5230 navi,5
fahrrad navi,5
blaupunkt navi,5
navigationsgeräte,0
navi cis,0
garmin nüvi,0
navi zelda,0
navi mumbai airport,0
navi mumbai map,0
sports navi,0



Rising searches for navi
楽天 e navi,Breakout
楽天 navi,+4,250%
google navi,+1,950%
garmin navi,+1,100%
navi x,+300%
e navi,+190%
navi mumbai,+180%
tomtom,+130%
tomtom navi,+120%
test navi,+110%



