Web Search interest: emr
Worldwide 2004 - present

Interest over time
Week,emr
2008-06-01 - 2008-06-07,66
2008-06-08 - 2008-06-14,73
2008-06-15 - 2008-06-21,71
2008-06-22 - 2008-06-28,77
2008-06-29 - 2008-07-05,71
2008-07-06 - 2008-07-12,70
2008-07-13 - 2008-07-19,76
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,75
2008-08-03 - 2008-08-09,67
2008-08-10 - 2008-08-16,80
2008-08-17 - 2008-08-23,74
2008-08-24 - 2008-08-30,74
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,72
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,70
2008-09-28 - 2008-10-04,75
2008-10-05 - 2008-10-11,75
2008-10-12 - 2008-10-18,76
2008-10-19 - 2008-10-25,74
2008-10-26 - 2008-11-01,74
2008-11-02 - 2008-11-08,69
2008-11-09 - 2008-11-15,81
2008-11-16 - 2008-11-22,74
2008-11-23 - 2008-11-29,61
2008-11-30 - 2008-12-06,67
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,63
2008-12-21 - 2008-12-27,45
2008-12-28 - 2009-01-03,48
2009-01-04 - 2009-01-10,74
2009-01-11 - 2009-01-17,72
2009-01-18 - 2009-01-24,72
2009-01-25 - 2009-01-31,74
2009-02-01 - 2009-02-07,74
2009-02-08 - 2009-02-14,80
2009-02-15 - 2009-02-21,90
2009-02-22 - 2009-02-28,83
2009-03-01 - 2009-03-07,85
2009-03-08 - 2009-03-14,91
2009-03-15 - 2009-03-21,87
2009-03-22 - 2009-03-28,90
2009-03-29 - 2009-04-04,86
2009-04-05 - 2009-04-11,88
2009-04-12 - 2009-04-18,84
2009-04-19 - 2009-04-25,84
2009-04-26 - 2009-05-02,87
2009-05-03 - 2009-05-09,82
2009-05-10 - 2009-05-16,79
2009-05-17 - 2009-05-23,72
2009-05-24 - 2009-05-30,76
2009-05-31 - 2009-06-06,79
2009-06-07 - 2009-06-13,78
2009-06-14 - 2009-06-20,83
2009-06-21 - 2009-06-27,78
2009-06-28 - 2009-07-04,73
2009-07-05 - 2009-07-11,78
2009-07-12 - 2009-07-18,83
2009-07-19 - 2009-07-25,80
2009-07-26 - 2009-08-01,72
2009-08-02 - 2009-08-08,85
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,81
2009-08-23 - 2009-08-29,79
2009-08-30 - 2009-09-05,73
2009-09-06 - 2009-09-12,75
2009-09-13 - 2009-09-19,79
2009-09-20 - 2009-09-26,86
2009-09-27 - 2009-10-03,83
2009-10-04 - 2009-10-10,81
2009-10-11 - 2009-10-17,78
2009-10-18 - 2009-10-24,81
2009-10-25 - 2009-10-31,79
2009-11-01 - 2009-11-07,77
2009-11-08 - 2009-11-14,80
2009-11-15 - 2009-11-21,77
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,78
2009-12-06 - 2009-12-12,78
2009-12-13 - 2009-12-19,73
2009-12-20 - 2009-12-26,55
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,73
2010-01-10 - 2010-01-16,77
2010-01-17 - 2010-01-23,83
2010-01-24 - 2010-01-30,89
2010-01-31 - 2010-02-06,85
2010-02-07 - 2010-02-13,84
2010-02-14 - 2010-02-20,82
2010-02-21 - 2010-02-27,83
2010-02-28 - 2010-03-06,83
2010-03-07 - 2010-03-13,90
2010-03-14 - 2010-03-20,90
2010-03-21 - 2010-03-27,80
2010-03-28 - 2010-04-03,76
2010-04-04 - 2010-04-10,83
2010-04-11 - 2010-04-17,80
2010-04-18 - 2010-04-24,88
2010-04-25 - 2010-05-01,85
2010-05-02 - 2010-05-08,83
2010-05-09 - 2010-05-15,85
2010-05-16 - 2010-05-22,79
2010-05-23 - 2010-05-29,78
2010-05-30 - 2010-06-05,75
2010-06-06 - 2010-06-12,84
2010-06-13 - 2010-06-19,82
2010-06-20 - 2010-06-26,77
2010-06-27 - 2010-07-03,73
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,81
2010-07-18 - 2010-07-24,88
2010-07-25 - 2010-07-31,78
2010-08-01 - 2010-08-07,78
2010-08-08 - 2010-08-14,77
2010-08-15 - 2010-08-21,80
2010-08-22 - 2010-08-28,76
2010-08-29 - 2010-09-04,76
2010-09-05 - 2010-09-11,72
2010-09-12 - 2010-09-18,78
2010-09-19 - 2010-09-25,83
2010-09-26 - 2010-10-02,79
2010-10-03 - 2010-10-09,85
2010-10-10 - 2010-10-16,84
2010-10-17 - 2010-10-23,86
2010-10-24 - 2010-10-30,82
2010-10-31 - 2010-11-06,84
2010-11-07 - 2010-11-13,81
2010-11-14 - 2010-11-20,81
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,77
2010-12-05 - 2010-12-11,80
2010-12-12 - 2010-12-18,74
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,75
2011-01-09 - 2011-01-15,81
2011-01-16 - 2011-01-22,79
2011-01-23 - 2011-01-29,88
2011-01-30 - 2011-02-05,81
2011-02-06 - 2011-02-12,84
2011-02-13 - 2011-02-19,85
2011-02-20 - 2011-02-26,80
2011-02-27 - 2011-03-05,85
2011-03-06 - 2011-03-12,87
2011-03-13 - 2011-03-19,79
2011-03-20 - 2011-03-26,85
2011-03-27 - 2011-04-02,78
2011-04-03 - 2011-04-09,81
2011-04-10 - 2011-04-16,83
2011-04-17 - 2011-04-23,85
2011-04-24 - 2011-04-30,78
2011-05-01 - 2011-05-07,77
2011-05-08 - 2011-05-14,80
2011-05-15 - 2011-05-21,78
2011-05-22 - 2011-05-28,74
2011-05-29 - 2011-06-04,75
2011-06-05 - 2011-06-11,75
2011-06-12 - 2011-06-18,78
2011-06-19 - 2011-06-25,80
2011-06-26 - 2011-07-02,74
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,79
2011-07-17 - 2011-07-23,80
2011-07-24 - 2011-07-30,80
2011-07-31 - 2011-08-06,77
2011-08-07 - 2011-08-13,78
2011-08-14 - 2011-08-20,73
2011-08-21 - 2011-08-27,73
2011-08-28 - 2011-09-03,70
2011-09-04 - 2011-09-10,73
2011-09-11 - 2011-09-17,80
2011-09-18 - 2011-09-24,78
2011-09-25 - 2011-10-01,81
2011-10-02 - 2011-10-08,84
2011-10-09 - 2011-10-15,78
2011-10-16 - 2011-10-22,81
2011-10-23 - 2011-10-29,85
2011-10-30 - 2011-11-05,86
2011-11-06 - 2011-11-12,84
2011-11-13 - 2011-11-19,84
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,78
2011-12-11 - 2011-12-17,77
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,70
2012-01-08 - 2012-01-14,78
2012-01-15 - 2012-01-21,80
2012-01-22 - 2012-01-28,80
2012-01-29 - 2012-02-04,85
2012-02-05 - 2012-02-11,87
2012-02-12 - 2012-02-18,81
2012-02-19 - 2012-02-25,81
2012-02-26 - 2012-03-03,84
2012-03-04 - 2012-03-10,84
2012-03-11 - 2012-03-17,76
2012-03-18 - 2012-03-24,79
2012-03-25 - 2012-03-31,78
2012-04-01 - 2012-04-07,77
2012-04-08 - 2012-04-14,76
2012-04-15 - 2012-04-21,79
2012-04-22 - 2012-04-28,80
2012-04-29 - 2012-05-05,84
2012-05-06 - 2012-05-12,80
2012-05-13 - 2012-05-19,77
2012-05-20 - 2012-05-26,78
2012-05-27 - 2012-06-02,68
2012-06-03 - 2012-06-09,74
2012-06-10 - 2012-06-16,76
2012-06-17 - 2012-06-23,75
2012-06-24 - 2012-06-30,73
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,77
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,75
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,77
2012-08-19 - 2012-08-25,78
2012-08-26 - 2012-09-01,74
2012-09-02 - 2012-09-08,75
2012-09-09 - 2012-09-15,80
2012-09-16 - 2012-09-22,77
2012-09-23 - 2012-09-29,80
2012-09-30 - 2012-10-06,78
2012-10-07 - 2012-10-13,75
2012-10-14 - 2012-10-20,78
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,70
2012-11-04 - 2012-11-10,74
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,63
2012-11-25 - 2012-12-01,76
2012-12-02 - 2012-12-08,78
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,72
2013-01-13 - 2013-01-19,75
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,76
2013-02-03 - 2013-02-09,79
2013-02-10 - 2013-02-16,73
2013-02-17 - 2013-02-23,78
2013-02-24 - 2013-03-02,78
2013-03-03 - 2013-03-09,77
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,78
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,73
2013-04-07 - 2013-04-13,76
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,77
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,74
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,74
2013-05-26 - 2013-06-01,71
2013-06-02 - 2013-06-08,73
2013-06-09 - 2013-06-15,74
2013-06-16 - 2013-06-22,72
2013-06-23 - 2013-06-29,72
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,71
2013-07-28 - 2013-08-03,73
2013-08-04 - 2013-08-10,73
2013-08-11 - 2013-08-17,69
2013-08-18 - 2013-08-24,68
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,69
2013-09-08 - 2013-09-14,71
2013-09-15 - 2013-09-21,76
2013-09-22 - 2013-09-28,72
2013-09-29 - 2013-10-05,74
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,71
2013-10-20 - 2013-10-26,72
2013-10-27 - 2013-11-02,73
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,75
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,67
2013-12-08 - 2013-12-14,72
2013-12-15 - 2013-12-21,65
2013-12-22 - 2013-12-28,41
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,73
2014-01-19 - 2014-01-25,75
2014-01-26 - 2014-02-01,76
2014-02-02 - 2014-02-08,71
2014-02-09 - 2014-02-15,75
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,76
2014-03-02 - 2014-03-08,73
2014-03-09 - 2014-03-15,72
2014-03-16 - 2014-03-22,71
2014-03-23 - 2014-03-29,72
2014-03-30 - 2014-04-05,72
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,73
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,73
2014-05-04 - 2014-05-10,71
2014-05-11 - 2014-05-17,70
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,67
2014-06-01 - 2014-06-07,73
2014-06-08 - 2014-06-14,72
2014-06-15 - 2014-06-21,71
2014-06-22 - 2014-06-28,73
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,72
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,77
2014-07-27 - 2014-08-02,71
2014-08-03 - 2014-08-09,72
2014-08-10 - 2014-08-16,70
2014-08-17 - 2014-08-23,70
2014-08-24 - 2014-08-30,68
2014-08-31 - 2014-09-06,69
2014-09-07 - 2014-09-13,74
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,75
2014-09-28 - 2014-10-04,71
2014-10-05 - 2014-10-11,75
2014-10-12 - 2014-10-18,76
2014-10-19 - 2014-10-25,71
2014-10-26 - 2014-11-01,72
2014-11-02 - 2014-11-08,75
2014-11-09 - 2014-11-15,76
2014-11-16 - 2014-11-22,70
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,71
2014-12-07 - 2014-12-13,72
2014-12-14 - 2014-12-20,66
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,71
2015-01-18 - 2015-01-24,74
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,78
2015-02-08 - 2015-02-14,75
2015-02-15 - 2015-02-21,72
2015-02-22 - 2015-02-28,74
2015-03-01 - 2015-03-07,72
2015-03-08 - 2015-03-14,72
2015-03-15 - 2015-03-21,74
2015-03-22 - 2015-03-28,71
2015-03-29 - 2015-04-04,70
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,74
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,72
2015-05-10 - 2015-05-16,77
2015-05-17 - 2015-05-23,72
2015-05-24 - 2015-05-30,68
2015-05-31 - 2015-06-06,73
2015-06-07 - 2015-06-13,70
2015-06-14 - 2015-06-20,74
2015-06-21 - 2015-06-27,76
2015-06-28 - 2015-07-04,68
2015-07-05 - 2015-07-11,70
2015-07-12 - 2015-07-18,71
2015-07-19 - 2015-07-25,75
2015-07-26 - 2015-08-01,76
2015-08-02 - 2015-08-08,70
2015-08-09 - 2015-08-15,69
2015-08-16 - 2015-08-22,74
2015-08-23 - 2015-08-29,74
2015-08-30 - 2015-09-05,72
2015-09-06 - 2015-09-12,72
2015-09-13 - 2015-09-19,72
2015-09-20 - 2015-09-26,73
2015-09-27 - 2015-10-03,75
2015-10-04 - 2015-10-10,75
2015-10-11 - 2015-10-17,72
2015-10-18 - 2015-10-24,76
2015-10-25 - 2015-10-31,75
2015-11-01 - 2015-11-07,75
2015-11-08 - 2015-11-14,70
2015-11-15 - 2015-11-21,72
2015-11-22 - 2015-11-28,59
2015-11-29 - 2015-12-05,68
2015-12-06 - 2015-12-12,74
2015-12-13 - 2015-12-19,68
2015-12-20 - 2015-12-26,49
2015-12-27 - 2016-01-02,50
2016-01-03 - 2016-01-09,71
2016-01-10 - 2016-01-16,73
2016-01-17 - 2016-01-23,75
2016-01-24 - 2016-01-30,76
2016-01-31 - 2016-02-06,76
2016-02-07 - 2016-02-13,75
2016-02-14 - 2016-02-20,74
2016-02-21 - 2016-02-27,76
2016-02-28 - 2016-03-05,78
2016-03-06 - 2016-03-12,78
2016-03-13 - 2016-03-19,74
2016-03-20 - 2016-03-26,73
2016-03-27 - 2016-04-02,80
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,77
2016-04-17 - 2016-04-23,77
2016-04-24 - 2016-04-30,77


Top regions for emr
Region,emr
Switzerland,100
United States,93
Canada,88
United Kingdom,58
South Korea,51
Australia,38
India,37
Singapore,33
United Arab Emirates,31
Pakistan,29
Israel,28
Argentina,28
Turkey,26
Philippines,25
Italy,25
Ireland,25
Japan,22
Germany,19
Denmark,19
Malaysia,19
South Africa,18
Netherlands,17
France,17
Taiwan,16
Belgium,14
Sweden,11
China,10
Thailand,9
Spain,7
Brazil,7
Poland,5
Indonesia,5
Russia,5
Mexico,4


Top cities for emr
City,emr
Rosario (Argentina),100
Edmonton (Canada),98
Bologna (Italy),89
Calgary (Canada),85
Vancouver (Canada),54
Phoenix (United States),47
Seattle (United States),44
Zurich (Switzerland),42
Philadelphia (United States),41
Boston (United States),41
San Francisco (United States),37
Houston (United States),37
San Diego (United States),36
Washington (United States),35
Dallas (United States),34



Top searches for emr
emr medical,100
emr software,60
ehr,55
emr ehr,55
epic emr,50
what is emr,45
emr jobs,35
emr system,35
emr systems,30
electronic medical records,20
emr scrap,20
m39 emr,20
arpa emr,20
emr training,20
free emr,20
open emr,20
emr data,20
emr group,15
aws emr,15
emr recruitment,15
electronic medical record,15
cerner emr,15
cerner,15
emr rating,15
emr implementation,15
emr companies,10
emr rate,10
emr course,10
emr solutions,10
emr recycling,10
centricity,10
centricity emr,10
emr definition,10
emr login,10
emr certification,10
nextgen emr,10
emr experience,10
emr stock,10
emr scrap metal,10
ge emr,10
emr test,10
allscripts,10
allscripts emr,10
emr inc,5
open source emr,5
emr ltd,5
oscar emr,5
arpa emr meteo,5
electronic health records,5
emr spectrum,5



Rising searches for emr
m39 emr,Breakout
emr scrap,+850%
emr training,+800%
epic emr,+550%
ehr,+450%
emr ehr,+400%
what is emr,+400%
emr jobs,+190%
emr systems,+120%
emr system,+110%



