Web Search interest: peg
Worldwide 2004 - present

Interest over time
Week,peg
2008-03-09 - 2008-03-15,70
2008-03-16 - 2008-03-22,72
2008-03-23 - 2008-03-29,68
2008-03-30 - 2008-04-05,71
2008-04-06 - 2008-04-12,72
2008-04-13 - 2008-04-19,72
2008-04-20 - 2008-04-26,71
2008-04-27 - 2008-05-03,71
2008-05-04 - 2008-05-10,71
2008-05-11 - 2008-05-17,71
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,69
2008-06-01 - 2008-06-07,66
2008-06-08 - 2008-06-14,67
2008-06-15 - 2008-06-21,66
2008-06-22 - 2008-06-28,69
2008-06-29 - 2008-07-05,66
2008-07-06 - 2008-07-12,70
2008-07-13 - 2008-07-19,71
2008-07-20 - 2008-07-26,71
2008-07-27 - 2008-08-02,73
2008-08-03 - 2008-08-09,74
2008-08-10 - 2008-08-16,68
2008-08-17 - 2008-08-23,70
2008-08-24 - 2008-08-30,69
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,65
2008-09-14 - 2008-09-20,66
2008-09-21 - 2008-09-27,69
2008-09-28 - 2008-10-04,68
2008-10-05 - 2008-10-11,67
2008-10-12 - 2008-10-18,66
2008-10-19 - 2008-10-25,67
2008-10-26 - 2008-11-01,67
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,68
2008-11-16 - 2008-11-22,65
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,66
2008-12-07 - 2008-12-13,61
2008-12-14 - 2008-12-20,59
2008-12-21 - 2008-12-27,49
2008-12-28 - 2009-01-03,59
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,67
2009-01-18 - 2009-01-24,63
2009-01-25 - 2009-01-31,65
2009-02-01 - 2009-02-07,64
2009-02-08 - 2009-02-14,61
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,62
2009-03-01 - 2009-03-07,67
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,69
2009-03-22 - 2009-03-28,67
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,67
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,65
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,69
2009-05-17 - 2009-05-23,64
2009-05-24 - 2009-05-30,65
2009-05-31 - 2009-06-06,65
2009-06-07 - 2009-06-13,66
2009-06-14 - 2009-06-20,65
2009-06-21 - 2009-06-27,62
2009-06-28 - 2009-07-04,62
2009-07-05 - 2009-07-11,64
2009-07-12 - 2009-07-18,66
2009-07-19 - 2009-07-25,65
2009-07-26 - 2009-08-01,65
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,62
2009-08-23 - 2009-08-29,63
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,64
2009-09-13 - 2009-09-19,64
2009-09-20 - 2009-09-26,62
2009-09-27 - 2009-10-03,61
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,61
2009-10-18 - 2009-10-24,62
2009-10-25 - 2009-10-31,60
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,61
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,59
2009-11-29 - 2009-12-05,60
2009-12-06 - 2009-12-12,60
2009-12-13 - 2009-12-19,54
2009-12-20 - 2009-12-26,46
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,59
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,60
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,59
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,62
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,64
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,60
2010-04-04 - 2010-04-10,65
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,62
2010-04-25 - 2010-05-01,62
2010-05-02 - 2010-05-08,64
2010-05-09 - 2010-05-15,62
2010-05-16 - 2010-05-22,62
2010-05-23 - 2010-05-29,62
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,59
2010-06-20 - 2010-06-26,61
2010-06-27 - 2010-07-03,58
2010-07-04 - 2010-07-10,59
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,60
2010-08-01 - 2010-08-07,61
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,60
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,58
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,60
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,60
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,59
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,60
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,56
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,50
2011-01-02 - 2011-01-08,57
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,58
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,59
2011-03-20 - 2011-03-26,60
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,60
2011-04-17 - 2011-04-23,62
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,61
2011-05-22 - 2011-05-28,58
2011-05-29 - 2011-06-04,57
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,58
2011-06-26 - 2011-07-02,56
2011-07-03 - 2011-07-09,58
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,57
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,55
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,60
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,59
2011-11-20 - 2011-11-26,57
2011-11-27 - 2011-12-03,57
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,55
2011-12-18 - 2011-12-24,49
2011-12-25 - 2011-12-31,51
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,57
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,57
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,60
2012-03-25 - 2012-03-31,61
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,58
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,59
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,53
2012-06-24 - 2012-06-30,53
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,58
2012-07-22 - 2012-07-28,60
2012-07-29 - 2012-08-04,58
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,56
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,60
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,57
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,57
2012-11-18 - 2012-11-24,57
2012-11-25 - 2012-12-01,55
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,51
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,54
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,54
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,56
2013-03-24 - 2013-03-30,55
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,57
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,59
2013-04-28 - 2013-05-04,59
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,55
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,53
2013-06-16 - 2013-06-22,52
2013-06-23 - 2013-06-29,54
2013-06-30 - 2013-07-06,53
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,52
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,59
2013-10-20 - 2013-10-26,60
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,60
2013-11-17 - 2013-11-23,60
2013-11-24 - 2013-11-30,58
2013-12-01 - 2013-12-07,57
2013-12-08 - 2013-12-14,55
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,49
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,55
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,53
2014-02-16 - 2014-02-22,55
2014-02-23 - 2014-03-01,57
2014-03-02 - 2014-03-08,56
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,57
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,57
2014-04-06 - 2014-04-12,58
2014-04-13 - 2014-04-19,57
2014-04-20 - 2014-04-26,56
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,59
2014-05-11 - 2014-05-17,57
2014-05-18 - 2014-05-24,57
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,55
2014-06-22 - 2014-06-28,55
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,57
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,57
2014-07-27 - 2014-08-02,56
2014-08-03 - 2014-08-09,59
2014-08-10 - 2014-08-16,63
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,54
2014-09-14 - 2014-09-20,54
2014-09-21 - 2014-09-27,53
2014-09-28 - 2014-10-04,54
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,54
2014-10-19 - 2014-10-25,54
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,75
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,73
2014-12-07 - 2014-12-13,68
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,58
2014-12-28 - 2015-01-03,58
2015-01-04 - 2015-01-10,59
2015-01-11 - 2015-01-17,66
2015-01-18 - 2015-01-24,65
2015-01-25 - 2015-01-31,62
2015-02-01 - 2015-02-07,60
2015-02-08 - 2015-02-14,58
2015-02-15 - 2015-02-21,60
2015-02-22 - 2015-02-28,59
2015-03-01 - 2015-03-07,59
2015-03-08 - 2015-03-14,61
2015-03-15 - 2015-03-21,62
2015-03-22 - 2015-03-28,61
2015-03-29 - 2015-04-04,59
2015-04-05 - 2015-04-11,61
2015-04-12 - 2015-04-18,61
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,60
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,60
2015-05-17 - 2015-05-23,59
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,58
2015-06-07 - 2015-06-13,57
2015-06-14 - 2015-06-20,59
2015-06-21 - 2015-06-27,59
2015-06-28 - 2015-07-04,57
2015-07-05 - 2015-07-11,59
2015-07-12 - 2015-07-18,59
2015-07-19 - 2015-07-25,60
2015-07-26 - 2015-08-01,60
2015-08-02 - 2015-08-08,59
2015-08-09 - 2015-08-15,59
2015-08-16 - 2015-08-22,60
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,59
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,58
2015-09-20 - 2015-09-26,57
2015-09-27 - 2015-10-03,57
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,57
2015-10-18 - 2015-10-24,58
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,59
2015-11-08 - 2015-11-14,58
2015-11-15 - 2015-11-21,58
2015-11-22 - 2015-11-28,58
2015-11-29 - 2015-12-05,59
2015-12-06 - 2015-12-12,60
2015-12-13 - 2015-12-19,58
2015-12-20 - 2015-12-26,53
2015-12-27 - 2016-01-02,56
2016-01-03 - 2016-01-09,60
2016-01-10 - 2016-01-16,59
2016-01-17 - 2016-01-23,61
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,59
2016-02-07 - 2016-02-13,59
2016-02-14 - 2016-02-20,59
2016-02-21 - 2016-02-27,62
2016-02-28 - 2016-03-05,60
2016-03-06 - 2016-03-12,60
2016-03-13 - 2016-03-19,65
2016-03-20 - 2016-03-26,66
2016-03-27 - 2016-04-02,72
2016-04-03 - 2016-04-09,75
2016-04-10 - 2016-04-16,73
2016-04-17 - 2016-04-23,72
2016-04-24 - 2016-04-30,80


Top regions for peg
Region,peg
Slovenia,100
Slovakia,73
Italy,71
Canada,65
Croatia,62
United States,57
Latvia,56
Czech Republic,53
Australia,50
Singapore,48
United Kingdom,43
Philippines,43
Hungary,43
New Zealand,42
Hong Kong,41
Puerto Rico,40
Austria,39
South Africa,37
Germany,37
India,36
Greece,36
Ireland,35
Israel,34
Lithuania,33
Switzerland,31
Brazil,31
France,31
Serbia,30
Bolivia,30
Sweden,27
United Arab Emirates,26
Poland,24
Russia,24
South Korea,23
Bulgaria,22
Denmark,22
Norway,21
Finland,21
Pakistan,20
Netherlands,20
Malaysia,20
Romania,18
Taiwan,18
Belgium,17
Ukraine,16
Argentina,14
Spain,13
Japan,13
China,13
Portugal,12
Chile,10
Indonesia,10
Iran,9
Turkey,9
Colombia,9
Mexico,8
Venezuela,7
Egypt,7
Thailand,7
Saudi Arabia,6
Peru,6
Vietnam,3


Top cities for peg
City,peg
Milan (Italy),100
Philadelphia (United States),92
Rome (Italy),89
Toronto (Canada),87
São Paulo (Brazil),76
New York (United States),71
Washington (United States),71
San Francisco (United States),71
Chicago (United States),67
Montreal (Canada),67
Atlanta (United States),67
Sydney (Australia),66
Singapore (Singapore),63
New Delhi (India),60
Houston (United States),60



Top searches for peg
peg perego,100
peg tube,10
peg perego pliko,10
peg perego stroller,5
peg board,5
peg leg,5
peg perego p3,5
peg game,5
peg ratio,5
chicco,5
patiala peg,5
peg perego viaggio,5
peg perego book,5
square peg,5
what is peg,5
peg feeding,5
aunt peg,5
peg bundy,5
peg perego trio,5
peg perego aria,5
poussette peg perego,5
peg perego switch,0
peg sonde,0
peg faça,0
peg perego skate,0
inglesina,0
peg meaning,0
peg perego strollers,0
peg lyrics,0
peg tube feeding,0
peg perego battery,0
peg perego si,0
peg prego,0
peg e faça,0
pegboard,0
peg perego polaris,0
peg perego gt3,0
peg perego canada,0
peg bag,0
peg perego buggy,0
peg perego gator,0
clothes peg,0
passeggini peg perego,0
peg perego tatamia,0
simon peg,0
peggy peg,0
peg kehret,0
peg 400,0
peg perego gaucho,0
peg solitaire,0



Rising searches for peg
patiala peg,Breakout
peg perego book,Breakout
peg perego viaggio,+180%
peg perego p3,+160%
peg perego pliko,+150%
what is peg,+140%
peg game,+100%
chicco,+90%
peg bundy,+70%
peg leg,+60%



