Web Search interest: wmt
Worldwide 2004 - present

Interest over time
Week,wmt
2005-03-06 - 2005-03-12,34
2005-03-13 - 2005-03-19,27
2005-03-20 - 2005-03-26,18
2005-03-27 - 2005-04-02,29
2005-04-03 - 2005-04-09,69
2005-04-10 - 2005-04-16,37
2005-04-17 - 2005-04-23,43
2005-04-24 - 2005-04-30,35
2005-05-01 - 2005-05-07,48
2005-05-08 - 2005-05-14,49
2005-05-15 - 2005-05-21,43
2005-05-22 - 2005-05-28,34
2005-05-29 - 2005-06-04,42
2005-06-05 - 2005-06-11,43
2005-06-12 - 2005-06-18,41
2005-06-19 - 2005-06-25,36
2005-06-26 - 2005-07-02,40
2005-07-03 - 2005-07-09,46
2005-07-10 - 2005-07-16,37
2005-07-17 - 2005-07-23,46
2005-07-24 - 2005-07-30,30
2005-07-31 - 2005-08-06,37
2005-08-07 - 2005-08-13,45
2005-08-14 - 2005-08-20,46
2005-08-21 - 2005-08-27,41
2005-08-28 - 2005-09-03,47
2005-09-04 - 2005-09-10,31
2005-09-11 - 2005-09-17,44
2005-09-18 - 2005-09-24,53
2005-09-25 - 2005-10-01,54
2005-10-02 - 2005-10-08,48
2005-10-09 - 2005-10-15,48
2005-10-16 - 2005-10-22,47
2005-10-23 - 2005-10-29,55
2005-10-30 - 2005-11-05,66
2005-11-06 - 2005-11-12,53
2005-11-13 - 2005-11-19,75
2005-11-20 - 2005-11-26,73
2005-11-27 - 2005-12-03,100
2005-12-04 - 2005-12-10,78
2005-12-11 - 2005-12-17,65
2005-12-18 - 2005-12-24,64
2005-12-25 - 2005-12-31,49
2006-01-01 - 2006-01-07,68
2006-01-08 - 2006-01-14,66
2006-01-15 - 2006-01-21,57
2006-01-22 - 2006-01-28,50
2006-01-29 - 2006-02-04,67
2006-02-05 - 2006-02-11,57
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,63
2006-02-26 - 2006-03-04,53
2006-03-05 - 2006-03-11,53
2006-03-12 - 2006-03-18,49
2006-03-19 - 2006-03-25,55
2006-03-26 - 2006-04-01,50
2006-04-02 - 2006-04-08,59
2006-04-09 - 2006-04-15,44
2006-04-16 - 2006-04-22,49
2006-04-23 - 2006-04-29,48
2006-04-30 - 2006-05-06,52
2006-05-07 - 2006-05-13,37
2006-05-14 - 2006-05-20,54
2006-05-21 - 2006-05-27,48
2006-05-28 - 2006-06-03,45
2006-06-04 - 2006-06-10,35
2006-06-11 - 2006-06-17,45
2006-06-18 - 2006-06-24,42
2006-06-25 - 2006-07-01,38
2006-07-02 - 2006-07-08,42
2006-07-09 - 2006-07-15,42
2006-07-16 - 2006-07-22,44
2006-07-23 - 2006-07-29,53
2006-07-30 - 2006-08-05,47
2006-08-06 - 2006-08-12,48
2006-08-13 - 2006-08-19,55
2006-08-20 - 2006-08-26,50
2006-08-27 - 2006-09-02,52
2006-09-03 - 2006-09-09,38
2006-09-10 - 2006-09-16,42
2006-09-17 - 2006-09-23,53
2006-09-24 - 2006-09-30,42
2006-10-01 - 2006-10-07,54
2006-10-08 - 2006-10-14,46
2006-10-15 - 2006-10-21,53
2006-10-22 - 2006-10-28,65
2006-10-29 - 2006-11-04,57
2006-11-05 - 2006-11-11,49
2006-11-12 - 2006-11-18,63
2006-11-19 - 2006-11-25,46
2006-11-26 - 2006-12-02,57
2006-12-03 - 2006-12-09,51
2006-12-10 - 2006-12-16,45
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,36
2006-12-31 - 2007-01-06,41
2007-01-07 - 2007-01-13,41
2007-01-14 - 2007-01-20,35
2007-01-21 - 2007-01-27,31
2007-01-28 - 2007-02-03,38
2007-02-04 - 2007-02-10,45
2007-02-11 - 2007-02-17,29
2007-02-18 - 2007-02-24,45
2007-02-25 - 2007-03-03,62
2007-03-04 - 2007-03-10,42
2007-03-11 - 2007-03-17,29
2007-03-18 - 2007-03-24,33
2007-03-25 - 2007-03-31,43
2007-04-01 - 2007-04-07,36
2007-04-08 - 2007-04-14,39
2007-04-15 - 2007-04-21,34
2007-04-22 - 2007-04-28,37
2007-04-29 - 2007-05-05,40
2007-05-06 - 2007-05-12,35
2007-05-13 - 2007-05-19,39
2007-05-20 - 2007-05-26,34
2007-05-27 - 2007-06-02,38
2007-06-03 - 2007-06-09,62
2007-06-10 - 2007-06-16,41
2007-06-17 - 2007-06-23,40
2007-06-24 - 2007-06-30,25
2007-07-01 - 2007-07-07,29
2007-07-08 - 2007-07-14,32
2007-07-15 - 2007-07-21,36
2007-07-22 - 2007-07-28,35
2007-07-29 - 2007-08-04,31
2007-08-05 - 2007-08-11,28
2007-08-12 - 2007-08-18,56
2007-08-19 - 2007-08-25,39
2007-08-26 - 2007-09-01,36
2007-09-02 - 2007-09-08,36
2007-09-09 - 2007-09-15,38
2007-09-16 - 2007-09-22,33
2007-09-23 - 2007-09-29,38
2007-09-30 - 2007-10-06,36
2007-10-07 - 2007-10-13,42
2007-10-14 - 2007-10-20,33
2007-10-21 - 2007-10-27,40
2007-10-28 - 2007-11-03,41
2007-11-04 - 2007-11-10,40
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,35
2007-11-25 - 2007-12-01,42
2007-12-02 - 2007-12-08,44
2007-12-09 - 2007-12-15,40
2007-12-16 - 2007-12-22,33
2007-12-23 - 2007-12-29,37
2007-12-30 - 2008-01-05,28
2008-01-06 - 2008-01-12,36
2008-01-13 - 2008-01-19,37
2008-01-20 - 2008-01-26,44
2008-01-27 - 2008-02-02,40
2008-02-03 - 2008-02-09,49
2008-02-10 - 2008-02-16,38
2008-02-17 - 2008-02-23,46
2008-02-24 - 2008-03-01,40
2008-03-02 - 2008-03-08,41
2008-03-09 - 2008-03-15,41
2008-03-16 - 2008-03-22,42
2008-03-23 - 2008-03-29,41
2008-03-30 - 2008-04-05,41
2008-04-06 - 2008-04-12,49
2008-04-13 - 2008-04-19,47
2008-04-20 - 2008-04-26,42
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,48
2008-05-11 - 2008-05-17,49
2008-05-18 - 2008-05-24,39
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,42
2008-06-08 - 2008-06-14,66
2008-06-15 - 2008-06-21,44
2008-06-22 - 2008-06-28,33
2008-06-29 - 2008-07-05,32
2008-07-06 - 2008-07-12,42
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,35
2008-08-03 - 2008-08-09,48
2008-08-10 - 2008-08-16,45
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,30
2008-08-31 - 2008-09-06,31
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,43
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,76
2008-10-12 - 2008-10-18,72
2008-10-19 - 2008-10-25,50
2008-10-26 - 2008-11-01,51
2008-11-02 - 2008-11-08,56
2008-11-09 - 2008-11-15,64
2008-11-16 - 2008-11-22,52
2008-11-23 - 2008-11-29,40
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,44
2008-12-14 - 2008-12-20,37
2008-12-21 - 2008-12-27,33
2008-12-28 - 2009-01-03,34
2009-01-04 - 2009-01-10,52
2009-01-11 - 2009-01-17,45
2009-01-18 - 2009-01-24,38
2009-01-25 - 2009-01-31,40
2009-02-01 - 2009-02-07,45
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,49
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,44
2009-03-22 - 2009-03-28,39
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,39
2009-04-12 - 2009-04-18,38
2009-04-19 - 2009-04-25,37
2009-04-26 - 2009-05-02,38
2009-05-03 - 2009-05-09,38
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,35
2009-05-24 - 2009-05-30,30
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,29
2009-06-14 - 2009-06-20,34
2009-06-21 - 2009-06-27,29
2009-06-28 - 2009-07-04,27
2009-07-05 - 2009-07-11,28
2009-07-12 - 2009-07-18,31
2009-07-19 - 2009-07-25,31
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,35
2009-08-16 - 2009-08-22,31
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,27
2009-09-13 - 2009-09-19,28
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,28
2009-10-11 - 2009-10-17,36
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,28
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,34
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,28
2009-12-13 - 2009-12-19,22
2009-12-20 - 2009-12-26,24
2009-12-27 - 2010-01-02,23
2010-01-03 - 2010-01-09,28
2010-01-10 - 2010-01-16,23
2010-01-17 - 2010-01-23,23
2010-01-24 - 2010-01-30,23
2010-01-31 - 2010-02-06,26
2010-02-07 - 2010-02-13,24
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,22
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,21
2010-03-14 - 2010-03-20,26
2010-03-21 - 2010-03-27,23
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,19
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,22
2010-04-25 - 2010-05-01,22
2010-05-02 - 2010-05-08,25
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,24
2010-06-06 - 2010-06-12,22
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,21
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,22
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,21
2010-08-08 - 2010-08-14,23
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,19
2010-08-29 - 2010-09-04,22
2010-09-05 - 2010-09-11,19
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,25
2010-09-26 - 2010-10-02,22
2010-10-03 - 2010-10-09,23
2010-10-10 - 2010-10-16,22
2010-10-17 - 2010-10-23,21
2010-10-24 - 2010-10-30,19
2010-10-31 - 2010-11-06,25
2010-11-07 - 2010-11-13,23
2010-11-14 - 2010-11-20,28
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,23
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,22
2011-01-09 - 2011-01-15,20
2011-01-16 - 2011-01-22,20
2011-01-23 - 2011-01-29,23
2011-01-30 - 2011-02-05,22
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,22
2011-02-20 - 2011-02-26,26
2011-02-27 - 2011-03-05,27
2011-03-06 - 2011-03-12,25
2011-03-13 - 2011-03-19,22
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,22
2011-04-03 - 2011-04-09,22
2011-04-10 - 2011-04-16,22
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,20
2011-05-08 - 2011-05-14,21
2011-05-15 - 2011-05-21,23
2011-05-22 - 2011-05-28,19
2011-05-29 - 2011-06-04,19
2011-06-05 - 2011-06-11,19
2011-06-12 - 2011-06-18,20
2011-06-19 - 2011-06-25,24
2011-06-26 - 2011-07-02,19
2011-07-03 - 2011-07-09,18
2011-07-10 - 2011-07-16,18
2011-07-17 - 2011-07-23,19
2011-07-24 - 2011-07-30,21
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,35
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,20
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,22
2011-09-25 - 2011-10-01,20
2011-10-02 - 2011-10-08,21
2011-10-09 - 2011-10-15,23
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,26
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,21
2011-12-11 - 2011-12-17,18
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,22
2012-01-08 - 2012-01-14,21
2012-01-15 - 2012-01-21,21
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,21
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,40
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,26
2012-05-27 - 2012-06-02,24
2012-06-03 - 2012-06-09,26
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,24
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,22
2012-09-09 - 2012-09-15,24
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,24
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,23
2012-12-16 - 2012-12-22,22
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,21
2013-01-20 - 2013-01-26,21
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,24
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,19
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,21
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,19
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,20
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,20
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,24
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,21
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,19
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,17
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,21
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,20
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,17
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,18
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,19
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,19
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,20
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,21
2015-03-08 - 2015-03-14,20
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,18
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,18
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,20
2015-08-02 - 2015-08-08,20
2015-08-09 - 2015-08-15,18
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,34
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,21
2015-09-27 - 2015-10-03,21
2015-10-04 - 2015-10-10,20
2015-10-11 - 2015-10-17,72
2015-10-18 - 2015-10-24,42
2015-10-25 - 2015-10-31,34
2015-11-01 - 2015-11-07,32
2015-11-08 - 2015-11-14,30
2015-11-15 - 2015-11-21,40
2015-11-22 - 2015-11-28,27
2015-11-29 - 2015-12-05,29
2015-12-06 - 2015-12-12,27
2015-12-13 - 2015-12-19,25
2015-12-20 - 2015-12-26,22
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,34
2016-01-10 - 2016-01-16,37
2016-01-17 - 2016-01-23,28
2016-01-24 - 2016-01-30,27
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,25
2016-02-14 - 2016-02-20,32
2016-02-21 - 2016-02-27,26
2016-02-28 - 2016-03-05,23
2016-03-06 - 2016-03-12,23
2016-03-13 - 2016-03-19,22
2016-03-20 - 2016-03-26,20
2016-03-27 - 2016-04-02,24
2016-04-03 - 2016-04-09,22
2016-04-10 - 2016-04-16,20
2016-04-17 - 2016-04-23,20
2016-04-24 - 2016-04-30,20


Top regions for wmt
Region,wmt
Latvia,100
United States,33
Canada,11
United Kingdom,7
Netherlands,7
Germany,6
Poland,4
Australia,4
Japan,4
Italy,3
India,3
Spain,3
France,2


Top cities for wmt
City,wmt
Bentonville (United States),100
Cedar Rapids (United States),44
Iowa City (United States),23
Riga (Latvia),5
St. Louis (United States),2
Minneapolis (United States),2
Dallas (United States),1
Chicago (United States),1
Birmingham (United Kingdom),1
Houston (United States),1
San Diego (United States),1
Denver (United States),1
Washington (United States),1
Atlanta (United States),1
Miami (United States),1



Top searches for wmt
wmt stock,100
wmt radio,25
wmt stock price,20
google wmt,15
wmt scheduler,15
quote wmt,10
wmt yahoo,10
wmt 600,10
wmt stocks,10
wmt dividend,10
wmt news,5
wmt stock quote,5
wmt cedar rapids,5
yahoo finance wmt,5
wmt tv,5
wmt baltic,5
ko stock,5
wmt ticker,5



Rising searches for wmt
wmt scheduler,Breakout
google wmt,+1,000%
wmt stock,+350%
wmt stock price,+350%
wmt yahoo,+200%
quote wmt,+150%
wmt stocks,+130%



