Web Search interest: vtr
Worldwide 2004 - present

Interest over time
Week,vtr
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,53
2014-06-01 - 2014-06-07,57
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,54
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,53
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,59
2014-07-27 - 2014-08-02,60
2014-08-03 - 2014-08-09,60
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,58
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,56
2014-09-07 - 2014-09-13,51
2014-09-14 - 2014-09-20,43
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,53
2014-10-26 - 2014-11-01,50
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,55
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,51
2014-11-30 - 2014-12-06,51
2014-12-07 - 2014-12-13,50
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,48
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,53
2015-01-11 - 2015-01-17,50
2015-01-18 - 2015-01-24,49
2015-01-25 - 2015-01-31,53
2015-02-01 - 2015-02-07,51
2015-02-08 - 2015-02-14,49
2015-02-15 - 2015-02-21,60
2015-02-22 - 2015-02-28,60
2015-03-01 - 2015-03-07,61
2015-03-08 - 2015-03-14,60
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,53
2015-04-12 - 2015-04-18,53
2015-04-19 - 2015-04-25,48
2015-04-26 - 2015-05-02,51
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,49
2015-05-17 - 2015-05-23,49
2015-05-24 - 2015-05-30,48
2015-05-31 - 2015-06-06,51
2015-06-07 - 2015-06-13,52
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,49
2015-06-28 - 2015-07-04,52
2015-07-05 - 2015-07-11,54
2015-07-12 - 2015-07-18,53
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,54
2015-08-02 - 2015-08-08,59
2015-08-09 - 2015-08-15,55
2015-08-16 - 2015-08-22,54
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,50
2015-09-06 - 2015-09-12,48
2015-09-13 - 2015-09-19,46
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,52
2015-10-04 - 2015-10-10,49
2015-10-11 - 2015-10-17,46
2015-10-18 - 2015-10-24,46
2015-10-25 - 2015-10-31,47
2015-11-01 - 2015-11-07,51
2015-11-08 - 2015-11-14,47
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,45
2015-11-29 - 2015-12-05,48
2015-12-06 - 2015-12-12,47
2015-12-13 - 2015-12-19,50
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,49
2016-01-03 - 2016-01-09,53
2016-01-10 - 2016-01-16,48
2016-01-17 - 2016-01-23,49
2016-01-24 - 2016-01-30,52
2016-01-31 - 2016-02-06,55
2016-02-07 - 2016-02-13,51
2016-02-14 - 2016-02-20,52
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,59
2016-03-06 - 2016-03-12,54
2016-03-13 - 2016-03-19,53
2016-03-20 - 2016-03-26,55
2016-03-27 - 2016-04-02,56
2016-04-03 - 2016-04-09,61
2016-04-10 - 2016-04-16,54
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,64


Top regions for vtr
Region,vtr
Chile,100
United Kingdom,1
Japan,1
Spain,1


Top cities for vtr
City,vtr
Antofagasta (Chile),100
Iquique (Chile),83
Viña del Mar (Chile),81
Valparaíso (Chile),81
Quillota (Chile),73
Santiago (Chile),71
Concepción (Chile),55
Rancagua (Chile),49
La Serena (Chile),46
Talca (Chile),37
Temuco (Chile),27
Milpitas (United States),2
Sterling (United States),2
Frankfurt (Germany),1
London (United Kingdom),1



Top searches for vtr
vtr velocidad,100
velocidad,100
vtr test,90
honda vtr,90
vtr test velocidad,65
test velocidad,65
vtr chile,65
citroen vtr,65
vtr programacion,55
test de velocidad,55
mail vtr,50
vtr 1000,50
vtr internet,40
saxo vtr,35
vtr 250,35
c2 vtr,35
c4 vtr,35
honda vtr 1000,30
remington vtr,25
vtr telefono,20
honda vtr 250,20
citroen c2,20
citroen c2 vtr,20
vtr cable,20
vtr numero,20
citroen c4 vtr,15
webmail vtr,15
vtr movil,15
velocidad internet vtr,15
vtr sp1,15
vtr firestorm,15
remington 700 vtr,15
remington 700,10
vtr sp2,10
canales vtr,10
itaste vtr,10
citroen saxo vtr,10
vtr sucursales,10
numero de vtr,10
vtr speed,10
fono vtr,10



Rising searches for vtr
remington vtr,Breakout
vtr test velocidad,+1,300%
test de velocidad,+1,250%
test velocidad,+1,150%
c4 vtr,+750%
velocidad,+650%
vtr velocidad,+600%
mail vtr,+500%
vtr test,+400%
vtr programacion,+250%



