Web Search interest: oi
Worldwide 2004 - present

Interest over time
Week,oi
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,49
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,47
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,46
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,48
2013-03-10 - 2013-03-16,44
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,50
2013-04-07 - 2013-04-13,47
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,43
2013-05-26 - 2013-06-01,42
2013-06-02 - 2013-06-08,48
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,47
2013-07-14 - 2013-07-20,44
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,45
2013-09-15 - 2013-09-21,40
2013-09-22 - 2013-09-28,40
2013-09-29 - 2013-10-05,47
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,42
2013-10-20 - 2013-10-26,40
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,40
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,44
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,39
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,39
2014-01-19 - 2014-01-25,38
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,41
2014-02-09 - 2014-02-15,40
2014-02-16 - 2014-02-22,39
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,39
2014-03-09 - 2014-03-15,45
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,43
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,38
2014-04-20 - 2014-04-26,37
2014-04-27 - 2014-05-03,38
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,39
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,39
2014-06-01 - 2014-06-07,42
2014-06-08 - 2014-06-14,38
2014-06-15 - 2014-06-21,35
2014-06-22 - 2014-06-28,35
2014-06-29 - 2014-07-05,39
2014-07-06 - 2014-07-12,39
2014-07-13 - 2014-07-19,38
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,41
2014-08-10 - 2014-08-16,38
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,38
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,34
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,38
2014-12-14 - 2014-12-20,36
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,42
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,35
2015-01-25 - 2015-01-31,36
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,31
2015-02-22 - 2015-02-28,34
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,37
2015-03-15 - 2015-03-21,35
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,39
2015-04-12 - 2015-04-18,36
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,35
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,37
2015-05-17 - 2015-05-23,34
2015-05-24 - 2015-05-30,34
2015-05-31 - 2015-06-06,34
2015-06-07 - 2015-06-13,36
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,33
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,36
2015-07-12 - 2015-07-18,36
2015-07-19 - 2015-07-25,34
2015-07-26 - 2015-08-01,34
2015-08-02 - 2015-08-08,36
2015-08-09 - 2015-08-15,35
2015-08-16 - 2015-08-22,32
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,34
2015-09-06 - 2015-09-12,33
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,32
2015-09-27 - 2015-10-03,33
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,30
2015-10-18 - 2015-10-24,30
2015-10-25 - 2015-10-31,31
2015-11-01 - 2015-11-07,42
2015-11-08 - 2015-11-14,34
2015-11-15 - 2015-11-21,31
2015-11-22 - 2015-11-28,31
2015-11-29 - 2015-12-05,33
2015-12-06 - 2015-12-12,33
2015-12-13 - 2015-12-19,31
2015-12-20 - 2015-12-26,29
2015-12-27 - 2016-01-02,29
2016-01-03 - 2016-01-09,35
2016-01-10 - 2016-01-16,32
2016-01-17 - 2016-01-23,31
2016-01-24 - 2016-01-30,31
2016-01-31 - 2016-02-06,32
2016-02-07 - 2016-02-13,29
2016-02-14 - 2016-02-20,32
2016-02-21 - 2016-02-27,30
2016-02-28 - 2016-03-05,32
2016-03-06 - 2016-03-12,32
2016-03-13 - 2016-03-19,31
2016-03-20 - 2016-03-26,29
2016-03-27 - 2016-04-02,33
2016-04-03 - 2016-04-09,33
2016-04-10 - 2016-04-16,32
2016-04-17 - 2016-04-23,30
2016-04-24 - 2016-04-30,37


Top regions for oi
Region,oi
Brazil,100
Vietnam,30
Greece,16
Bangladesh,7
Romania,4
United Kingdom,3
Spain,2
Germany,2
Finland,2
Portugal,2
Indonesia,2
United States,1
Japan,1
India,1
Australia,1
Italy,1
France,1


Top cities for oi
City,oi
Recife (Brazil),100
João Pessoa (Brazil),100
Fortaleza (Brazil),93
Natal (Brazil),77
Salvador (Brazil),74
São Luís (Brazil),70
Maceió (Brazil),63
Belo Horizonte (Brazil),57
Campina Grande (Brazil),55
Teresina (Brazil),43
Rio de Janeiro (Brazil),43
Belém (Brazil),33
Brasília (Brazil),19
Goiânia (Brazil),18
Vitoria (Brazil),18



Top searches for oi
oi oi oi,100
torpedo oi,25
oi mail,5
oi torpedos,5
oi mundo,5
oi tv,5
minha oi,0
internet oi,0
oi fixo,0
claro,0
oi velox,0
oi conta,0
oi email,0
telefone oi,0
oi celular,0
oi 2 via,0
site oi,0
oi torpedo web,0
oi mensagens,0
oi loja,0
segunda via oi,0
mensagem oi,0
oi sms,0
telefone da oi,0
numero da oi,0
gvt,0
oi fotos,0
atendimento oi,0
operadora oi,0
site da oi,0
claro torpedo,0
oi 3g,0
planos oi,0
mundo oi torpedo,0
promoção oi,0
ba oi,0



Rising searches for oi
oi fixo,Breakout
oi mail,Breakout
minha oi,+4,450%
oi email,+2,250%
oi conta,+1,500%
oi velox,+1,400%
oi tv,+1,100%
internet oi,+950%
torpedo oi,+700%
oi torpedos,+650%



