Web Search interest: yum
Worldwide 2004 - present

Interest over time
Week,yum
2007-12-16 - 2007-12-22,60
2007-12-23 - 2007-12-29,51
2007-12-30 - 2008-01-05,60
2008-01-06 - 2008-01-12,56
2008-01-13 - 2008-01-19,56
2008-01-20 - 2008-01-26,55
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,56
2008-02-10 - 2008-02-16,59
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,53
2008-03-09 - 2008-03-15,54
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,55
2008-04-13 - 2008-04-19,56
2008-04-20 - 2008-04-26,54
2008-04-27 - 2008-05-03,54
2008-05-04 - 2008-05-10,54
2008-05-11 - 2008-05-17,58
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,55
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,55
2008-06-15 - 2008-06-21,55
2008-06-22 - 2008-06-28,54
2008-06-29 - 2008-07-05,53
2008-07-06 - 2008-07-12,58
2008-07-13 - 2008-07-19,58
2008-07-20 - 2008-07-26,57
2008-07-27 - 2008-08-02,58
2008-08-03 - 2008-08-09,57
2008-08-10 - 2008-08-16,60
2008-08-17 - 2008-08-23,56
2008-08-24 - 2008-08-30,54
2008-08-31 - 2008-09-06,54
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,59
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,52
2008-11-02 - 2008-11-08,54
2008-11-09 - 2008-11-15,56
2008-11-16 - 2008-11-22,53
2008-11-23 - 2008-11-29,55
2008-11-30 - 2008-12-06,56
2008-12-07 - 2008-12-13,59
2008-12-14 - 2008-12-20,54
2008-12-21 - 2008-12-27,53
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,55
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,56
2009-02-01 - 2009-02-07,58
2009-02-08 - 2009-02-14,57
2009-02-15 - 2009-02-21,59
2009-02-22 - 2009-02-28,55
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,55
2009-03-15 - 2009-03-21,58
2009-03-22 - 2009-03-28,53
2009-03-29 - 2009-04-04,55
2009-04-05 - 2009-04-11,58
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,57
2009-04-26 - 2009-05-02,53
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,52
2009-05-17 - 2009-05-23,52
2009-05-24 - 2009-05-30,51
2009-05-31 - 2009-06-06,53
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,53
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,51
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,52
2009-08-02 - 2009-08-08,53
2009-08-09 - 2009-08-15,53
2009-08-16 - 2009-08-22,53
2009-08-23 - 2009-08-29,50
2009-08-30 - 2009-09-05,52
2009-09-06 - 2009-09-12,50
2009-09-13 - 2009-09-19,51
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,56
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,53
2009-10-18 - 2009-10-24,50
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,51
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,52
2009-11-22 - 2009-11-28,51
2009-11-29 - 2009-12-05,54
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,49
2009-12-20 - 2009-12-26,46
2009-12-27 - 2010-01-02,48
2010-01-03 - 2010-01-09,48
2010-01-10 - 2010-01-16,48
2010-01-17 - 2010-01-23,51
2010-01-24 - 2010-01-30,49
2010-01-31 - 2010-02-06,50
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,49
2010-02-21 - 2010-02-27,49
2010-02-28 - 2010-03-06,50
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,49
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,53
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,51
2010-05-16 - 2010-05-22,49
2010-05-23 - 2010-05-29,52
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,50
2010-06-13 - 2010-06-19,50
2010-06-20 - 2010-06-26,50
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,48
2010-07-11 - 2010-07-17,50
2010-07-18 - 2010-07-24,50
2010-07-25 - 2010-07-31,51
2010-08-01 - 2010-08-07,50
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,53
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,52
2010-10-31 - 2010-11-06,52
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,49
2010-12-26 - 2011-01-01,50
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,54
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,55
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,51
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,50
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,50
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,51
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,53
2012-02-12 - 2012-02-18,54
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,61
2012-03-18 - 2012-03-24,53
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,52
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,50
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,52
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,49
2012-11-04 - 2012-11-10,48
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,50
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,54
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,55
2013-02-24 - 2013-03-02,55
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,54
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,53
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,48
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,51
2013-06-16 - 2013-06-22,50
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,51
2013-07-07 - 2013-07-13,53
2013-07-14 - 2013-07-20,51
2013-07-21 - 2013-07-27,51
2013-07-28 - 2013-08-03,51
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,52
2013-08-18 - 2013-08-24,53
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,52
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,55
2013-10-13 - 2013-10-19,53
2013-10-20 - 2013-10-26,54
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,55
2013-11-10 - 2013-11-16,56
2013-11-17 - 2013-11-23,58
2013-11-24 - 2013-11-30,55
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,56
2013-12-15 - 2013-12-21,54
2013-12-22 - 2013-12-28,52
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,60
2014-01-12 - 2014-01-18,61
2014-01-19 - 2014-01-25,66
2014-01-26 - 2014-02-01,62
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,57
2014-02-23 - 2014-03-01,56
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,53
2014-03-23 - 2014-03-29,56
2014-03-30 - 2014-04-05,56
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,61
2014-04-20 - 2014-04-26,58
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,55
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,51
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,50
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,55
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,56
2014-08-17 - 2014-08-23,54
2014-08-24 - 2014-08-30,54
2014-08-31 - 2014-09-06,54
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,54
2014-09-21 - 2014-09-27,59
2014-09-28 - 2014-10-04,62
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,58
2014-11-23 - 2014-11-29,53
2014-11-30 - 2014-12-06,54
2014-12-07 - 2014-12-13,56
2014-12-14 - 2014-12-20,55
2014-12-21 - 2014-12-27,54
2014-12-28 - 2015-01-03,54
2015-01-04 - 2015-01-10,56
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,60
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,59
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,56
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,57
2015-03-15 - 2015-03-21,62
2015-03-22 - 2015-03-28,55
2015-03-29 - 2015-04-04,55
2015-04-05 - 2015-04-11,54
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,54
2015-04-26 - 2015-05-02,54
2015-05-03 - 2015-05-09,54
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,51
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,52
2015-06-14 - 2015-06-20,51
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,53
2015-07-19 - 2015-07-25,56
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,56
2015-08-09 - 2015-08-15,54
2015-08-16 - 2015-08-22,54
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,53
2015-09-06 - 2015-09-12,52
2015-09-13 - 2015-09-19,51
2015-09-20 - 2015-09-26,54
2015-09-27 - 2015-10-03,51
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,54
2015-10-25 - 2015-10-31,53
2015-11-01 - 2015-11-07,54
2015-11-08 - 2015-11-14,53
2015-11-15 - 2015-11-21,54
2015-11-22 - 2015-11-28,51
2015-11-29 - 2015-12-05,53
2015-12-06 - 2015-12-12,55
2015-12-13 - 2015-12-19,54
2015-12-20 - 2015-12-26,52
2015-12-27 - 2016-01-02,54
2016-01-03 - 2016-01-09,57
2016-01-10 - 2016-01-16,56
2016-01-17 - 2016-01-23,57
2016-01-24 - 2016-01-30,56
2016-01-31 - 2016-02-06,58
2016-02-07 - 2016-02-13,58
2016-02-14 - 2016-02-20,59
2016-02-21 - 2016-02-27,56
2016-02-28 - 2016-03-05,53
2016-03-06 - 2016-03-12,55
2016-03-13 - 2016-03-19,54
2016-03-20 - 2016-03-26,58
2016-03-27 - 2016-04-02,55
2016-04-03 - 2016-04-09,58
2016-04-10 - 2016-04-16,57
2016-04-17 - 2016-04-23,58
2016-04-24 - 2016-04-30,58


Top regions for yum
Region,yum
Mongolia,100
Pakistan,91
Singapore,64
Australia,60
Cambodia,59
New Zealand,53
Bahrain,49
Hong Kong,34
United States,27
South Korea,24
Malaysia,21
Canada,18
India,18
South Africa,18
Japan,17
United Kingdom,17
China,17
United Arab Emirates,16
Taiwan,16
Philippines,16
Ireland,15
Czech Republic,13
Netherlands,12
Norway,11
Germany,11
Thailand,11
Finland,10
Denmark,9
Switzerland,9
Sweden,9
Austria,9
Israel,9
Indonesia,7
Romania,7
Belgium,7
Portugal,7
Slovakia,7
Bulgaria,7
Russia,7
Greece,6
Hungary,6
France,6
Serbia,6
Chile,6
Egypt,6
Spain,6
Vietnam,6
Poland,6
Mexico,5
Ukraine,5
Italy,5
Turkey,5
Iran,5
Saudi Arabia,4
Brazil,4
Peru,4
Colombia,4
Argentina,3


Top cities for yum
City,yum
Louisville (United States),100
Lahore (Pakistan),34
Sydney (Australia),28
Karachi (Pakistan),28
Singapore (Singapore),23
Melbourne (Australia),22
Auckland (New Zealand),22
Brisbane (Australia),21
San Francisco (United States),12
Atlanta (United States),12
Beijing (China),11
Seoul (South Korea),11
Chicago (United States),11
Seattle (United States),11
New York (United States),9



Top searches for yum
yum yum,100
yum install,10
tom yum,10
centos,5
centos yum,5
yum linux,5
yum cha,5
fedora,5
fedora yum,5
yum rpm,5
rpm,5
tom yum soup,5
yum center,5
yum update,5
tom yum goong,5
yum brands,5
yum yum recipe,5
yum download,0
yum thai,0
yum repository,0
redhat yum,0
blueberry yum yum,0
yum restaurant,0
yum repo,0
tom yum recipe,0
yum yum sauce,0
yum list,0
kfc yum center,0
tom yum thai,0
yum command,0
candy yum yum,0
yum yum chinese,0
yum yums,0
yum proxy,0
what is yum,0
yum remove,0
yum restaurants,0
yum upgrade,0
yum yum donuts,0
yab yum,0
yum yum tree,0
bubble yum,0
yum video,0
yum uninstall,0
yum install mysql,0
yum stock,0
yum club,0
pinch of yum,0
yum search,0
yum cha sydney,0



Rising searches for yum
centos,+2,400%
centos yum,+2,300%
yum center,+2,250%
tom yum goong,+450%
tom yum,+200%
yum install,+190%
blueberry yum yum,+180%
tom yum soup,+180%
yum cha,+170%
yum yum recipe,+110%



